approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
kmeans,1,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3537t2t3,-1,0.33475,0.656437126,0.374251497,0.938622754,0.375375312,0.372754491,0.062874251,0.30988024,0.168674699,0.622754491,0.125748503,0.497005988,0.201923077,0.877245509,1,0.122754491,0.877245509
kmeans,1,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3537t2t3,-1,0.33475,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,1,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3537t2t3,-1,0.33475,0.625,0.284431138,0.965568862,0.271939291,0.258982036,0.05988024,0.199101796,0.231213873,0.449101796,0.119760479,0.329341317,0.266666667,0.931137725,1,0.068862275,0.931137725
kmeans,888,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.663922156,0.377245509,0.950598802,0.374567483,0.366766467,0.05988024,0.306886228,0.163265306,0.634730539,0.119760479,0.51497006,0.188679245,0.901197605,1,0.098802395,0.901197605
kmeans,888,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,888,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.643712575,0.314371257,0.973053892,0.30639623,0.285928144,0.055389222,0.230538922,0.193717277,0.517964072,0.110778443,0.407185629,0.213872832,0.946107784,1,0.053892216,0.946107784
kmeans,2410,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2ne16x9o,-1,0.34951,0.663173653,0.377245509,0.949101796,0.33576866,0.351796407,0.076347305,0.275449102,0.217021277,0.607784431,0.146706587,0.461077844,0.24137931,0.904191617,0.994011976,0.089820359,0.909638554
kmeans,2410,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2ne16x9o,-1,0.34951,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,2410,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2ne16x9o,-1,0.34951,0.631736527,0.29491018,0.968562874,0.243070412,0.252994012,0.073353293,0.179640719,0.289940828,0.449101796,0.140718563,0.308383234,0.313333333,0.943113772,0.994011976,0.050898204,0.948795181
kmeans,1,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3537t2t3,-1,0.33475,0.657185629,0.375748503,0.938622754,0.365855589,0.369760479,0.067365269,0.30239521,0.182186235,0.619760479,0.131736527,0.488023952,0.212560386,0.880239521,0.997005988,0.116766467,0.882882883
kmeans,888,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.660179641,0.369760479,0.950598802,0.38987455,0.368263473,0.050898204,0.317365269,0.138211382,0.637724551,0.101796407,0.535928144,0.159624413,0.901197605,1,0.098802395,0.901197605
kmeans,2410,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2ne16x9o,-1,0.34951,0.660928144,0.372754491,0.949101796,0.346221793,0.353293413,0.070359281,0.282934132,0.199152542,0.610778443,0.134730539,0.476047904,0.220588235,0.904191617,0.994011976,0.089820359,0.909638554
kmeans,2410,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2ne16x9o,-1,0.34951,0.654191617,0.360778443,0.94760479,0.2847169,0.321856287,0.091317365,0.230538922,0.28372093,0.547904192,0.173652695,0.374251497,0.316939891,0.904191617,0.991017964,0.086826347,0.912386707
kmeans,888,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.661676647,0.368263473,0.95508982,0.33648361,0.342814371,0.070359281,0.27245509,0.205240175,0.595808383,0.140718563,0.45508982,0.236180905,0.910179641,1,0.089820359,0.910179641
kmeans,1,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3537t2t3,-1,0.33475,0.652694611,0.360778443,0.944610778,0.32452446,0.339820359,0.076347305,0.263473054,0.224669604,0.574850299,0.146706587,0.428143713,0.255208333,0.895209581,0.994011976,0.098802395,0.90060241
kmeans,711,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.670658683,0.377245509,0.964071856,0.388250319,0.363772455,0.049401198,0.314371257,0.135802469,0.655688623,0.098802395,0.556886228,0.150684932,0.928143713,1,0.071856287,0.928143713
kmeans,711,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,711,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.641467066,0.30239521,0.980538922,0.319799379,0.278443114,0.043413174,0.23502994,0.155913978,0.517964072,0.086826347,0.431137725,0.167630058,0.961077844,1,0.038922156,0.961077844
kmeans,711,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.671407186,0.378742515,0.964071856,0.385885466,0.363772455,0.050898204,0.312874251,0.139917695,0.655688623,0.101796407,0.553892216,0.155251142,0.928143713,1,0.071856287,0.928143713
kmeans,1996,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fb10za9,-1,0.35919,0.664670659,0.374251497,0.95508982,0.34941587,0.351796407,0.067365269,0.284431138,0.191489362,0.616766467,0.131736527,0.48502994,0.213592233,0.913173653,0.997005988,0.083832335,0.915915916
kmeans,1996,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fb10za9,-1,0.35919,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,1996,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fb10za9,-1,0.35919,0.646706587,0.315868263,0.97754491,0.275526501,0.27245509,0.065868263,0.206586826,0.241758242,0.5,0.131736527,0.368263473,0.263473054,0.95508982,1,0.04491018,0.95508982
kmeans,1996,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fb10za9,-1,0.35919,0.665419162,0.375748503,0.95508982,0.34712222,0.351796407,0.068862275,0.282934132,0.195744681,0.616766467,0.134730539,0.482035928,0.218446602,0.913173653,0.997005988,0.083832335,0.915915916
kmeans,711,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.661676647,0.356287425,0.967065868,0.340313906,0.329341317,0.05988024,0.269461078,0.181818182,0.592814371,0.119760479,0.473053892,0.202020202,0.934131737,1,0.065868263,0.934131737
kmeans,1996,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fb10za9,-1,0.35919,0.657185629,0.357784431,0.956586826,0.28785097,0.315868263,0.085329341,0.230538922,0.27014218,0.547904192,0.167664671,0.380239521,0.306010929,0.916167665,0.997005988,0.080838323,0.918918919
kmeans,711,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.665419162,0.371257485,0.959580838,0.301761316,0.327844311,0.083832335,0.244011976,0.255707763,0.574850299,0.167664671,0.407185629,0.291666667,0.919161677,1,0.080838323,0.919161677
kmeans,711,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2mqtnsri,-1,0.33492,0.664670659,0.371257485,0.958083832,0.299507389,0.327844311,0.085329341,0.24251497,0.260273973,0.574850299,0.167664671,0.407185629,0.291666667,0.919161677,0.997005988,0.077844311,0.921921922
kmeans,888,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.709580838,0.474550898,0.944610778,0.186567207,0.347305389,0.182634731,0.164670659,0.525862069,0.604790419,0.344311377,0.260479042,0.569306931,0.910179641,0.979041916,0.068862275,0.929663609
kmeans,888,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1hzpcncu,-1,0.31983,0.710329341,0.474550898,0.946107784,0.185038622,0.345808383,0.182634731,0.163173653,0.528138528,0.601796407,0.347305389,0.254491018,0.577114428,0.910179641,0.982035928,0.071856287,0.926829268
