seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,Renyi preds and s
888,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.7219430485762144,0.18795206153768654
888,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.5,1.0
888,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.6959798994974874,0.17773662469108578
888,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.7227805695142379,0.18763384254684604
888,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.7198492462311558,0.20849885904364476
1,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.7428810720268006,0.1876269044519718
1,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.5,1.0
1,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.7123115577889447,0.17608166032444145
1,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.7441373534338358,0.1853409413861967
1,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.740787269681742,0.1978679241259563
2410,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7495812395309883,0.19050107241907296
2410,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.5,1.0
2410,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7169179229480737,0.17785394451939854
2410,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7508375209380235,0.19347940048232906
2410,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7412060301507538,0.1767856006992921
1996,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.7303182579564489,0.15616946450087144
1996,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.5,1.0
1996,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.699748743718593,0.15181142693623068
1996,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.7311557788944724,0.157016531503486
1996,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.7328308207705193,0.16183033948952738
711,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.7269681742043551,0.19174727723315593
711,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.5,1.0
711,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.6976549413735343,0.19015307541661133
711,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.7269681742043551,0.19093792441967294
711,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.7261306532663316,0.1876132199046601
888,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.714824120603015,0.19375463775658125
888,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/okbpldf3,nan,0.259881696058378,0.7139865996649917,0.1950829283178631
1,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.7412060301507538,0.1682401455831213
1,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m53caf1h,nan,0.2554591188014816,0.740787269681742,0.16380030308174287
2410,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7324120603015075,0.17118351103319715
2410,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/kwqkcyky,nan,0.2500967438774946,0.7336683417085427,0.17333730934260033
1996,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.7097989949748744,0.15981510425472029
1996,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/m3qbvb2y,nan,0.25507214329150313,0.7106365159128978,0.15800392802383315
711,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.673785594639866,0.2626984724366116
711,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/vvd5bt8m,nan,0.2411410249322793,0.6800670016750419,0.2538314150482238
