approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
kmeans,888,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.756736527,0.579341317,0.934131737,0.107278299,0.372754491,0.27245509,0.100299401,0.730923695,0.640718563,0.517964072,0.122754491,0.808411215,0.895209581,0.973053892,0.077844311,0.92
kmeans,1,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.745508982,0.565868263,0.925149701,0.109079742,0.371257485,0.269461078,0.101796407,0.725806452,0.628742515,0.502994012,0.125748503,0.8,0.886227545,0.964071856,0.077844311,0.919254658
kmeans,888,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,1,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,888,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.756736527,0.579341317,0.934131737,0.107278299,0.372754491,0.27245509,0.100299401,0.730923695,0.640718563,0.517964072,0.122754491,0.808411215,0.895209581,0.973053892,0.077844311,0.92
kmeans,1,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.745508982,0.565868263,0.925149701,0.109079742,0.371257485,0.269461078,0.101796407,0.725806452,0.628742515,0.502994012,0.125748503,0.8,0.886227545,0.964071856,0.077844311,0.919254658
kmeans,888,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.773203593,0.616766467,0.929640719,0.061469328,0.372754491,0.314371257,0.058383234,0.843373494,0.640718563,0.592814371,0.047904192,0.925233645,0.895209581,0.964071856,0.068862275,0.928571429
kmeans,1,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.728293413,0.523952096,0.932634731,0.162383477,0.369760479,0.221556886,0.148203593,0.599190283,0.625748503,0.422155689,0.203592814,0.674641148,0.886227545,0.979041916,0.092814371,0.905198777
kmeans,1,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.702844311,0.461077844,0.944610778,0.176153327,0.335329341,0.181137725,0.154191617,0.540178571,0.571856287,0.350299401,0.221556886,0.612565445,0.901197605,0.988023952,0.086826347,0.912121212
kmeans,888,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.711826347,0.476047904,0.94760479,0.171457806,0.339820359,0.188622754,0.151197605,0.555066079,0.592814371,0.359281437,0.233532934,0.606060606,0.913173653,0.982035928,0.068862275,0.929878049
kmeans,888,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.754491018,0.580838323,0.928143713,0.083011611,0.365269461,0.28742515,0.077844311,0.786885246,0.622754491,0.538922156,0.083832335,0.865384615,0.892215569,0.964071856,0.071856287,0.925465839
kmeans,888,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/rz9uy7rl,-1,0.31944,0.754491018,0.580838323,0.928143713,0.083011611,0.365269461,0.28742515,0.077844311,0.786885246,0.622754491,0.538922156,0.083832335,0.865384615,0.892215569,0.964071856,0.071856287,0.925465839
kmeans,1,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.673652695,0.410179641,0.937125749,0.267731802,0.350299401,0.122754491,0.22754491,0.35042735,0.589820359,0.230538922,0.359281437,0.390862944,0.889221557,0.98502994,0.095808383,0.902735562
kmeans,1,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/9uoiykac,-1,0.33414,0.672155689,0.407185629,0.937125749,0.268320167,0.348802395,0.121257485,0.22754491,0.347639485,0.586826347,0.22754491,0.359281437,0.387755102,0.889221557,0.98502994,0.095808383,0.902735562
kmeans,1996,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.731287425,0.519461078,0.943113772,0.166917069,0.363772455,0.21257485,0.151197605,0.58436214,0.631736527,0.407185629,0.224550898,0.644549763,0.904191617,0.982035928,0.077844311,0.920731707
kmeans,1996,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,2410,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.75,0.565868263,0.934131737,0.07406764,0.350299401,0.281437126,0.068862275,0.803418803,0.598802395,0.532934132,0.065868263,0.89,0.898203593,0.97005988,0.071856287,0.925925926
kmeans,1996,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.731287425,0.519461078,0.943113772,0.166917069,0.363772455,0.21257485,0.151197605,0.58436214,0.631736527,0.407185629,0.224550898,0.644549763,0.904191617,0.982035928,0.077844311,0.920731707
kmeans,2410,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,2410,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.75,0.565868263,0.934131737,0.07406764,0.350299401,0.281437126,0.068862275,0.803418803,0.598802395,0.532934132,0.065868263,0.89,0.898203593,0.97005988,0.071856287,0.925925926
kmeans,2410,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.714820359,0.486526946,0.943113772,0.169946272,0.347305389,0.196107784,0.151197605,0.564655172,0.595808383,0.377245509,0.218562874,0.633165829,0.901197605,0.98502994,0.083832335,0.914893617
kmeans,1996,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.723053892,0.501497006,0.944610778,0.183688809,0.360778443,0.196107784,0.164670659,0.543568465,0.628742515,0.374251497,0.254491018,0.595238095,0.907185629,0.982035928,0.074850299,0.923780488
kmeans,1996,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.705838323,0.45508982,0.956586826,0.150538183,0.314371257,0.184131737,0.130239521,0.585714286,0.550898204,0.359281437,0.191616766,0.652173913,0.922155689,0.991017964,0.068862275,0.930513595
kmeans,2410,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.708832335,0.473053892,0.944610778,0.120529745,0.317365269,0.211077844,0.106287425,0.66509434,0.54491018,0.401197605,0.143712575,0.736263736,0.910179641,0.979041916,0.068862275,0.929663609
kmeans,711,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.754491018,0.55239521,0.956586826,0.18003201,0.380239521,0.215568862,0.164670659,0.566929134,0.685628743,0.419161677,0.266467066,0.611353712,0.925149701,0.988023952,0.062874251,0.936363636
kmeans,711,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
kmeans,711,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.754491018,0.55239521,0.956586826,0.18003201,0.380239521,0.215568862,0.164670659,0.566929134,0.685628743,0.419161677,0.266467066,0.611353712,0.925149701,0.988023952,0.062874251,0.936363636
kmeans,711,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.761976048,0.568862275,0.95508982,0.159048162,0.380239521,0.233532934,0.146706587,0.614173228,0.685628743,0.452095808,0.233532934,0.659388646,0.925149701,0.98502994,0.05988024,0.939209726
kmeans,711,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.713323353,0.465568862,0.961077844,0.191304543,0.335329341,0.169161677,0.166167665,0.504464286,0.598802395,0.332335329,0.266467066,0.555,0.928143713,0.994011976,0.065868263,0.93373494
kmeans,711,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.793413174,0.676646707,0.910179641,0.009237462,0.378742515,0.387724551,0.008982036,0.976833977,0.670658683,0.682634731,0.011976048,0.98245614,0.913173653,0.907185629,0.005988024,0.993442623
kmeans,711,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/fwuz8klv,-1,0.3332,0.792664671,0.675149701,0.910179641,0.007700742,0.378742515,0.386227545,0.00748503,0.980620155,0.670658683,0.679640719,0.008982036,0.986784141,0.913173653,0.907185629,0.005988024,0.993442623
kmeans,1996,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.73502994,0.535928144,0.934131737,0.107710358,0.350299401,0.251497006,0.098802395,0.717948718,0.595808383,0.476047904,0.119760479,0.798994975,0.895209581,0.973053892,0.077844311,0.92
kmeans,1996,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2c9wjjwu,-1,0.32148,0.735778443,0.535928144,0.935628743,0.102887486,0.347305389,0.252994012,0.094311377,0.728448276,0.592814371,0.479041916,0.113772455,0.808080808,0.898203593,0.973053892,0.074850299,0.923076923
kmeans,2410,x_rand_s,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.612275449,0.285928144,0.938622754,0.403089642,0.326347305,0.020958084,0.305389222,0.064220183,0.532934132,0.038922156,0.494011976,0.073033708,0.880239521,0.997005988,0.116766467,0.882882883
kmeans,2410,x_rand_s,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2uyzef1e,-1,0.35333,0.612275449,0.28742515,0.937125749,0.405665892,0.329341317,0.020958084,0.308383234,0.063636364,0.535928144,0.038922156,0.497005988,0.072625698,0.877245509,0.997005988,0.119760479,0.87987988
no_balancing,888,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1x8jo7pu,0,0,0.756736527,0.579341317,0.934131737,0.107278299,0.372754491,0.27245509,0.100299401,0.730923695,0.640718563,0.517964072,0.122754491,0.808411215,0.895209581,0.973053892,0.077844311,0.92
no_balancing,888,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1x8jo7pu,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
no_balancing,1,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2vxrq5ce,0,0,0.745508982,0.565868263,0.925149701,0.109079742,0.371257485,0.269461078,0.101796407,0.725806452,0.628742515,0.502994012,0.125748503,0.8,0.886227545,0.964071856,0.077844311,0.919254658
no_balancing,888,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1x8jo7pu,0,0,0.756736527,0.579341317,0.934131737,0.107278299,0.372754491,0.27245509,0.100299401,0.730923695,0.640718563,0.517964072,0.122754491,0.808411215,0.895209581,0.973053892,0.077844311,0.92
no_balancing,1,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2vxrq5ce,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
no_balancing,1,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2vxrq5ce,0,0,0.745508982,0.565868263,0.925149701,0.109079742,0.371257485,0.269461078,0.101796407,0.725806452,0.628742515,0.502994012,0.125748503,0.8,0.886227545,0.964071856,0.077844311,0.919254658
no_balancing,888,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1x8jo7pu,0,0,0.773203593,0.616766467,0.929640719,0.061469328,0.372754491,0.314371257,0.058383234,0.843373494,0.640718563,0.592814371,0.047904192,0.925233645,0.895209581,0.964071856,0.068862275,0.928571429
no_balancing,1,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2vxrq5ce,0,0,0.728293413,0.523952096,0.932634731,0.162383477,0.369760479,0.221556886,0.148203593,0.599190283,0.625748503,0.422155689,0.203592814,0.674641148,0.886227545,0.979041916,0.092814371,0.905198777
no_balancing,1,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2vxrq5ce,0,0,0.702844311,0.461077844,0.944610778,0.176153327,0.335329341,0.181137725,0.154191617,0.540178571,0.571856287,0.350299401,0.221556886,0.612565445,0.901197605,0.988023952,0.086826347,0.912121212
no_balancing,888,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1x8jo7pu,0,0,0.711826347,0.476047904,0.94760479,0.171457806,0.339820359,0.188622754,0.151197605,0.555066079,0.592814371,0.359281437,0.233532934,0.606060606,0.913173653,0.982035928,0.068862275,0.929878049
no_balancing,711,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/38n9xluq,0,0,0.754491018,0.55239521,0.956586826,0.18003201,0.380239521,0.215568862,0.164670659,0.566929134,0.685628743,0.419161677,0.266467066,0.611353712,0.925149701,0.988023952,0.062874251,0.936363636
no_balancing,711,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/38n9xluq,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
no_balancing,2410,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3aqyrmij,0,0,0.75,0.565868263,0.934131737,0.07406764,0.350299401,0.281437126,0.068862275,0.803418803,0.598802395,0.532934132,0.065868263,0.89,0.898203593,0.97005988,0.071856287,0.925925926
no_balancing,711,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/38n9xluq,0,0,0.754491018,0.55239521,0.956586826,0.18003201,0.380239521,0.215568862,0.164670659,0.566929134,0.685628743,0.419161677,0.266467066,0.611353712,0.925149701,0.988023952,0.062874251,0.936363636
no_balancing,2410,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3aqyrmij,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
no_balancing,1996,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1skdcdyo,0,0,0.731287425,0.519461078,0.943113772,0.166917069,0.363772455,0.21257485,0.151197605,0.58436214,0.631736527,0.407185629,0.224550898,0.644549763,0.904191617,0.982035928,0.077844311,0.920731707
no_balancing,1996,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1skdcdyo,0,0,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
no_balancing,2410,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3aqyrmij,0,0,0.75,0.565868263,0.934131737,0.07406764,0.350299401,0.281437126,0.068862275,0.803418803,0.598802395,0.532934132,0.065868263,0.89,0.898203593,0.97005988,0.071856287,0.925925926
no_balancing,1996,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1skdcdyo,0,0,0.731287425,0.519461078,0.943113772,0.166917069,0.363772455,0.21257485,0.151197605,0.58436214,0.631736527,0.407185629,0.224550898,0.644549763,0.904191617,0.982035928,0.077844311,0.920731707
no_balancing,1996,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1skdcdyo,0,0,0.723053892,0.501497006,0.944610778,0.183688809,0.360778443,0.196107784,0.164670659,0.543568465,0.628742515,0.374251497,0.254491018,0.595238095,0.907185629,0.982035928,0.074850299,0.923780488
no_balancing,2410,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3aqyrmij,0,0,0.714820359,0.486526946,0.943113772,0.169946272,0.347305389,0.196107784,0.151197605,0.564655172,0.595808383,0.377245509,0.218562874,0.633165829,0.901197605,0.98502994,0.083832335,0.914893617
no_balancing,711,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/38n9xluq,0,0,0.761976048,0.568862275,0.95508982,0.159048162,0.380239521,0.233532934,0.146706587,0.614173228,0.685628743,0.452095808,0.233532934,0.659388646,0.925149701,0.98502994,0.05988024,0.939209726
