approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_0.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_0.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_0.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_0.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
no clustering 256,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2xlcg2g3,0,0,0.746772592,0.483706721,0.997093023,0.559515563,0.5,0.99501992,0.49501992,0.502502503,0,0.476095618,0.476095618,0,0,0.995807128,0.995807128,0,1,0.9943074,0.0056926,0.9943074
no clustering 256,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1rwsa6nd,0,0,0.981132075,0.964358452,0.997093023,0.026461906,0.994,0.968441815,0.025558185,0.97428754,0.485,0.458579882,0.026420118,0.945525529,0.993814433,0.935613682,0.058200751,0.941437004,0.994174757,1,0.005825243,0.994174757
no clustering 256,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/nfhwydcw,0,0,0.843594836,0.681262729,0.998062016,0.333272792,0.993939394,0.698242188,0.295697206,0.702499762,0.492929293,0.178710938,0.314218355,0.362548828,0.991836735,0.37195122,0.619885515,0.375012546,0.996,1,0.004,0.996
no clustering 256,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1epff00t,0,0,0.751737835,0.50101833,0.990310078,0.572764696,0.988107037,0.514427861,0.473679176,0.52061957,0.496531219,0.000995025,0.495536194,0.002003952,0.995943205,0.00204499,0.993898215,0.00205332,0.980620155,1,0.019379845,0.980620155
no clustering 256,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/al09l9qm,0,0,0.756206554,0.50814664,0.992248062,0.556871864,0.990458015,0.502070393,0.488387622,0.506907295,0.483778626,0,0.483778626,0,0.996007984,0,0.996007984,0,0.985374771,1,0.014625229,0.985374771
kmeans 256,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/33l9qznh,nan,0.863171924,0.691161867,0.375763747,0.99127907,0.482112155,0.5,0.883466135,0.383466135,0.565952649,0,0.376494024,0.376494024,0,0,0.773584906,0.773584906,0,1,0.982922201,0.017077799,0.982922201
kmeans 256,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1wrfhfuc,nan,0.950877973,0.74428997,0.476578411,0.999031008,0.549869495,0.974231913,0.513432836,0.460799077,0.527012952,0.46481665,0,0.46481665,0,0.949290061,0,0.949290061,0,0.998062016,1,0.001937984,0.998062016
kmeans 256,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3ujjfiwa,nan,0.774373882,0.750744786,0.489816701,0.999031008,0.570461734,0.98989899,0.51953125,0.47036774,0.524832589,0.486868687,0,0.486868687,0,0.981632653,0,0.981632653,0,0.998,1,0.002,0.998
kmeans 256,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2t03x7zc,nan,0.880636605,0.957795432,0.921588595,0.992248062,0.071163052,0.992,0.924063116,0.067936884,0.931515238,0.489,0.418145957,0.070854043,0.855104206,0.995876289,0.849094567,0.146781721,0.852610487,0.988349515,0.996131528,0.007782013,0.992187765
kmeans 256,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/4ei30h65,nan,0.896651142,0.992055611,0.99185336,0.992248062,0.007935663,0.992366412,0.991718427,0.000647986,0.99934703,0.483778626,0.491718427,0.007939801,0.983852953,0.998003992,0.985446985,0.012557007,0.987417879,0.987202925,0.997938144,0.010735219,0.989242601
