approach,Seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_1,Accuracy_sens_0,Accuracy_sens_0-sens_1,Accuracy_sens_0/sens_1,prob_pos_sens_1,prob_pos_sens_0,prob_pos_sens_0-sens_1,prob_pos_sens_0/sens_1,TPR_sens_1,TPR_sens_0,TPR_sens_0-sens_1,TPR_sens_0/sens_1,TNR_sens_1,TNR_sens_0,TNR_sens_0-sens_1,TNR_sens_0/sens_1
0.01,1,train,DRO,(None),n/a,n/a,0.957795432,0.917515275,0.996124031,0.098113412,0.995959596,0.920898438,0.075061158,0.924634334,0.498989899,0.401367188,0.097622711,0.804359343,1,0.835365854,0.164634146,0.835365854,0.992,1,0.008,0.992
0.01,2,train,DRO,(None),n/a,n/a,0.824726912,0.646639511,0.994186047,0.373191761,0.993993994,0.658128079,0.335865915,0.662104684,0.493493493,0.145812808,0.347680686,0.295470578,1,0.298989899,0.701010101,0.298989899,0.98828125,1,0.01171875,0.98828125
0.01,3,train,DRO,(None),n/a,n/a,0.973187686,0.949083503,0.996124031,0.034128924,0.950149551,0.996043521,0.04589397,0.95392373,0.447657029,0.481701286,0.034044257,0.929324961,0.899799599,1,0.100200401,0.899799599,1,0.992424242,0.007575758,0.992424242
0.01,4,train,DRO,(None),n/a,n/a,0.986097319,0.972505092,0.999031008,0.00948112,0.998977505,0.973938224,0.025039281,0.97493509,0.479550102,0.47007722,0.009472882,0.980246314,1,0.947470817,0.052529183,0.947470817,0.998039216,1,0.001960784,0.998039216
0.01,5,train,DRO,(None),n/a,n/a,0.953326713,0.906313646,0.998062016,0.130831972,0.908730159,0.998011928,0.08928177,0.910540378,0.37797619,0.507952286,0.129976096,0.74411751,0.805496829,1,0.194503171,0.805496829,1,0.995975855,0.004024145,0.995975855
0.01,6,train,DRO,(None),n/a,n/a,0.772095333,0.536659878,0.996124031,0.556219411,0.539939333,0.996097561,0.456158228,0.542054668,0.014155713,0.504390244,0.490234531,0.028065001,0.029850746,1,0.970149254,0.029850746,1,0.9921875,0.0078125,0.9921875
0.01,7,train,DRO,(None),n/a,n/a,0.919563059,0.844195519,0.99127907,0.155126745,0.849852797,0.990954774,0.141101977,0.857610074,0.340529931,0.493467337,0.152937405,0.69007593,0.694,1,0.306,0.694,1,0.98245614,0.01754386,0.98245614
0.01,8,train,DRO,(None),n/a,n/a,0.94836147,0.902240326,0.992248062,0.109707173,0.99189463,0.906523856,0.085370774,0.91393161,0.499493414,0.390457644,0.109035771,0.781707291,1,0.806841046,0.193158954,0.806841046,0.984063745,1,0.015936255,0.984063745
0.01,9,train,DRO,(None),n/a,n/a,0.832174777,0.66496945,0.99127907,0.344092995,0.991485336,0.656217346,0.33526799,0.6618528,0.482497635,0.158829676,0.323667959,0.329182289,1,0.316008316,0.683991684,0.316008316,0.98381295,1,0.01618705,0.98381295
0.01,10,train,DRO,(None),n/a,n/a,0.954319762,0.910386965,0.996124031,0.099583848,0.91522158,0.995901639,0.080680059,0.918987924,0.397880539,0.49692623,0.09904569,0.800683312,0.824351297,1,0.175648703,0.824351297,1,0.991919192,0.008080808,0.991919192
0.01,11,train,DRO,(None),n/a,n/a,0.959781529,0.921588595,0.996124031,0.110173458,0.923988154,0.996003996,0.072015842,0.927695228,0.396841066,0.506493506,0.10965244,0.78350672,0.839248434,1,0.160751566,0.839248434,1,0.991967871,0.008032129,0.991967871
0.01,12,train,DRO,(None),n/a,n/a,0.944389275,0.889002037,0.997093023,0.154288391,0.894174757,0.99695122,0.102776462,0.896909237,0.360194175,0.513211382,0.153017207,0.701843699,0.772916667,1,0.227083333,0.772916667,1,0.993775934,0.006224066,0.993775934
0.01,13,train,DRO,(None),n/a,n/a,0.897715988,0.796334012,0.994186047,0.232709572,0.994140625,0.797979798,0.196160827,0.802683019,0.502929688,0.275757576,0.227172112,0.548302442,1,0.577167019,0.422832981,0.577167019,0.988349515,1,0.011650485,0.988349515
0.01,14,train,DRO,(None),n/a,n/a,0.968222443,0.937881874,0.997093023,0.058701322,0.997087379,0.93800813,0.059079249,0.940748173,0.487378641,0.428861789,0.058516852,0.879935542,1,0.873706004,0.126293996,0.873706004,0.994350282,1,0.005649718,0.994350282
0.01,15,train,DRO,(None),n/a,n/a,0.902681231,0.806517312,0.994186047,0.163613408,0.994017946,0.81206726,0.181950686,0.816954325,0.476570289,0.316518299,0.16005199,0.66415869,1,0.62745098,0.37254902,0.62745098,0.988700565,1,0.011299435,0.988700565
0.01,16,train,DRO,(None),n/a,n/a,0.961767627,0.927698574,0.994186047,0.0733121,0.994140625,0.928282828,0.065857797,0.933754043,0.491210938,0.418181818,0.073029119,0.851328393,1,0.853608247,0.146391753,0.853608247,0.988614801,1,0.011385199,0.988614801
0.01,17,train,DRO,(None),n/a,n/a,0.992055611,0.984725051,0.999031008,0.01903368,0.985786802,0.998056365,0.012269563,0.987706543,0.49035533,0.47133139,0.01902394,0.961203766,0.971830986,0.997938144,0.026107158,0.973838901,1,0.998161765,0.001838235,0.998161765
0.01,18,train,DRO,(None),n/a,n/a,0.895233366,0.791242363,0.994186047,0.256114258,0.994053518,0.7960199,0.198033618,0.800781734,0.513379584,0.263681592,0.249697992,0.513619163,1,0.563829787,0.436170213,0.563829787,0.987927565,1,0.012072435,0.987927565
0.01,19,train,DRO,(None),n/a,n/a,0.888282026,0.772912424,0.998062016,0.247804927,0.777666999,0.998021761,0.220354762,0.77920846,0.257228315,0.497527201,0.240298886,0.517013572,0.536382536,1,0.463617464,0.536382536,1,0.996078431,0.003921569,0.996078431
0.01,20,train,DRO,(None),n/a,n/a,0.920059583,0.83808554,0.998062016,0.124921087,0.841475573,0.998021761,0.156546187,0.843143513,0.347956132,0.470820969,0.122864838,0.73904128,0.687007874,1,0.312992126,0.687007874,1,0.996275605,0.003724395,0.996275605
0.01,21,train,DRO,(None),n/a,n/a,0.943396226,0.889002037,0.995155039,0.129996071,0.995210728,0.887628866,0.107581862,0.89190042,0.498084291,0.369072165,0.129012126,0.740983347,1,0.766595289,0.233404711,0.766595289,0.990548204,1,0.009451796,0.990548204
0.01,22,train,DRO,(None),n/a,n/a,0.904667329,0.811608961,0.993217054,0.184939813,0.82038835,0.992886179,0.172497829,0.82626626,0.310679612,0.491869919,0.181190307,0.631629624,0.633663366,1,0.366336634,0.633663366,1,0.986193294,0.013806706,0.986193294
0.01,23,train,DRO,(None),n/a,n/a,0.975173784,0.951120163,0.998062016,0.062853615,0.998044966,0.951564077,0.046480889,0.953428061,0.495601173,0.432896065,0.062705108,0.873476675,1,0.899371069,0.100628931,0.899371069,0.996138996,1,0.003861004,0.996138996
0.01,24,train,DRO,(None),n/a,n/a,0.923038729,0.848268839,0.994186047,0.148556812,0.994023904,0.852475248,0.141548657,0.857600349,0.490039841,0.343564356,0.146475484,0.701094744,1,0.699596774,0.300403226,0.699596774,0.988416988,1,0.011583012,0.988416988
0.01,25,train,DRO,(None),n/a,n/a,0.82571996,0.651731161,0.99127907,0.354092885,0.648509764,0.991354467,0.342844703,0.654165372,0.151079137,0.482228626,0.33114949,0.313293588,0.300613497,1,0.699386503,0.300613497,1,0.983576642,0.016423358,0.983576642
0.01,26,train,DRO,(None),n/a,n/a,0.974180735,0.952138493,0.995155039,0.070868698,0.993969849,0.954857704,0.039112146,0.960650571,0.502512563,0.431795878,0.070716685,0.859273798,0.997983871,0.905349794,0.092634077,0.907178784,0.98997996,1,0.01002004,0.98997996
0.01,27,train,DRO,(None),n/a,n/a,0.792949355,0.579429735,0.996124031,0.43679498,0.604784689,0.995872033,0.391087344,0.607291569,0.094736842,0.489164087,0.394427245,0.193670886,0.193359375,1,0.806640625,0.193359375,1,0.991983968,0.008016032,0.991983968
0.01,28,train,DRO,(None),n/a,n/a,0.944389275,0.891038697,0.995155039,0.158417386,0.893532338,0.995044599,0.10151226,0.897982201,0.358208955,0.515361744,0.157152789,0.695063146,0.770877944,1,0.229122056,0.770877944,1,0.989878543,0.010121457,0.989878543
0.01,29,train,DRO,(None),n/a,n/a,0.974180735,0.952138493,0.995155039,0.038223299,0.994163424,0.953346856,0.040816568,0.958943804,0.48540856,0.447261663,0.038146897,0.921412805,0.997979798,0.905544148,0.09243565,0.907377233,0.990619137,1,0.009380863,0.990619137
0.01,30,train,DRO,(None),n/a,n/a,0.776067527,0.545824847,0.995155039,0.531411705,0.56614786,0.994929006,0.428781146,0.569033425,0.037937743,0.509127789,0.471190046,0.074515169,0.080412371,1,0.919587629,0.080412371,1,0.989775051,0.010224949,0.989775051
0.01,31,train,DRO,(None),n/a,n/a,0.868421053,0.735234216,0.995155039,0.271837517,0.747327502,0.994923858,0.247596355,0.751140398,0.233236152,0.494416244,0.261180092,0.471740471,0.48,1,0.52,0.48,1,0.990059642,0.009940358,0.990059642
0.01,32,train,DRO,(None),n/a,n/a,0.904667329,0.810590631,0.994186047,0.180172334,0.813813814,0.99408867,0.180274856,0.818653143,0.309309309,0.485714286,0.176404976,0.636813284,0.624242424,1,0.375757576,0.624242424,1,0.988636364,0.011363636,0.988636364
0.01,33,train,DRO,(None),n/a,n/a,0.7775571,0.553971487,0.990310078,0.545125663,0.54517134,0.990485252,0.445313913,0.550408336,0.020768432,0.508087536,0.487319104,0.040875697,0.043668122,1,0.956331878,0.043668122,1,0.981024668,0.018975332,0.981024668
0.01,34,train,DRO,(None),n/a,n/a,0.972691162,0.948065173,0.996124031,0.06969752,0.951028404,0.994964753,0.04393635,0.9558413,0.429970617,0.499496475,0.069525858,0.86080811,0.897750511,0.997971602,0.100221091,0.899575207,1,0.992,0.008,0.992
0.01,35,train,DRO,(None),n/a,n/a,0.897715988,0.794297352,0.996124031,0.233316174,0.996011964,0.800197824,0.19581414,0.803401819,0.503489531,0.275964392,0.22752514,0.548103534,1,0.58004158,0.41995842,0.58004158,0.992031873,1,0.007968127,0.992031873
0.01,36,train,DRO,(None),n/a,n/a,0.90019861,0.802443992,0.993217054,0.193425246,0.811467444,0.992893401,0.181425957,0.817275493,0.30223518,0.491370558,0.189135379,0.615086058,0.615841584,1,0.384158416,0.615841584,1,0.986220472,0.013779528,0.986220472
