approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_0.0,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_0.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_0.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_0.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
ranking,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/1kf9n2ka,0.778550149,0.782658084,0.827706058,0.675152749,0.972868217,0.44811771,0.990977444,0.506153846,0.971387697,0.019589747,0.484823597,0.465233851,0.980231894,0.510762227,0.521062649,0.47518797,0.035384615,0.503576538,0.028388568,0.439803355,0.468191923,0.943626111,0.07446446,0.070266608,0.987421384,0.037267081,0.985380117,0.002041267,0.950154303,0.948113036,0.99793273,0.037741821,0.037820005,0.994236311,0.966463415,0.957983193,0.036253118,0.027772897,0.008480221,0.963536719,0.972066101,0.991225512
ranking,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/2lkkiwiz,0.639523337,0.768672397,0.958291956,0.928716904,0.986434109,0.080254562,0.984984985,0.906841339,0.984871407,0.000113578,0.078030068,0.078143646,0.999884691,0.920771314,0.92066514,0.481981982,0.404657933,0.494704992,0.01272301,0.090047059,0.077324049,0.974281621,0.817978268,0.839570665,0.978461538,0.814705882,1,0.021538462,0.185294118,0.163755656,0.978461538,0.814705882,0.83263966,0.991202346,0.997118156,0.970930233,0.020272113,0.026187923,0.00591581,0.979547957,0.973736389,0.994067093
ranking,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/2p9vowy6,0.536246276,0.681186989,0.931976167,0.978615071,0.887596899,0.181647009,0.993527508,0.818571429,0.99137931,0.002148198,0.17495608,0.172807882,0.997837807,0.823904141,0.825689441,0.477346278,0.658571429,0.461206897,0.016139382,0.18122515,0.197364532,0.966189363,0.724820813,0.70031416,0.98989899,0.961325967,0.987616099,0.002282891,0.028573023,0.026290132,0.997693814,0.971135415,0.973380211,0.996884735,0.665680473,0.99463807,0.002246665,0.331204262,0.328957596,0.997746314,0.667760725,0.669269047
ranking,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/378kf9il,0.552631579,0.667306585,0.995034757,0.99389002,0.996124031,0.028208202,0.993957704,0.99389313,0.99713056,0.003172856,0.00323743,6.46E-05,0.996818014,0.996753254,0.999935033,0.475830816,0.506870229,0.477761836,0.001931021,0.029108393,0.031039413,0.995958194,0.942572298,0.938762603,0.987460815,1,0.994029851,0.006569036,0.005970149,0.012539185,0.993391511,0.994029851,0.987460815,1,0.987767584,1,0,0.012232416,0.012232416,1,0.987767584,0.987767584
ranking,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/2koyj5nl,0.679245283,0.741457859,0.994041708,0.99898167,0.989341085,0.052182252,0.987142857,0.996983409,0.998463902,0.001480493,0.011321045,0.009840552,0.998517229,0.988661538,0.990129674,0.527142857,0.466063348,0.482334869,0.016271521,0.044807988,0.061079509,0.966265095,0.914998397,0.884131013,1,1,0.996825397,0.003174603,0.003174603,0,0.996825397,0.996825397,1,0.973529412,0.994382022,1,0.005617978,0.026470588,0.020852611,0.994382022,0.973529412,0.979029578
kmeans,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/ye8abfhr,nan,0.73381295,0.835153923,0.66598778,0.996124031,0.48088537,0.993984962,0.504615385,0.991416309,0.002568653,0.489369578,0.486800924,0.997415803,0.507669033,0.508984349,0.484210526,0,0.480686695,0.003523831,0.484210526,0.480686695,0.992722523,0,0,1,0,0.98245614,0.01754386,1,0.98245614,0.98245614,0,0,0.988472622,1,1,0.011527378,0.011527378,0,0.988472622,0.988472622,1
kmeans,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/2yof4s3k,nan,0.821776504,0.701092354,0.647657841,0.751937984,0.107311233,0.996996997,0.138282387,0.987897126,0.009099871,0.849614738,0.85871461,0.990872719,0.139976505,0.1386989,0.490990991,0.369723435,0.470499244,0.020491747,0.100775808,0.121267556,0.958264514,0.785810903,0.753014703,1,0.002941176,0.977917981,0.022082019,0.974976805,0.997058824,0.977917981,0.00300759,0.002941176,0.994134897,0.270893372,0.997093023,0.002958126,0.726199651,0.723241526,0.99703325,0.271683148,0.272491563
kmeans,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/13qldjz6,nan,0.605858855,0.752234359,0.642566191,0.856589147,0.245893593,0.996763754,0.3,0.989942529,0.006821225,0.696763754,0.689942529,0.993156628,0.300974026,0.303047896,0.480582524,0.222857143,0.468390805,0.01219172,0.257725381,0.245533662,0.974631371,0.463722944,0.475793164,0.996632997,0.038674033,0.99380805,0.002824947,0.957958963,0.955134016,0.997165509,0.038804689,0.038914993,0.996884735,0.579881657,0.986595174,0.010289561,0.417003078,0.406713517,0.989678284,0.581693787,0.587760484
kmeans,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/1s558nv2,nan,0.476461655,0.695134062,0.622199593,0.764534884,0.111749294,0.141428571,0.986425339,0.993855607,0.007430267,0.852427035,0.844996768,0.992523796,0.142302937,0.143374836,0.35,0.449472097,0.477726575,0.028254478,0.127726575,0.099472097,0.940856382,0.732636656,0.778691275,0.005555556,0.970684039,0.987301587,0.016617548,0.981746032,0.965128484,0.983168721,0.00562701,0.005723341,0.285294118,1,1,0,0.714705882,0.714705882,1,0.285294118,0.285294118
kmeans,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/il996agi,nan,0.564407756,0.888282026,0.770875764,1,0.302415079,0.995468278,0.664122137,0.99713056,0.001662282,0.333008422,0.331346141,0.998332935,0.66603328,0.667145455,0.47734139,0.164885496,0.477761836,0.000420447,0.31287634,0.312455894,0.999119966,0.345120693,0.345424679,0.990595611,0.329268293,0.994029851,0.003434239,0.664761558,0.661327319,0.996545134,0.33124588,0.332394257,1,1,1,0,0,0,1,1,1
