seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,baseline,"cnn",(None),0.7636544190665343,0.5213849287169042,0.9941860465116279,0.5666342560817244,0.9942583732057416,0.5149638802889577,0.47929449291678394,0.517937685179943,0.49569377990430624,0.0,0.49569377990430624,0.0,1.0,0.0,1.0,0.0,0.9887429643527205,1.0,0.011257035647279534,0.9887429643527205
2,baseline,"cnn",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
4,baseline,"cnn",(None),0.7477656405163853,0.48574338085539714,0.997093023255814,0.5627242393855776,0.997002997002997,0.5014807502467917,0.49552224675620526,0.5029882074118622,0.47952047952047955,0.0,0.47952047952047955,0.0,1.0,0.0,1.0,0.0,0.9942748091603053,1.0,0.005725190839694694,0.9942748091603053
6,baseline,"cnn",(None),0.7706057596822244,0.5315682281059063,0.998062015503876,0.5861464398590991,0.5413758723828515,0.9980217606330366,0.45664588825018515,0.5424489662825202,0.0019940179461615153,0.516320474777448,0.5143264568312865,0.003861977286531211,0.004329004329004329,1.0,0.9956709956709957,0.004329004329004329,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992
8,baseline,"cnn",(None),0.7522343594836147,0.4989816700610998,0.9932170542635659,0.5723560369724017,0.9930209371884346,0.5133531157270029,0.4796678214614317,0.5169610191507871,0.4945164506480558,0.0009891196834817012,0.49352733096457413,0.0020001754889761017,1.0,0.002028397565922921,0.9979716024340771,0.002028397565922921,0.9863813229571985,1.0,0.013618677042801508,0.9863813229571985
5,baseline,"cnn",(None),0.76266137040715,0.5173116089613035,0.9961240310077519,0.5809565047068084,0.5269461077844312,0.9960474308300395,0.46910132304560836,0.5290371637677027,0.0,0.5059288537549407,0.5059288537549407,0.0,0.0,1.0,1.0,0.0,1.0,0.9920634920634921,0.007936507936507908,0.9920634920634921
3,baseline,"cnn",(None),0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.512396694214876,0.9990439770554493,0.48664728284057335,0.512887025979675,0.0,0.48852772466539196,0.48852772466539196,0.0,0.0,1.0,1.0,0.0,1.0,0.9981343283582089,0.001865671641791078,0.9981343283582089
7,baseline,"cnn",(None),0.7562065541211519,0.5061099796334012,0.9941860465116279,0.5752517252856835,0.994059405940594,0.5169322709163346,0.4771271350242594,0.5200215075951176,0.498019801980198,0.0,0.498019801980198,0.0,1.0,0.0,1.0,0.0,0.9883040935672515,1.0,0.011695906432748537,0.9883040935672515
10,baseline,"cnn",(None),0.753227408142999,0.4979633401221996,0.9961240310077519,0.5631377390160994,0.9960707269155207,0.5050200803212851,0.4910506465942356,0.5070122699872468,0.48428290766208254,0.0,0.48428290766208254,0.0,1.0,0.0,1.0,0.0,0.9924385633270322,1.0,0.007561436672967825,0.9924385633270322
11,baseline,"cnn",(None),0.7507447864945382,0.4969450101832994,0.9922480620155039,0.574462055631133,0.5128458498023716,0.9910179640718563,0.4781721142694847,0.5174939994984656,0.0,0.49500998003992014,0.49500998003992014,0.0,0.0,0.9979550102249489,0.9979550102249489,0.0,1.0,0.9844054580896686,0.015594541910331383,0.9844054580896686
