seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/7kdin6fv,0.769116186693148,0.850908409814572,0.5124131082423039,0.0,1.0,1.0,0.5100478468899522,0.5149638802889577,0.004916033399005482,0.990453634541811,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1rp5cpoe,0.8962264150943396,0.928071171682756,0.5203574975173784,0.034623217922606926,0.9825581395348837,0.1464377272348518,0.5249237029501526,0.516003879728419,0.00891982322173357,0.9830073910330153,0.002034587995930824,0.04849660523763336,0.04646201724170254,0.04195320447609359,0.0021413276231263384,0.06407766990291262,0.06193634227978628,0.03341768866394134,0.998062015503876,0.9670542635658915,0.03100775193798444,0.9689320388349515
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2p2l2lt8,0.4513406156901688,0.5144149236856982,0.5158887785501489,0.007128309572301426,1.0,0.042536592403835866,0.5294705294705294,0.5024679170779862,0.0270026123925432,0.9490007264057816,0.005994005994005994,0.0009871668311944718,0.005006839162811522,0.1646923330042777,0.012578616352201259,0.0019801980198019802,0.010598418332399278,0.15742574257425743,1.0,1.0,0.0,1.0
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/o0sb9129,0.7562065541211519,0.8325485025428517,0.5188679245283019,0.013238289205702648,1.0,0.08028289422352994,0.53938185443669,0.49851632047477745,0.040865533961912504,0.9242363575530531,0.0,0.012858555885262116,0.012858555885262116,0.0,0.0,0.025,0.025,0.0,1.0,1.0,0.0,1.0
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/k4mhfmka,0.9622641509433962,0.9722536806342016,0.5124131082423039,0.0,1.0,1.0,0.5269461077844312,0.4980237154150198,0.02892239236941141,0.9451131872080488,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1kvhr00a,0.9553128103277061,0.9644603234298609,0.5124131082423039,0.0,1.0,1.0,0.5124626121635095,0.5123639960435212,9.86161199882929e-05,0.9998075642639139,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1i53w11f,0.9672293942403177,0.9710798122065728,0.5124131082423039,0.0,1.0,1.0,0.512396694214876,0.5124282982791587,3.160406428270868e-05,0.9999383249044035,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1cy4qsza,0.9568023833167825,0.9748249100889647,0.897219463753724,0.814663951120163,0.9757751937984496,0.16411571587357207,0.9524752475247524,0.8416334661354582,0.11084178138929424,0.8836276515559385,0.4900990099009901,0.3286852589641434,0.16141375093684668,0.6706507304116865,0.9496981891348089,0.6762886597938145,0.2734095293409944,0.7121090337235716,0.9551656920077972,0.9961464354527938,0.04098074344499658,0.9588607236983496
10,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/55b9rb14,0.6360476663356505,0.7211755840241145,0.5392254220456802,0.06109979633401222,0.9941860465116279,0.12070830570991196,0.5618860510805501,0.5160642570281124,0.04582179405243769,0.9184500238717106,0.054027504911591355,0.01104417670682731,0.04298332820476405,0.20441767068273092,0.10020449897750511,0.02231237322515213,0.07789212575235298,0.22266837769590594,0.9886578449905482,1.0,0.011342155009451793,0.9886578449905482
20,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/5b50rfri,0.9592850049652433,0.9745523091423186,0.5124131082423039,0.0,1.0,1.0,0.519,0.5059171597633136,0.013082840236686377,0.9747922153435715,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/r2kk4bag,0.9503475670307845,0.9744318181818182,0.522343594836147,0.020366598778004074,1.0,0.08061853524927144,0.5148221343873518,0.5299401197604791,0.015117985373127252,0.9714722761885621,0.001976284584980237,0.017964071856287425,0.01598778727130719,0.11001317523056653,0.004056795131845842,0.03680981595092025,0.032753020819074406,0.11020960108181202,1.0,1.0,0.0,1.0
21,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/jo98ws0t,0.5327706057596823,0.6605089538171536,0.5124131082423039,0.0,1.0,1.0,0.5024875621890548,0.5222993062438057,0.019811744054750946,0.9620682167908089,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
12,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/s3e7o15h,0.4682224428997021,0.5202486343944246,0.5143992055610725,0.004073319755600814,1.0,0.046096628058581286,0.4951923076923077,0.5349075975359343,0.0397152898436266,0.9257529898124908,0.0,0.004106776180698152,0.004106776180698152,0.0,0.0,0.0087527352297593,0.0087527352297593,0.0,1.0,1.0,0.0,1.0
13,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/zx6bvy3l,0.9761668321747765,0.9770719789513249,0.5615690168818273,0.10081466395112017,1.0,0.22527381556855375,0.606425702811245,0.5176817288801572,0.0887439739310878,0.8536605992791996,0.09839357429718876,0.0009823182711198428,0.09741125602606891,0.009983561204442484,0.2,0.0020325203252032522,0.19796747967479675,0.01016260162601626,1.0,1.0,0.0,1.0
22,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/b8d9un6r,0.7780536246276067,0.8078372268274303,0.6370407149950348,0.2556008146639511,1.0,0.1338944766687525,0.6746871992300288,0.5969230769230769,0.07776412230695195,0.8847404806320641,0.16746871992300288,0.07897435897435898,0.08849436094864391,0.4715767757147068,0.33984375,0.16382978723404254,0.17601396276595746,0.4820738566886769,1.0,1.0,0.0,1.0
23,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/t4ulf37t,0.9538232373386296,0.9702839947338725,0.5124131082423039,0.0,1.0,1.0,0.5044955044955045,0.5202369200394866,0.015741415543982118,0.9697418331194423,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
14,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/65gcrygr,0.714498510427011,0.8145782453503664,0.5124131082423039,0.0,1.0,1.0,0.49899799599198397,0.5255905511811023,0.02659255518911835,0.9494044268311905,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
15,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/hc3hoyqg,0.7159880834160874,0.6855143721633888,0.5124131082423039,0.0,1.0,1.0,0.5034213098729228,0.5216952573158425,0.01827394744291977,0.9649719885571886,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
16,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/fayd7uaj,0.9513406156901688,0.9675410454802793,0.5605759682224429,0.09877800407331976,1.0,0.2283202453806289,0.625,0.4980430528375734,0.12695694716242661,0.7968688845401174,0.09778225806451613,0.0,0.09778225806451613,0.0,0.2068230277185501,0.0,0.2068230277185501,0.0,1.0,1.0,0.0,1.0
24,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3u4663m6,0.5665342601787487,0.5163176759102056,0.5124131082423039,0.0,1.0,1.0,0.4900398406374502,0.5346534653465347,0.044613624709084476,0.916555998229305,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
25,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/r94oc4iy,0.5854021847070506,0.578125,0.5124131082423039,0.0,1.0,1.0,0.5207920792079208,0.5039840637450199,0.016808015462900894,0.9677260539590686,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
