seed,data,method,wandb_url,Clust Context Accuracy,Clust Context NMI,Clust Context ARI,Clust Context Acc y=0 s=0,Clust Context Acc y=0 s=1,Clust Context Acc y=1 s=0,Clust Context Acc y=1 s=1,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1pfip8ko,0.6426297059374415,0.7281189171807425,0.5512166090286921,0.5,0.0,0.9710526315789474,1.0,0.5124131082423039,0.0,1.0,1.0,0.5100478468899522,0.5149638802889577,0.004916033399005482,0.990453634541811,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3jdzi1v2,0.9731974329935825,0.908507031347144,0.9365342992876546,0.939327485380117,0.9811320754716981,0.9897039897039897,0.9855222337125129,0.5124131082423039,0.0,1.0,1.0,0.5269461077844312,0.4980237154150198,0.02892239236941141,0.9451131872080488,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
9,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/39kxfv9y,0.6129154078549849,0.6108574522239589,0.439880522337041,0.47652916073968704,0.0,0.8425096030729834,1.0,0.5124131082423039,0.0,1.0,1.0,0.5130260521042084,0.5118110236220472,0.0012150284821611512,0.9976316437007875,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
13,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/w0gdgruf,0.9268934410825033,0.7973773657070219,0.8021838212597061,0.8130434782608695,0.9608985024958403,0.9804177545691906,0.9650278763304613,0.5124131082423039,0.0,1.0,1.0,0.5080321285140562,0.5166994106090373,0.008667282094981132,0.9832256783789148,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
25,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1q889egq,0.6681099397590361,0.7680932201178132,0.6217666421778306,1.0,0.964765100671141,0.0,0.5242914979757085,0.5124131082423039,0.0,1.0,1.0,0.5207920792079208,0.5039840637450199,0.016808015462900894,0.9677260539590686,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
29,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2k0fbfwa,0.6755379388448471,0.6106327681019144,0.5316526402697819,0.4295874822190612,0.9847844463229078,0.010230179028132993,0.9351323300467047,0.5124131082423039,0.0,1.0,1.0,0.5195694716242661,0.5050403225806451,0.014529149043621015,0.9720361764169856,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
21,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2h857fg3,0.4965127238454288,0.4178623420176421,0.31363773217621643,0.49856527977044474,0.4445385266723116,0.49295774647887325,0.5279630579784504,0.5124131082423039,0.0,1.0,1.0,0.5024875621890548,0.5222993062438057,0.019811744054750946,0.9620682167908089,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
17,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2ae7n9jr,0.6791776688042248,0.7739899375984619,0.6309186609960108,1.0,0.9686209744013212,0.00517464424320828,0.537027446918695,0.5124131082423039,0.0,1.0,1.0,0.5262626262626262,0.4990234375,0.02723918876262621,0.9482403130998082,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2i3n4gz1,0.6293772477758849,0.6044915057817654,0.4553736122382419,0.5262039660056658,0.006825938566552901,0.8467336683417085,0.9984235417761429,0.5124131082423039,0.0,1.0,1.0,0.5249237029501526,0.5004849660523764,0.024438736897776203,0.9534432589718721,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/44t0rq1i,0.6455076285552834,0.7238088965308813,0.5461464246475192,0.5120525931336742,0.0,0.9845559845559846,1.0,0.5124131082423039,0.0,1.0,1.0,0.53938185443669,0.4856577645895153,0.05372408984717464,0.9003969276955339,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
