seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
2,baseline,"dro",(None),0.01,0.7576961271102284,0.505091649694501,0.998062015503876,0.5663560173390325,0.9980372914622179,0.5115577889447236,0.4864795025174943,0.5125638022956474,0.4887144259077527,0.0,0.4887144259077527,0.0,1.0,0.0,1.0,0.0,0.9961759082217974,1.0,0.003824091778202643,0.9961759082217974
2,baseline,"dro",(None),0.1,0.7571996027805362,0.5040733197556008,0.998062015503876,0.565600588078243,0.9970559371933267,0.5115577889447236,0.48549814824860316,0.5130682942270407,0.48773307163886165,0.0,0.48773307163886165,0.0,0.9979838709677419,0.0,0.9979838709677419,0.0,0.9961759082217974,1.0,0.003824091778202643,0.9961759082217974
1,baseline,"dro",(None),0.01,0.7472691161866931,0.4847250509164969,0.997093023255814,0.5720923501229492,0.5092143549951503,0.9969481180061037,0.4877337630109534,0.5107731744492171,0.0,0.4872838250254323,0.4872838250254323,0.0,0.0,1.0,1.0,0.0,1.0,0.9940828402366864,0.00591715976331364,0.9940828402366864
2,baseline,"dro",(None),0.5,0.7576961271102284,0.5040733197556008,0.999031007751938,0.5648451457913561,0.9980372914622179,0.5115577889447236,0.4864795025174943,0.5125638022956474,0.4867517173699706,0.0,0.4867517173699706,0.0,0.9979838709677419,0.0,0.9979838709677419,0.0,0.9980879541108987,1.0,0.0019120458891013214,0.9980879541108987
1,baseline,"dro",(None),0.1,0.7477656405163853,0.4847250509164969,0.998062015503876,0.571308800703503,0.5092143549951503,0.9979654120040692,0.48875105700891885,0.5102525086240904,0.0,0.4862665310274669,0.4862665310274669,0.0,0.0,1.0,1.0,0.0,1.0,0.9960552268244576,0.0039447731755424265,0.9960552268244576
2,baseline,"dro",(None),1.0,0.4990069513406157,0.505091649694501,0.4932170542635659,0.9999999999999999,0.4867517173699706,0.5115577889447236,0.024806071574753008,0.951508759888253,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1,baseline,"dro",(None),0.5,0.8723932472691162,0.7423625254582484,0.9961240310077519,0.25236079549807067,0.7546071774975752,0.9959308240081384,0.24132364651056315,0.7576903528908238,0.24539282250242483,0.4883011190233978,0.24290829652097295,0.5025440510830909,0.5,1.0,0.5,0.5,1.0,0.9921104536489151,0.007889546351084853,0.9921104536489151
1,baseline,"dro",(None),1.0,0.4970208540218471,0.4847250509164969,0.5087209302325582,1.0,0.5092143549951503,0.4842319430315361,0.024982411963614226,0.9509393014581214,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
3,baseline,"dro",(None),0.01,0.7552135054617676,0.4979633401221996,1.0,0.55733782457275,0.5035317860746721,0.9990224828934506,0.49549069681877855,0.5040244786246473,0.0,0.4780058651026393,0.4780058651026393,0.0,0.0,0.9979591836734694,0.9979591836734694,0.0,1.0,1.0,0.0,1.0
3,baseline,"dro",(None),0.1,0.7552135054617676,0.4979633401221996,1.0,0.55733782457275,0.5035317860746721,0.9990224828934506,0.49549069681877855,0.5040244786246473,0.0,0.4780058651026393,0.4780058651026393,0.0,0.0,0.9979591836734694,0.9979591836734694,0.0,1.0,1.0,0.0,1.0
6,baseline,"dro",(None),0.01,0.7606752730883813,0.5101832993890021,0.999031007751938,0.5710766190015462,0.9990157480314961,0.5180360721442886,0.48097967588720747,0.5185464525109332,0.4940944881889764,0.0,0.4940944881889764,0.0,1.0,0.0,1.0,0.0,0.9980582524271845,1.0,0.001941747572815511,0.9980582524271845
3,baseline,"dro",(None),0.5,0.7552135054617676,0.4979633401221996,1.0,0.55733782457275,0.5035317860746721,0.9990224828934506,0.49549069681877855,0.5040244786246473,0.0,0.4780058651026393,0.4780058651026393,0.0,0.0,0.9979591836734694,0.9979591836734694,0.0,1.0,1.0,0.0,1.0
4,baseline,"dro",(None),0.01,0.8565044687189672,0.7077393075356415,0.998062015503876,0.2702133935614149,0.7268385864374403,0.9968976215098242,0.27005903507238394,0.7291005322458556,0.22254059216809932,0.47983453981385726,0.25729394764575797,0.46378610479860355,0.4489402697495183,0.9978401727861771,0.5488999030366588,0.4499120019351233,1.0,0.996031746031746,0.003968253968253954,0.996031746031746
6,baseline,"dro",(None),0.1,0.7611717974180735,0.5112016293279023,0.999031007751938,0.5672458690139149,0.9980314960629921,0.5200400801603207,0.47799141590267147,0.5210658002395323,0.49311023622047245,0.002004008016032064,0.4911062282044404,0.0040640162560650235,0.998003992015968,0.004158004158004158,0.9938459878579639,0.004166320166320167,0.9980582524271845,1.0,0.001941747572815511,0.9980582524271845
3,baseline,"dro",(None),1.0,0.5307845084409136,0.03971486761710794,0.998062015503876,0.14646348893857442,0.5408678102926338,0.5210166177908113,0.019851192501822434,0.9632975153557723,0.04137235116044399,0.0,0.04137235116044399,0.0,0.07926829268292683,0.0,0.07926829268292683,0.0,0.9959919839679359,1.0,0.004008016032064132,0.9959919839679359
4,baseline,"dro",(None),0.1,0.8356504468718967,0.6690427698574338,0.9941860465116279,0.3144165789927643,0.6895893027698186,0.9937952430196484,0.30420594024982983,0.6938947510701504,0.1872015281757402,0.48293691830403307,0.29573539012829286,0.3876314298628282,0.37572254335260113,0.9978401727861771,0.622117629433576,0.3765357956109401,0.9981060606060606,0.9900793650793651,0.008026695526695438,0.9919580735520015
