seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sex_Male_1.0,Accuracy_sex_Male_0.0,Accuracy_sex_Male_0.0-sex_Male_1.0,Accuracy_sex_Male_0.0÷sex_Male_1.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0÷sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0÷sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0÷sex_Male_1.0
1,baseline,"Kamiran & Calders LR",(None),0.7455089820359282,0.5658682634730539,0.9251497005988024,0.10907974247216597,0.7574850299401198,0.7335329341317365,0.02395209580838331,0.968379446640316,0.3712574850299401,0.2694610778443114,0.10179640718562871,0.7258064516129032,0.6287425149700598,0.5029940119760479,0.12574850299401197,0.8,0.8862275449101796,0.9640718562874252,0.07784431137724557,0.9192546583850931
2,baseline,"Kamiran & Calders LR",(None),0.7372754491017964,0.5434131736526946,0.9311377245508982,0.13154777226748998,0.7440119760479041,0.7305389221556886,0.013473053892215536,0.9818913480885312,0.36676646706586824,0.24550898203592814,0.1212574850299401,0.6693877551020408,0.6107784431137725,0.47604790419161674,0.13473053892215575,0.7794117647058822,0.8772455089820359,0.9850299401197605,0.10778443113772462,0.8905775075987842
3,baseline,"Kamiran & Calders LR",(None),0.7402694610778443,0.5284431137724551,0.9520958083832335,0.15039062669732167,0.7694610778443114,0.7110778443113772,0.058383233532934176,0.924124513618677,0.3562874251497006,0.22005988023952097,0.1362275449101796,0.6176470588235294,0.625748502994012,0.4311377245508982,0.19461077844311375,0.6889952153110048,0.9131736526946108,0.9910179640718563,0.07784431137724546,0.9214501510574019
4,baseline,"Kamiran & Calders LR",(None),0.7215568862275449,0.49550898203592814,0.9476047904191617,0.17118817495832941,0.7634730538922155,0.6796407185628742,0.08383233532934131,0.8901960784313726,0.3502994011976048,0.19760479041916168,0.1526946107784431,0.5641025641025641,0.6137724550898204,0.3772455089820359,0.23652694610778446,0.6146341463414634,0.9131736526946108,0.9820359281437125,0.06886227544910173,0.9298780487804879
5,baseline,"Kamiran & Calders LR",(None),0.7357784431137725,0.5449101796407185,0.9266467065868264,0.12147457465536866,0.7455089820359282,0.7260479041916168,0.019461077844311392,0.9738955823293173,0.3652694610778443,0.25299401197604793,0.11227544910179638,0.6926229508196722,0.6107784431137725,0.47904191616766467,0.13173652694610782,0.7843137254901961,0.8802395209580839,0.9730538922155688,0.09281437125748493,0.9046153846153847
27,baseline,"Kamiran & Calders LR",(None),0.7088323353293413,0.47155688622754494,0.9461077844311377,0.19217937205794522,0.7544910179640718,0.6631736526946108,0.09131736526946099,0.8789682539682541,0.3473053892215569,0.1781437125748503,0.16916167664670662,0.5129310344827586,0.6017964071856288,0.3413173652694611,0.26047904191616766,0.5671641791044776,0.907185628742515,0.9850299401197605,0.07784431137724557,0.9209726443768996
28,baseline,"Kamiran & Calders LR",(None),0.7245508982035929,0.5194610778443114,0.9296407185628742,0.1477300848032102,0.7574850299401198,0.6916167664670658,0.06586826347305397,0.9130434782608695,0.36227544910179643,0.2275449101796407,0.13473053892215572,0.6280991735537189,0.6197604790419161,0.41916167664670656,0.20059880239520955,0.6763285024154589,0.8952095808383234,0.9640718562874252,0.06886227544910184,0.9285714285714285
29,baseline,"Kamiran & Calders LR",(None),0.7589820359281437,0.5838323353293413,0.9341317365269461,0.09909313217291646,0.7724550898203593,0.7455089820359282,0.026946107784431073,0.9651162790697675,0.3712574850299401,0.27844311377245506,0.09281437125748504,0.75,0.6437125748502994,0.5239520958083832,0.11976047904191622,0.8139534883720929,0.9011976047904192,0.9670658682634731,0.06586826347305386,0.9318885448916409
30,baseline,"Kamiran & Calders LR",(None),0.7432634730538922,0.5523952095808383,0.9341317365269461,0.13119254062779825,0.7649700598802395,0.7215568862275449,0.04341317365269459,0.9432485322896282,0.36976047904191617,0.24850299401197604,0.12125748502994013,0.6720647773279352,0.6347305389221557,0.47005988023952094,0.16467065868263475,0.7405660377358491,0.8952095808383234,0.9730538922155688,0.07784431137724546,0.92
7,baseline,"Kamiran & Calders LR",(None),0.7372754491017964,0.5449101796407185,0.9296407185628742,0.1735369660396074,0.7799401197604791,0.6946107784431138,0.08532934131736525,0.890595009596929,0.38772455089820357,0.2275449101796407,0.16017964071856286,0.5868725868725869,0.6676646706586826,0.4221556886227545,0.24550898203592814,0.6322869955156951,0.8922155688622755,0.9670658682634731,0.07485029940119758,0.9226006191950464
