seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sex_Male_1.0,Accuracy_sex_Male_0.0,Accuracy_sex_Male_0.0-sex_Male_1.0,Accuracy_sex_Male_0.0÷sex_Male_1.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0÷sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0÷sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0÷sex_Male_1.0
1,baseline,"LRCV",(None),0.7282934131736527,0.5239520958083832,0.9326347305389222,0.16238347650194818,0.7559880239520959,0.7005988023952096,0.0553892215568863,0.9267326732673267,0.36976047904191617,0.2215568862275449,0.14820359281437126,0.5991902834008097,0.625748502994012,0.4221556886227545,0.20359281437125748,0.6746411483253588,0.8862275449101796,0.9790419161676647,0.09281437125748504,0.9051987767584098
2,baseline,"LRCV",(None),0.719311377245509,0.5059880239520959,0.9326347305389222,0.17379747468539275,0.7455089820359282,0.6931137724550899,0.05239520958083832,0.929718875502008,0.3652694610778443,0.20808383233532934,0.15718562874251496,0.569672131147541,0.6107784431137725,0.40119760479041916,0.20958083832335334,0.6568627450980392,0.8802395209580839,0.9850299401197605,0.10479041916167664,0.8936170212765957
3,baseline,"LRCV",(None),0.7080838323353293,0.4595808383233533,0.9565868263473054,0.21737065119284157,0.7619760479041916,0.6541916167664671,0.10778443113772451,0.8585461689587427,0.3458083832335329,0.15718562874251496,0.18862275449101795,0.45454545454545453,0.6077844311377245,0.31137724550898205,0.29640718562874246,0.5123152709359606,0.9161676646706587,0.9970059880239521,0.08083832335329344,0.9189189189189189
4,baseline,"LRCV",(None),0.718562874251497,0.4880239520958084,0.9491017964071856,0.17882560624784385,0.7619760479041916,0.6751497005988024,0.08682634730538918,0.8860510805500983,0.34880239520958084,0.19011976047904192,0.15868263473053892,0.5450643776824035,0.6107784431137725,0.3652694610778443,0.2455089820359282,0.5980392156862745,0.9131736526946108,0.9850299401197605,0.07185628742514971,0.9270516717325228
5,baseline,"LRCV",(None),0.7589820359281437,0.6017964071856288,0.9161676646706587,0.04730872653254837,0.7455089820359282,0.7724550898203593,0.026946107784431073,0.9651162790697675,0.3652694610778443,0.3203592814371258,0.04491017964071853,0.8770491803278689,0.6107784431137725,0.592814371257485,0.017964071856287456,0.9705882352941176,0.8802395209580839,0.9520958083832335,0.0718562874251496,0.9245283018867926
27,baseline,"LRCV",(None),0.7065868263473054,0.4655688622754491,0.9476047904191617,0.19819940324040614,0.7559880239520959,0.657185628742515,0.0988023952095809,0.8693069306930692,0.3458083832335329,0.1721556886227545,0.17365269461077842,0.49783549783549785,0.6017964071856288,0.32934131736526945,0.2724550898203593,0.5472636815920398,0.9101796407185628,0.9850299401197605,0.0748502994011977,0.9240121580547112
28,baseline,"LRCV",(None),0.7372754491017964,0.5464071856287425,0.9281437125748503,0.11499593067374902,0.7574850299401198,0.7170658682634731,0.04041916167664672,0.9466403162055336,0.36227544910179643,0.2559880239520958,0.10628742514970063,0.7066115702479339,0.6197604790419161,0.47305389221556887,0.14670658682634724,0.7632850241545894,0.8952095808383234,0.9610778443113772,0.06586826347305386,0.9314641744548287
29,baseline,"LRCV",(None),0.7320359281437125,0.5209580838323353,0.9431137724550899,0.1585315763612171,0.7679640718562875,0.6961077844311377,0.07185628742514971,0.9064327485380117,0.36077844311377244,0.21706586826347304,0.1437125748502994,0.6016597510373444,0.6287425149700598,0.41317365269461076,0.21556886227544908,0.6571428571428571,0.907185628742515,0.9790419161676647,0.07185628742514971,0.926605504587156
30,baseline,"LRCV",(None),0.75,0.5658682634730539,0.9341317365269461,0.11593195860413766,0.7649700598802395,0.7350299401197605,0.029940119760478945,0.9608610567514678,0.36976047904191617,0.2619760479041916,0.10778443113772457,0.7085020242914979,0.6347305389221557,0.49700598802395207,0.13772455089820362,0.7830188679245282,0.8952095808383234,0.9730538922155688,0.07784431137724546,0.92
7,baseline,"LRCV",(None),0.7477544910179641,0.5673652694610778,0.9281437125748503,0.15569542637072525,0.781437125748503,0.7140718562874252,0.06736526946107779,0.9137931034482759,0.39221556886227543,0.2470059880239521,0.14520958083832333,0.6297709923664122,0.6736526946107785,0.46107784431137727,0.2125748502994012,0.6844444444444444,0.8892215568862275,0.9670658682634731,0.07784431137724557,0.9195046439628483
6,baseline,"LRCV",(None),0.7163173652694611,0.49101796407185627,0.9416167664670658,0.19619635790962855,0.7604790419161677,0.6721556886227545,0.08832335329341312,0.8838582677165355,0.36227544910179643,0.18712574850299402,0.17514970059880242,0.5165289256198347,0.6227544910179641,0.3592814371257485,0.2634730538922156,0.5769230769230769,0.8982035928143712,0.9850299401197605,0.0868263473053893,0.911854103343465
8,baseline,"LRCV",(None),0.7140718562874252,0.4805389221556886,0.9476047904191617,0.20654838036813297,0.7619760479041916,0.6661676646706587,0.09580838323353291,0.8742632612966601,0.35778443113772457,0.1751497005988024,0.18263473053892218,0.48953974895397484,0.6197604790419161,0.3413173652694611,0.278443113772455,0.5507246376811595,0.9041916167664671,0.9910179640718563,0.08682634730538918,0.9123867069486405
10,baseline,"LRCV",(None),0.7402694610778443,0.5374251497005988,0.9431137724550899,0.13594086932718696,0.7724550898203593,0.7080838323353293,0.06437125748502992,0.9166666666666667,0.3592814371257485,0.23502994011976047,0.12425149700598803,0.6541666666666667,0.6317365269461078,0.4431137724550898,0.188622754491018,0.7014218009478672,0.9131736526946108,0.9730538922155688,0.059880239520958,0.9384615384615386
9,baseline,"LRCV",(None),0.7470059880239521,0.5598802395209581,0.9341317365269461,0.1808042110160117,0.7859281437125748,0.7080838323353293,0.07784431137724546,0.9009523809523811,0.3967065868263473,0.22904191616766467,0.16766467065868262,0.5773584905660377,0.6826347305389222,0.437125748502994,0.2455089820359282,0.6403508771929824,0.8892215568862275,0.9790419161676647,0.08982035928143717,0.908256880733945
11,baseline,"LRCV",(None),0.7238023952095808,0.49850299401197606,0.9491017964071856,0.15930473505482648,0.7649700598802395,0.6826347305389222,0.08233532934131726,0.8923679060665364,0.3458083832335329,0.20359281437125748,0.14221556886227543,0.5887445887445888,0.6107784431137725,0.38622754491017963,0.22455089820359286,0.6323529411764706,0.9191616766467066,0.9790419161676647,0.05988023952095811,0.9388379204892966
12,baseline,"LRCV",(None),0.750748502994012,0.5523952095808383,0.9491017964071856,0.1875445703974059,0.7919161676646707,0.7095808383233533,0.08233532934131738,0.8960302457466919,0.38772455089820357,0.2155688622754491,0.17215568862275446,0.555984555984556,0.6796407185628742,0.4251497005988024,0.2544910179640718,0.6255506607929516,0.9041916167664671,0.9940119760479041,0.08982035928143706,0.9096385542168676
14,baseline,"LRCV",(None),0.7417664670658682,0.5434131736526946,0.9401197604790419,0.148404833966643,0.7859281437125748,0.6976047904191617,0.08832335329341312,0.8876190476190476,0.36976047904191617,0.23353293413173654,0.13622754491017963,0.6315789473684211,0.655688622754491,0.4311377245508982,0.2245508982035928,0.6575342465753424,0.9161676646706587,0.9640718562874252,0.04790419161676651,0.9503105590062111
13,baseline,"LRCV",(None),0.7395209580838323,0.531437125748503,0.9476047904191617,0.1679276846427494,0.7754491017964071,0.7035928143712575,0.0718562874251496,0.9073359073359074,0.36826347305389223,0.2155688622754491,0.15269461077844312,0.5853658536585366,0.6437125748502994,0.41916167664670656,0.22455089820359286,0.6511627906976744,0.907185628742515,0.9880239520958084,0.08083832335329344,0.9181818181818182
15,baseline,"LRCV",(None),0.7020958083832335,0.47155688622754494,0.9326347305389222,0.19907001450231684,0.7410179640718563,0.6631736526946108,0.07784431137724546,0.894949494949495,0.35778443113772457,0.18113772455089822,0.17664670658682635,0.5062761506276151,0.5988023952095808,0.344311377245509,0.2544910179640718,0.5750000000000001,0.8832335329341318,0.9820359281437125,0.09880239520958078,0.899390243902439
16,baseline,"LRCV",(None),0.7125748502994012,0.49550898203592814,0.9296407185628742,0.232648030976351,0.7589820359281437,0.6661676646706587,0.09281437125748504,0.8777120315581854,0.38772455089820357,0.1781437125748503,0.20958083832335328,0.4594594594594595,0.6467065868263473,0.344311377245509,0.3023952095808383,0.5324074074074074,0.8712574850299402,0.9880239520958084,0.11676646706586824,0.8818181818181818
17,baseline,"LRCV",(None),0.7612275449101796,0.5688622754491018,0.9535928143712575,0.09893228905061734,0.7754491017964071,0.7470059880239521,0.02844311377245501,0.9633204633204634,0.3532934131736527,0.2619760479041916,0.0913173652694611,0.7415254237288135,0.6287425149700598,0.5089820359281437,0.11976047904191611,0.8095238095238096,0.9221556886227545,0.9850299401197605,0.06287425149700598,0.9361702127659575
18,baseline,"LRCV",(None),0.7537425149700598,0.5538922155688623,0.9535928143712575,0.13228391121277272,0.7949101796407185,0.7125748502994012,0.08233532934131738,0.896421845574388,0.36077844311377244,0.23952095808383234,0.1212574850299401,0.6639004149377594,0.655688622754491,0.45209580838323354,0.20359281437125748,0.6894977168949772,0.9341317365269461,0.9730538922155688,0.03892215568862267,0.9600000000000001
19,baseline,"LRCV",(None),0.7073353293413174,0.47604790419161674,0.938622754491018,0.23132685902992917,0.7634730538922155,0.6511976047904192,0.11227544910179632,0.8529411764705883,0.3712574850299401,0.1661676646706587,0.20508982035928142,0.44758064516129037,0.6347305389221557,0.31736526946107785,0.31736526946107785,0.5,0.8922155688622755,0.9850299401197605,0.09281437125748504,0.9057750759878419
20,baseline,"LRCV",(None),0.7559880239520959,0.5553892215568862,0.9565868263473054,0.10132666982139506,0.7799401197604791,0.7320359281437125,0.04790419161676651,0.9385796545105566,0.3458083832335329,0.25299401197604793,0.09281437125748498,0.7316017316017317,0.625748502994012,0.48502994011976047,0.1407185628742515,0.7751196172248804,0.9341317365269461,0.9790419161676647,0.04491017964071853,0.9541284403669725
21,baseline,"LRCV",(None),0.7088323353293413,0.48502994011976047,0.9326347305389222,0.19586617472883275,0.7470059880239521,0.6706586826347305,0.07634730538922163,0.8977955911823646,0.36377245508982037,0.18862275449101795,0.17514970059880242,0.5185185185185185,0.6107784431137725,0.3592814371257485,0.251497005988024,0.588235294117647,0.8832335329341318,0.9820359281437125,0.09880239520958078,0.899390243902439
22,baseline,"LRCV",(None),0.750748502994012,0.5658682634730539,0.9356287425149701,0.12083970835555265,0.7544910179640718,0.7470059880239521,0.007485029940119681,0.9900793650793652,0.3712574850299401,0.25898203592814373,0.11227544910179638,0.6975806451612904,0.625748502994012,0.5059880239520959,0.11976047904191611,0.8086124401913877,0.8832335329341318,0.9880239520958084,0.10479041916167664,0.8939393939393939
23,baseline,"LRCV",(None),0.8038922155688623,0.6841317365269461,0.9236526946107785,0.04317287861148093,0.7874251497005988,0.8203592814371258,0.03293413173652693,0.9598540145985401,0.3592814371257485,0.40119760479041916,0.041916167664670656,0.8955223880597015,0.6467065868263473,0.7215568862275449,0.07485029940119758,0.8962655601659751,0.9281437125748503,0.9191616766467066,0.008982035928143728,0.9903225806451613
24,baseline,"LRCV",(None),0.6938622754491018,0.4550898203592814,0.9326347305389222,0.19253387588648813,0.7350299401197605,0.6526946107784432,0.08233532934131738,0.8879837067209776,0.3458083832335329,0.17664670658682635,0.16916167664670656,0.5108225108225108,0.5808383233532934,0.32934131736526945,0.251497005988024,0.5670103092783505,0.8892215568862275,0.9760479041916168,0.0868263473053893,0.911042944785276
25,baseline,"LRCV",(None),0.7110778443113772,0.47604790419161674,0.9461077844311377,0.17639081399868975,0.75,0.6721556886227545,0.07784431137724546,0.8962075848303394,0.34281437125748504,0.18712574850299402,0.15568862275449102,0.5458515283842794,0.592814371257485,0.3592814371257485,0.23353293413173654,0.6060606060606061,0.907185628742515,0.9850299401197605,0.07784431137724557,0.9209726443768996
26,baseline,"LRCV",(None),0.719311377245509,0.5014970059880239,0.937125748502994,0.19125723005087422,0.7455089820359282,0.6931137724550899,0.05239520958083832,0.929718875502008,0.36826347305389223,0.19610778443113772,0.17215568862275452,0.532520325203252,0.6137724550898204,0.38922155688622756,0.2245508982035928,0.6341463414634146,0.8772455089820359,0.9970059880239521,0.11976047904191622,0.8798798798798798
