bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,2,2,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8031437125748503,0.718562874251497,0.8877245508982036,0.0015188958359827,0.7589820359281437,0.8473053892215568,0.0883233532934131,0.8957597173144877,0.4146706586826347,0.4161676646706587,0.0014970059880239,0.9964028776978416,0.6736526946107785,0.7634730538922155,0.089820359281437,0.8823529411764707,0.844311377245509,0.9311377245508982,0.0868263473053891,0.9067524115755627,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,0,0,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8038922155688623,0.7320359281437125,0.875748502994012,0.0211779218811937,0.7889221556886228,0.8188622754491018,0.029940119760479,0.9634369287020108,0.4176646706586826,0.4386227544910179,0.0209580838323353,0.9522184300341296,0.7065868263473054,0.7574850299401198,0.0508982035928143,0.932806324110672,0.8712574850299402,0.8802395209580839,0.0089820359281437,0.9897959183673468,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,1,1,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7904191616766467,0.7005988023952096,0.8802395209580839,0.0365222776481395,0.7574850299401198,0.8233532934131736,0.0658682634730538,0.92,0.3922155688622754,0.4281437125748503,0.0359281437125748,0.916083916083916,0.6497005988023952,0.7514970059880239,0.1017964071856287,0.8645418326693227,0.8652694610778443,0.8952095808383234,0.029940119760479,0.9665551839464884,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,3,3,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7350299401197605,0.5104790419161677,0.9595808383233532,0.1407400490569472,0.7634730538922155,0.7065868263473054,0.0568862275449101,0.9254901960784314,0.3383233532934132,0.2125748502994012,0.1257485029940119,0.6283185840707964,0.6017964071856288,0.4191616766467065,0.1826347305389222,0.6965174129353233,0.9251497005988024,0.994011976047904,0.0688622754491017,0.9307228915662652,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,4,4,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7260479041916168,0.5029940119760479,0.9491017964071856,0.1438497216955002,0.7574850299401198,0.6946107784431138,0.0628742514970059,0.91699604743083,0.3413173652694611,0.2125748502994012,0.1287425149700599,0.6228070175438596,0.5988023952095808,0.4071856287425149,0.1916167664670658,0.68,0.9161676646706588,0.9820359281437124,0.0658682634730538,0.9329268292682928,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,5,5,results/adult/missing_demo/,,,False,4,cuda:0,True,0.811377245508982,0.7305389221556886,0.8922155688622755,0.0182035617741849,0.7784431137724551,0.844311377245509,0.0658682634730538,0.9219858156028368,0.4101796407185629,0.4281437125748503,0.0179640718562874,0.958041958041958,0.688622754491018,0.7724550898203593,0.0838323353293413,0.8914728682170543,0.8682634730538922,0.9161676646706588,0.0479041916167665,0.9477124183006536,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,6,6,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7267964071856288,0.5164670658682635,0.937125748502994,0.1534597052904843,0.7544910179640718,0.6991017964071856,0.0553892215568861,0.9265873015873016,0.3592814371257485,0.2200598802395209,0.1392215568862275,0.6125,0.6137724550898204,0.4191616766467065,0.1946107784431138,0.6829268292682926,0.8952095808383234,0.9790419161676648,0.0838323353293413,0.9143730886850152,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,7,7,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7485029940119761,0.5583832335329342,0.938622754491018,0.1489094282966094,0.7859281437125748,0.7110778443113772,0.0748502994011975,0.9047619047619048,0.3787425149700599,0.2410179640718563,0.1377245508982036,0.6363636363636364,0.6646706586826348,0.4520958083832335,0.2125748502994012,0.6801801801801802,0.907185628742515,0.9700598802395208,0.0628742514970059,0.9351851851851852,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,8,8,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7986526946107785,0.7215568862275449,0.875748502994012,0.0227268814275864,0.7934131736526946,0.8038922155688623,0.0104790419161676,0.9869646182495344,0.4341317365269461,0.4116766467065868,0.0224550898203592,0.9482758620689656,0.7275449101796407,0.7155688622754491,0.0119760479041916,0.9835390946502058,0.8592814371257484,0.8922155688622755,0.032934131736527,0.9630872483221476,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,9,9,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7597305389221557,0.5853293413173652,0.934131736526946,0.164524356465189,0.7919161676646707,0.7275449101796407,0.0643712574850299,0.9187145557655956,0.4026946107784431,0.248502994011976,0.154191616766467,0.6171003717472119,0.6946107784431138,0.4760479041916167,0.218562874251497,0.6853448275862069,0.8892215568862275,0.9790419161676648,0.0898203592814371,0.908256880733945,0.01
