bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,13.0,13.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7829341317365269,0.6377245508982036,0.9281437125748504,0.1001237645426091,0.7949101796407185,0.7709580838323353,0.0239520958083832,0.9698681732580038,0.4026946107784431,0.3068862275449102,0.0958083832335329,0.7620817843866171,0.6976047904191617,0.5778443113772455,0.1197604790419162,0.8283261802575107,0.8922155688622755,0.9640718562874252,0.0718562874251497,0.9254658385093169
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,14.0,14.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7440119760479041,0.5449101796407185,0.94311377245509,0.1468777614213717,0.7844311377245509,0.7035928143712575,0.0808383233532933,0.8969465648854963,0.3682634730538922,0.2335329341317365,0.1347305389221557,0.6341463414634146,0.6526946107784432,0.437125748502994,0.2155688622754491,0.6697247706422018,0.9161676646706588,0.9700598802395208,0.0538922155688622,0.9444444444444444
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,12.0,12.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7417664670658682,0.5299401197604791,0.9535928143712576,0.1768329346880594,0.781437125748503,0.7020958083832335,0.0793413173652695,0.8984674329501915,0.3682634730538922,0.2080838323353293,0.1601796407185629,0.5650406504065041,0.6497005988023952,0.4101796407185629,0.2395209580838322,0.631336405529954,0.9131736526946108,0.994011976047904,0.0808383233532933,0.9186746987951808
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,6.0,6.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7275449101796407,0.5209580838323353,0.934131736526946,0.1545250251472186,0.7529940119760479,0.7020958083832335,0.0508982035928143,0.9324055666003976,0.3637724550898203,0.2230538922155688,0.1407185628742515,0.6131687242798354,0.6167664670658682,0.4251497005988024,0.1916167664670658,0.6893203883495146,0.8892215568862275,0.9790419161676648,0.0898203592814371,0.908256880733945
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,8.0,8.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7979041916167665,0.7170658682634731,0.8787425149700598,0.018203561774185,0.7904191616766467,0.8053892215568862,0.0149700598802394,0.9814126394052044,0.4281437125748503,0.4101796407185629,0.0179640718562874,0.958041958041958,0.718562874251497,0.7155688622754491,0.0029940119760478,0.9958333333333332,0.8622754491017964,0.8952095808383234,0.0329341317365269,0.9632107023411371
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,4.0,4.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7297904191616766,0.5119760479041916,0.9476047904191616,0.1347116142097463,0.7529940119760479,0.7065868263473054,0.0464071856287424,0.9383697813121272,0.342814371257485,0.2215568862275449,0.1212574850299401,0.6462882096069869,0.5958083832335329,0.4281437125748503,0.1676646706586826,0.7185929648241206,0.9101796407185628,0.9850299401197604,0.0748502994011977,0.9240121580547112
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,9.0,9.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.750748502994012,0.562874251497006,0.938622754491018,0.1760762234618393,0.7889221556886228,0.7125748502994012,0.0763473053892216,0.9032258064516128,0.3937125748502994,0.2305389221556886,0.1631736526946108,0.5855513307984791,0.6826347305389222,0.4431137724550898,0.2395209580838324,0.6491228070175438,0.8952095808383234,0.9820359281437124,0.0868263473053891,0.9115853658536586
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,0.0,0.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7994011976047904,0.7215568862275449,0.8772455089820359,0.0333406819518823,0.7829341317365269,0.8158682634730539,0.0329341317365269,0.9596330275229358,0.405688622754491,0.4386227544910179,0.0329341317365269,0.924914675767918,0.688622754491018,0.7544910179640718,0.0658682634730538,0.9126984126984128,0.8772455089820359,0.8772455089820359,0.0,1.0
083832335328,0.9765886287625418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,2.0,2.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.8031437125748503,0.7035928143712575,0.9026946107784432,0.035134573579104,0.7604790419161677,0.8458083832335329,0.0853293413173652,0.8991150442477877,0.3832335329341317,0.4176646706586826,0.0344311377245508,0.917562724014337,0.6437125748502994,0.7634730538922155,0.1197604790419161,0.8431372549019609,0.8772455089820359,0.9281437125748504,0.0508982035928143,0.9451612903225808
