bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_sex_Male_1.0 (lff),Accuracy_sex_Male_0.0 (lff),Accuracy_sex_Male_0.0-sex_Male_1.0 (lff),Accuracy_sex_Male_0.0÷sex_Male_1.0 (lff),prob_pos_sex_Male_1.0 (lff),prob_pos_sex_Male_0.0 (lff),prob_pos_sex_Male_0.0-sex_Male_1.0 (lff),prob_pos_sex_Male_0.0÷sex_Male_1.0 (lff),TPR_sex_Male_1.0 (lff),TPR_sex_Male_0.0 (lff),TPR_sex_Male_0.0-sex_Male_1.0 (lff),TPR_sex_Male_0.0÷sex_Male_1.0 (lff),TNR_sex_Male_1.0 (lff),TNR_sex_Male_0.0 (lff),TNR_sex_Male_0.0-sex_Male_1.0 (lff),TNR_sex_Male_0.0÷sex_Male_1.0 (lff)
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,10,10,results/adult/missing_demo/,,,False,4,cuda:0,True,0.278443113772455,0.5119760479041916,0.0449101796407185,0.1083532487177091,0.2425149700598802,0.3143712574850299,0.0718562874251496,0.7714285714285715,0.6856287425149701,0.781437125748503,0.0958083832335329,0.8773946360153257,0.4281437125748503,0.5958083832335329,0.1676646706586826,0.7185929648241206,0.0568862275449101,0.0329341317365269,0.0239520958083832,0.5789473684210527
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,9,9,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2552395209580838,0.4655688622754491,0.0449101796407185,0.1468592878586354,0.2215568862275449,0.2889221556886227,0.0673652694610778,0.766839378238342,0.6437125748502994,0.7769461077844312,0.1332335329341317,0.8285163776493256,0.3652694610778443,0.5658682634730539,0.2005988023952095,0.6455026455026456,0.0778443113772455,0.0119760479041916,0.0658682634730539,0.1538461538461538
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,6,6,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2889221556886227,0.5359281437125748,0.0419161676646706,0.1584032932896067,0.25,0.3278443113772455,0.0778443113772455,0.7625570776255708,0.6781437125748503,0.8158682634730539,0.1377245508982035,0.8311926605504587,0.4281437125748503,0.6437125748502994,0.2155688622754491,0.6651162790697674,0.0718562874251497,0.0119760479041916,0.059880239520958,0.1666666666666666
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,12,12,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2949101796407186,0.5494011976047904,0.0404191616766467,0.2052177016527135,0.2410179640718563,0.3488023952095808,0.1077844311377245,0.6909871244635194,0.6661676646706587,0.842814371257485,0.1766467065868263,0.7904085257548845,0.4071856287425149,0.6916167664670658,0.2844311377245508,0.5887445887445888,0.0748502994011976,0.0059880239520958,0.0688622754491017,0.08
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,8,8,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3173652694610778,0.5853293413173652,0.0494011976047904,0.2837039975870479,0.2440119760479042,0.3907185628742515,0.1467065868263473,0.6245210727969349,0.6482035928143712,0.8877245508982036,0.2395209580838323,0.730185497470489,0.3922155688622754,0.7784431137724551,0.3862275449101797,0.5038461538461538,0.0958083832335329,0.0029940119760479,0.092814371257485,0.03125
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,7,7,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2724550898203592,0.4820359281437126,0.0628742514970059,0.1813730071769053,0.2260479041916167,0.3188622754491018,0.092814371257485,0.7089201877934272,0.6272455089820359,0.7919161676646707,0.1646706586826347,0.7920604914933838,0.3532934131736527,0.6107784431137725,0.2574850299401198,0.5784313725490196,0.0988023952095808,0.0269461077844311,0.0718562874251497,0.2727272727272727
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,13,13,results/adult/missing_demo/,,,False,4,cuda:0,True,0.247754491017964,0.4341317365269461,0.061377245508982,0.1887531388558238,0.2035928143712574,0.2919161676646706,0.0883233532934131,0.6974358974358974,0.5988023952095808,0.7739520958083832,0.1751497005988024,0.7736943907156673,0.3023952095808383,0.5658682634730539,0.2634730538922155,0.5343915343915344,0.1047904191616766,0.0179640718562874,0.0868263473053892,0.1714285714285714
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,11,11,results/adult/missing_demo/,,,False,4,cuda:0,True,0.278443113772455,0.5104790419161677,0.0464071856287425,0.1622408796399858,0.2320359281437125,0.3248502994011976,0.092814371257485,0.7142857142857143,0.6601796407185628,0.8038922155688623,0.1437125748502994,0.8212290502793296,0.3922155688622754,0.6287425149700598,0.2365269461077844,0.6238095238095238,0.0718562874251497,0.0209580838323353,0.0508982035928143,0.2916666666666667
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,3,3,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2829341317365269,0.5224550898203593,0.0434131736526946,0.1773639062292828,0.2455089820359281,0.3203592814371258,0.0748502994011976,0.7663551401869158,0.6616766467065869,0.8173652694610778,0.1556886227544909,0.8095238095238096,0.4071856287425149,0.6377245508982036,0.2305389221556886,0.6384976525821596,0.0838323353293413,0.0029940119760479,0.0808383233532934,0.0357142857142857
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,0,0,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3091317365269461,0.5733532934131736,0.0449101796407185,0.2944749272820269,0.217065868263473,0.4011976047904191,0.1841317365269461,0.5410447761194029,0.6392215568862275,0.8892215568862275,0.25,0.7188552188552189,0.3562874251497006,0.7904191616766467,0.4341317365269461,0.4507575757575757,0.0778443113772455,0.0119760479041916,0.0658682634730539,0.1538461538461538
