bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,6,6,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7597305389221557,0.5823353293413174,0.937125748502994,0.0784572633165997,0.7574850299401198,0.7619760479041916,0.0044910179640718,0.994106090373281,0.3592814371257485,0.2859281437125748,0.0733532934131736,0.7958333333333334,0.6167664670658682,0.5479041916167665,0.0688622754491017,0.888349514563107,0.8982035928143712,0.9760479041916168,0.0778443113772455,0.920245398773006
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,12,12,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7784431137724551,0.6077844311377245,0.9491017964071856,0.101929438287525,0.7904191616766467,0.7664670658682635,0.0239520958083832,0.9696969696969696,0.3772455089820359,0.281437125748503,0.0958083832335329,0.746031746031746,0.6676646706586826,0.5479041916167665,0.1197604790419161,0.820627802690583,0.9131736526946108,0.9850299401197604,0.0718562874251497,0.9270516717325228
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,7,7,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7672155688622755,0.6062874251497006,0.9281437125748504,0.102774152423243,0.7859281437125748,0.7485029940119761,0.0374251497005987,0.9523809523809524,0.3877245508982035,0.2904191616766467,0.0973053892215568,0.7490347490347491,0.6736526946107785,0.5389221556886228,0.1347305389221557,0.8,0.8982035928143712,0.9580838323353292,0.0598802395209581,0.9375
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,9,9,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7859281437125748,0.6377245508982036,0.934131736526946,0.0909117711041918,0.7844311377245509,0.7874251497005988,0.0029940119760479,0.9961977186311786,0.3952095808383233,0.3083832335329341,0.0868263473053892,0.7803030303030303,0.6796407185628742,0.5958083832335329,0.0838323353293413,0.8766519823788547,0.8892215568862275,0.9790419161676648,0.0898203592814371,0.908256880733945
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,0,0,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7784431137724551,0.6362275449101796,0.9206586826347304,0.0312300301448167,0.7739520958083832,0.7829341317365269,0.0089820359281437,0.988527724665392,0.3727544910179641,0.342814371257485,0.029940119760479,0.9196787148594378,0.6467065868263473,0.625748502994012,0.0209580838323353,0.9675925925925926,0.9011976047904192,0.940119760479042,0.0389221556886226,0.9585987261146498
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,2,2,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7799401197604791,0.625748502994012,0.934131736526946,0.0849800643716187,0.7694610778443114,0.7904191616766467,0.0209580838323353,0.9734848484848484,0.3862275449101796,0.3053892215568862,0.0808383233532933,0.7906976744186047,0.655688622754491,0.5958083832335329,0.0598802395209581,0.908675799086758,0.8832335329341318,0.9850299401197604,0.1017964071856287,0.8966565349544072
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,1,1,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7544910179640718,0.5778443113772455,0.9311377245508982,0.0512063581761712,0.7455089820359282,0.7634730538922155,0.0179640718562873,0.9764705882352942,0.3473053892215569,0.2994011976047904,0.0479041916167665,0.8620689655172412,0.592814371257485,0.562874251497006,0.029940119760479,0.9494949494949496,0.8982035928143712,0.9640718562874252,0.0658682634730539,0.9316770186335402
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,4,4,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7732035928143712,0.6122754491017964,0.934131736526946,0.0774758995190601,0.7739520958083832,0.7724550898203593,0.0014970059880239,0.9980657640232108,0.3757485029940119,0.3023952095808383,0.0733532934131736,0.804780876494024,0.6497005988023952,0.5748502994011976,0.0748502994011975,0.8847926267281107,0.8982035928143712,0.9700598802395208,0.0718562874251497,0.925925925925926
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,3,3,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7642215568862275,0.5718562874251497,0.9565868263473054,0.0989322890506173,0.7754491017964071,0.7529940119760479,0.0224550898203592,0.9710424710424712,0.3532934131736527,0.2619760479041916,0.0913173652694611,0.7415254237288135,0.6287425149700598,0.5149700598802395,0.1137724550898203,0.819047619047619,0.9221556886227544,0.9910179640718564,0.0688622754491017,0.9305135951661632
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,5,5,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7462574850299402,0.5733532934131736,0.9191616766467066,0.0973216068108932,0.7440119760479041,0.7485029940119761,0.0044910179640719,0.994,0.3727544910179641,0.281437125748503,0.0913173652694611,0.7550200803212851,0.6167664670658682,0.5299401197604791,0.0868263473053891,0.8592233009708738,0.8712574850299402,0.9670658682634732,0.0958083832335329,0.9009287925696596
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,13,13,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.8068862275449101,0.6796407185628742,0.934131736526946,0.0804945844952148,0.8068862275449101,0.8068862275449101,0.0,1.0,0.4116766467065868,0.3338323353293413,0.0778443113772455,0.8109090909090909,0.718562874251497,0.6407185628742516,0.0778443113772454,0.8916666666666667,0.8952095808383234,0.9730538922155688,0.0778443113772454,0.92
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,11,11,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7574850299401198,0.5808383233532934,0.934131736526946,0.0832103320362783,0.7634730538922155,0.7514970059880239,0.0119760479041916,0.984313725490196,0.3622754491017964,0.2844311377245509,0.0778443113772455,0.7851239669421488,0.625748502994012,0.5359281437125748,0.0898203592814371,0.8564593301435406,0.9011976047904192,0.9670658682634732,0.0658682634730538,0.9318885448916407
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,10,10,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7642215568862275,0.5733532934131736,0.9550898203592816,0.056688134839172,0.7634730538922155,0.7649700598802395,0.0014970059880239,0.9980430528375734,0.3353293413173652,0.2829341317365269,0.0523952095808383,0.84375,0.5988023952095808,0.5479041916167665,0.0508982035928142,0.915,0.9281437125748504,0.9820359281437124,0.0538922155688622,0.9451219512195124
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,8,8,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7642215568862275,0.5898203592814372,0.938622754491018,0.1166046409898913,0.7784431137724551,0.75,0.0284431137724551,0.9634615384615384,0.3802395209580838,0.2709580838323353,0.1092814371257485,0.7125984251968503,0.6586826347305389,0.5209580838323353,0.1377245508982035,0.7909090909090909,0.8982035928143712,0.9790419161676648,0.0808383233532934,0.9174311926605504
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,14,14,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7724550898203593,0.6092814371257484,0.93562874251497,0.0950228676291159,0.7889221556886228,0.7559880239520959,0.0329341317365269,0.9582542694497154,0.3817365269461077,0.2919161676646706,0.0898203592814371,0.7647058823529412,0.6706586826347305,0.5479041916167665,0.1227544910179639,0.8169642857142858,0.907185628742515,0.9640718562874252,0.0568862275449102,0.9409937888198756
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,15,15,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7208083832335329,0.5104790419161677,0.9311377245508982,0.0808551135401475,0.718562874251497,0.7230538922155688,0.0044910179640718,0.9937888198757764,0.3263473053892216,0.2529940119760479,0.0733532934131736,0.7752293577981652,0.5449101796407185,0.4760479041916167,0.0688622754491017,0.8736263736263736,0.8922155688622755,0.9700598802395208,0.0778443113772454,0.9197530864197532
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,16,16,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7544910179640718,0.5913173652694611,0.9176646706586826,0.1203622989968802,0.7649700598802395,0.7440119760479041,0.0209580838323353,0.9726027397260274,0.3937125748502994,0.279940119760479,0.1137724550898203,0.7110266159695817,0.6586826347305389,0.5239520958083832,0.1347305389221557,0.7954545454545454,0.8712574850299402,0.9640718562874252,0.092814371257485,0.903726708074534
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,19,19,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7604790419161677,0.5763473053892215,0.9446107784431138,0.0708473080358619,0.7559880239520959,0.7649700598802395,0.0089820359281436,0.9882583170254404,0.3488023952095808,0.2829341317365269,0.0658682634730539,0.8111587982832618,0.6047904191616766,0.5479041916167665,0.0568862275449101,0.905940594059406,0.907185628742515,0.9820359281437124,0.0748502994011975,0.923780487804878
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,20,20,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7889221556886228,0.624251497005988,0.9535928143712576,0.028538228780541,0.7769461077844312,0.8008982035928144,0.0239520958083832,0.9700934579439252,0.3488023952095808,0.3218562874251497,0.0269461077844311,0.9227467811158798,0.625748502994012,0.6227544910179641,0.0029940119760478,0.9952153110047848,0.9281437125748504,0.9790419161676648,0.0508982035928143,0.9480122324159022
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,17,17,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7881736526946108,0.6347305389221557,0.9416167664670658,0.0676348978152,0.7799401197604791,0.7964071856287425,0.0164670658682634,0.9793233082706768,0.3787425149700599,0.3143712574850299,0.0643712574850299,0.8300395256916995,0.6586826347305389,0.6107784431137725,0.0479041916167664,0.9272727272727274,0.9011976047904192,0.9820359281437124,0.0808383233532933,0.9176829268292684
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,21,21,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7574850299401198,0.5703592814371258,0.9446107784431138,0.0774875190068621,0.7649700598802395,0.75,0.0149700598802394,0.980430528375734,0.3488023952095808,0.2769461077844311,0.0718562874251497,0.7939914163090128,0.6137724550898204,0.5269461077844312,0.0868263473053891,0.8585365853658538,0.9161676646706588,0.9730538922155688,0.0568862275449101,0.9415384615384615
