seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sex_Male_1.0,Accuracy_sex_Male_0.0,Accuracy_sex_Male_0.0-sex_Male_1.0,Accuracy_sex_Male_0.0÷sex_Male_1.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0÷sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0÷sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0÷sex_Male_1.0
2,baseline,"Logistic Regression (C=1.0)",(None),0.6541916167664671,0.3712574850299401,0.937125748502994,0.36313252915585353,0.7410179640718563,0.5673652694610778,0.17365269461077848,0.7656565656565656,0.36676646706586824,0.06736526946107785,0.2994011976047904,0.1836734693877551,0.6077844311377245,0.1347305389221557,0.4730538922155688,0.22167487684729067,0.874251497005988,1.0,0.12574850299401197,0.874251497005988
1,baseline,"Logistic Regression (C=1.0)",(None),0.656437125748503,0.37425149700598803,0.938622754491018,0.3753753116209926,0.75,0.562874251497006,0.18712574850299402,0.7504990019960079,0.3727544910179641,0.06287425149700598,0.3098802395209581,0.1686746987951807,0.6227544910179641,0.12574850299401197,0.4970059880239521,0.2019230769230769,0.8772455089820359,1.0,0.1227544910179641,0.8772455089820359
3,baseline,"Logistic Regression (C=1.0)",(None),0.6586826347305389,0.3592814371257485,0.9580838323353293,0.36635578016612824,0.7634730538922155,0.5538922155688623,0.20958083832335328,0.7254901960784313,0.3473053892215569,0.05389221556886228,0.29341317365269465,0.15517241379310345,0.6107784431137725,0.10778443113772455,0.502994011976048,0.1764705882352941,0.9161676646706587,1.0,0.08383233532934131,0.9161676646706587
4,baseline,"Logistic Regression (C=1.0)",(None),0.6639221556886228,0.36676646706586824,0.9610778443113772,0.32946843808125226,0.7604790419161677,0.5673652694610778,0.19311377245508987,0.7460629921259841,0.33532934131736525,0.07035928143712575,0.2649700598802395,0.20982142857142858,0.5958083832335329,0.1377245508982036,0.45808383233532934,0.23115577889447236,0.9251497005988024,0.9970059880239521,0.07185628742514971,0.9279279279279279
28,baseline,"Logistic Regression (C=1.0)",(None),0.6526946107784432,0.35479041916167664,0.9505988023952096,0.3690665676163076,0.7544910179640718,0.5508982035928144,0.20359281437125742,0.7301587301587302,0.3502994011976048,0.05389221556886228,0.2964071856287425,0.15384615384615385,0.6047904191616766,0.10479041916167664,0.5,0.17326732673267325,0.9041916167664671,0.9970059880239521,0.09281437125748504,0.9069069069069069
5,baseline,"Logistic Regression (C=1.0)",(None),0.6444610778443114,0.34880239520958084,0.9401197604790419,0.373119633057438,0.7410179640718563,0.5479041916167665,0.19311377245508976,0.7393939393939395,0.35479041916167664,0.05389221556886228,0.3008982035928144,0.1518987341772152,0.5958083832335329,0.10179640718562874,0.49401197604790414,0.1708542713567839,0.8862275449101796,0.9940119760479041,0.10778443113772451,0.891566265060241
27,baseline,"Logistic Regression (C=1.0)",(None),0.6534431137724551,0.3562874251497006,0.9505988023952096,0.37041931739078643,0.7529940119760479,0.5538922155688623,0.19910179640718562,0.73558648111332,0.35179640718562877,0.05389221556886228,0.2979041916167665,0.15319148936170213,0.6047904191616766,0.10778443113772455,0.49700598802395207,0.17821782178217824,0.9011976047904192,1.0,0.09880239520958078,0.9011976047904192
30,baseline,"Logistic Regression (C=1.0)",(None),0.6751497005988024,0.3997005988023952,0.9505988023952096,0.3300481615337206,0.7664670658682635,0.5838323353293413,0.1826347305389222,0.76171875,0.36227544910179643,0.08682634730538923,0.2754491017964072,0.2396694214876033,0.6287425149700598,0.17065868263473055,0.4580838323353293,0.27142857142857146,0.9041916167664671,0.9970059880239521,0.09281437125748504,0.9069069069069069
6,baseline,"Logistic Regression (C=1.0)",(None),0.6676646706586826,0.38622754491017963,0.9491017964071856,0.3549885916838544,0.7634730538922155,0.5718562874251497,0.19161676646706582,0.7490196078431373,0.3652694610778443,0.0718562874251497,0.2934131736526946,0.19672131147540983,0.6287425149700598,0.1437125748502994,0.4850299401197604,0.22857142857142856,0.8982035928143712,1.0,0.10179640718562877,0.8982035928143712
7,baseline,"Logistic Regression (C=1.0)",(None),0.6773952095808383,0.40718562874251496,0.9476047904191617,0.35761784541162533,0.7754491017964071,0.5793413173652695,0.19610778443113763,0.7471042471042472,0.38023952095808383,0.07934131736526946,0.3008982035928144,0.20866141732283464,0.655688622754491,0.15868263473053892,0.4970059880239521,0.24200913242009134,0.8952095808383234,1.0,0.10479041916167664,0.8952095808383234
29,baseline,"Logistic Regression (C=1.0)",(None),0.6669161676646707,0.3787425149700599,0.9550898203592815,0.34988551540781765,0.7649700598802395,0.5688622754491018,0.19610778443113763,0.7436399217221136,0.35479041916167664,0.0688622754491018,0.28592814371257486,0.19409282700421943,0.6197604790419161,0.1377245508982036,0.48203592814371254,0.22222222222222224,0.9101796407185628,1.0,0.08982035928143717,0.9101796407185628
8,baseline,"Logistic Regression (C=1.0)",(None),0.6646706586826348,0.38173652694610777,0.9476047904191617,0.35586987857273633,0.7589820359281437,0.5703592814371258,0.18862275449101795,0.7514792899408285,0.36377245508982037,0.07035928143712575,0.2934131736526946,0.1934156378600823,0.6227544910179641,0.1407185628742515,0.4820359281437126,0.22596153846153846,0.8952095808383234,1.0,0.10479041916167664,0.8952095808383234
9,baseline,"Logistic Regression (C=1.0)",(None),0.6811377245508982,0.4176646706586826,0.9446107784431138,0.3558014734487685,0.7799401197604791,0.5823353293413174,0.19760479041916168,0.746641074856046,0.38772455089820357,0.08532934131736528,0.3023952095808383,0.2200772200772201,0.6676646706586826,0.16766467065868262,0.5,0.25112107623318386,0.8922155688622755,0.9970059880239521,0.10479041916167664,0.8948948948948949
