seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sex_Male_1.0,Accuracy_sex_Male_0.0,Accuracy_sex_Male_0.0-sex_Male_1.0,Accuracy_sex_Male_0.0÷sex_Male_1.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0÷sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0÷sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0÷sex_Male_1.0
2,baseline,"SVM",(None),0.6579341317365269,0.3592814371257485,0.9565868263473054,0.2930497145566066,0.7320359281437125,0.5838323353293413,0.14820359281437123,0.7975460122699387,0.3188622754491018,0.08383233532934131,0.23502994011976047,0.26291079812206575,0.5508982035928144,0.16766467065868262,0.38323353293413176,0.3043478260869565,0.9131736526946108,1.0,0.08682634730538918,0.9131736526946108
1,baseline,"SVM",(None),0.6526946107784432,0.36077844311377244,0.9446107784431138,0.3245244600514671,0.7350299401197605,0.5703592814371258,0.16467065868263475,0.7759674134419552,0.3398203592814371,0.07634730538922156,0.26347305389221554,0.2246696035242291,0.5748502994011976,0.1467065868263473,0.4281437125748503,0.2552083333333333,0.8952095808383234,0.9940119760479041,0.09880239520958078,0.9006024096385543
3,baseline,"SVM",(None),0.6601796407185628,0.35778443113772457,0.9625748502994012,0.34211493356800393,0.7589820359281437,0.561377245508982,0.19760479041916168,0.7396449704142012,0.3338323353293413,0.061377245508982034,0.27245508982035926,0.18385650224215247,0.592814371257485,0.12275449101796407,0.47005988023952094,0.20707070707070707,0.9251497005988024,1.0,0.07485029940119758,0.9251497005988024
4,baseline,"SVM",(None),0.6594311377245509,0.36227544910179643,0.9565868263473054,0.30713159482150654,0.7395209580838323,0.5793413173652695,0.16017964071856283,0.7834008097165992,0.3263473053892216,0.07934131736526946,0.24700598802395213,0.24311926605504586,0.5658682634730539,0.15868263473053892,0.40718562874251496,0.28042328042328046,0.9131736526946108,1.0,0.08682634730538918,0.9131736526946108
28,baseline,"SVM",(None),0.657185628742515,0.3592814371257485,0.9550898203592815,0.3168753358321833,0.7425149700598802,0.5718562874251497,0.1706586826347305,0.7701612903225807,0.32934131736526945,0.0748502994011976,0.25449101796407186,0.22727272727272727,0.5718562874251497,0.1467065868263473,0.4251497005988024,0.25654450261780104,0.9131736526946108,0.9970059880239521,0.08383233532934131,0.9159159159159159
5,baseline,"SVM",(None),0.6437125748502994,0.34281437125748504,0.9446107784431138,0.3486424277213264,0.7305389221556886,0.5568862275449101,0.17365269461077848,0.7622950819672131,0.3383233532934132,0.059880239520958084,0.2784431137724551,0.17699115044247787,0.5688622754491018,0.11676646706586827,0.4520958083832336,0.20526315789473684,0.8922155688622755,0.9970059880239521,0.10479041916167664,0.8948948948948949
27,baseline,"SVM",(None),0.6504491017964071,0.3413173652694611,0.9595808383233533,0.33712451072991717,0.7425149700598802,0.5583832335329342,0.18413173652694603,0.7520161290322581,0.32335329341317365,0.058383233532934134,0.26497005988023953,0.18055555555555555,0.5658682634730539,0.11676646706586827,0.4491017964071856,0.20634920634920637,0.9191616766467066,1.0,0.08083832335329344,0.9191616766467066
30,baseline,"SVM",(None),0.6706586826347305,0.38323353293413176,0.9580838323353293,0.2890613635740962,0.7470059880239521,0.594311377245509,0.15269461077844315,0.7955911823647294,0.33083832335329344,0.09431137724550898,0.23652694610778446,0.2850678733031674,0.5778443113772455,0.18862275449101795,0.3892215568862275,0.32642487046632124,0.9161676646706587,1.0,0.08383233532934131,0.9161676646706587
6,baseline,"SVM",(None),0.6631736526946108,0.3727544910179641,0.9535928143712575,0.297923004957853,0.7410179640718563,0.5853293413173652,0.15568862275449102,0.7898989898989899,0.33083832335329344,0.08832335329341318,0.24251497005988026,0.2669683257918552,0.5718562874251497,0.17365269461077845,0.39820359281437123,0.3036649214659686,0.9101796407185628,0.9970059880239521,0.0868263473053893,0.9129129129129129
7,baseline,"SVM",(None),0.6788922155688623,0.40119760479041916,0.9565868263473054,0.3294314753868095,0.7724550898203593,0.5853293413173652,0.18712574850299402,0.7577519379844961,0.3592814371257485,0.08532934131736528,0.2739520958083832,0.23750000000000002,0.6317365269461078,0.17065868263473055,0.46107784431137727,0.27014218009478674,0.9131736526946108,1.0,0.08682634730538918,0.9131736526946108
29,baseline,"SVM",(None),0.6706586826347305,0.3772455089820359,0.9640718562874252,0.3069026329988814,0.7589820359281437,0.5823353293413174,0.17664670658682635,0.7672583826429981,0.33083832335329344,0.08233532934131736,0.24850299401197606,0.24886877828054296,0.5898203592814372,0.16467065868263472,0.4251497005988024,0.2791878172588832,0.9281437125748503,1.0,0.07185628742514971,0.9281437125748503
8,baseline,"SVM",(None),0.6691616766467066,0.38323353293413176,0.9550898203592815,0.306571384812761,0.75,0.5883233532934131,0.16167664670658688,0.7844311377245509,0.3398203592814371,0.08832335329341318,0.25149700598802394,0.2599118942731278,0.5898203592814372,0.17664670658682635,0.4131736526946108,0.29949238578680204,0.9101796407185628,1.0,0.08982035928143717,0.9101796407185628
9,baseline,"SVM",(None),0.6729041916167665,0.3937125748502994,0.9520958083832335,0.31579240150341636,0.7589820359281437,0.5868263473053892,0.17215568862275454,0.7731755424063116,0.35179640718562877,0.08982035928143713,0.26197604790419166,0.2553191489361702,0.6107784431137725,0.17664670658682635,0.43413173652694614,0.2892156862745098,0.907185628742515,0.9970059880239521,0.08982035928143717,0.9099099099099098
10,baseline,"SVM",(None),0.6646706586826348,0.3712574850299401,0.9580838323353293,0.2847169004929382,0.7410179640718563,0.5883233532934131,0.15269461077844315,0.7939393939393938,0.3218562874251497,0.09131736526946108,0.23053892215568864,0.2837209302325581,0.562874251497006,0.17964071856287425,0.38323353293413176,0.3191489361702128,0.9191616766467066,0.9970059880239521,0.07784431137724557,0.9219219219219219
11,baseline,"SVM",(None),0.657185628742515,0.35479041916167664,0.9595808383233533,0.30827939068765187,0.7455089820359282,0.5688622754491018,0.17664670658682635,0.7630522088353414,0.3203592814371258,0.0748502994011976,0.2455089820359282,0.23364485981308408,0.5658682634730539,0.1437125748502994,0.42215568862275443,0.25396825396825395,0.9251497005988024,0.9940119760479041,0.06886227544910173,0.9307228915662651
12,baseline,"SVM",(None),0.6706586826347305,0.38173652694610777,0.9595808383233533,0.34850478177423855,0.7724550898203593,0.5688622754491018,0.20359281437125742,0.7364341085271319,0.3532934131736527,0.0688622754491018,0.2844311377245509,0.19491525423728814,0.625748502994012,0.1377245508982036,0.4880239520958084,0.22009569377990432,0.9191616766467066,1.0,0.08083832335329344,0.9191616766467066
13,baseline,"SVM",(None),0.6654191616766467,0.37425149700598803,0.9565868263473054,0.3148882933478393,0.75,0.5808383233532934,0.16916167664670656,0.7744510978043913,0.33682634730538924,0.08083832335329341,0.25598802395209586,0.24,0.5868263473053892,0.16167664670658682,0.42514970059880236,0.2755102040816327,0.9131736526946108,1.0,0.08682634730538918,0.9131736526946108
14,baseline,"SVM",(None),0.6758982035928144,0.38772455089820357,0.9640718562874252,0.3095845659891162,0.7664670658682635,0.5853293413173652,0.18113772455089827,0.7636718749999999,0.3383233532934132,0.08532934131736528,0.2529940119760479,0.252212389380531,0.6047904191616766,0.17065868263473055,0.4341317365269461,0.2821782178217822,0.9281437125748503,1.0,0.07185628742514971,0.9281437125748503
15,baseline,"SVM",(None),0.6444610778443114,0.34281437125748504,0.9461077844311377,0.35476774851007503,0.7350299401197605,0.5538922155688623,0.18113772455089827,0.7535641547861507,0.3398203592814371,0.05688622754491018,0.28293413173652693,0.16740088105726872,0.5748502994011976,0.11077844311377245,0.46407185628742514,0.19270833333333334,0.8952095808383234,0.9970059880239521,0.10179640718562877,0.8978978978978979
16,baseline,"SVM",(None),0.6616766467065869,0.37574850299401197,0.9476047904191617,0.29562240678373375,0.7365269461077845,0.5868263473053892,0.14970059880239528,0.7967479674796747,0.33532934131736525,0.09281437125748503,0.2425149700598802,0.2767857142857143,0.5718562874251497,0.17964071856287425,0.3922155688622755,0.31413612565445026,0.9011976047904192,0.9940119760479041,0.09281437125748493,0.9066265060240964
17,baseline,"SVM",(None),0.6654191616766467,0.3652694610778443,0.9655688622754491,0.2976135094213793,0.75,0.5808383233532934,0.16916167664670656,0.7744510978043913,0.3188622754491018,0.08083832335329341,0.23802395209580837,0.2535211267605634,0.5688622754491018,0.16167664670658682,0.407185628742515,0.28421052631578947,0.9311377245508982,1.0,0.06886227544910184,0.9311377245508982
