bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,3,3,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.655688622754491,0.344311377245509,0.9670658682634732,0.3558754527948654,0.7619760479041916,0.5494011976047904,0.2125748502994011,0.7210216110019647,0.3278443113772455,0.0494011976047904,0.2784431137724551,0.1506849315068493,0.5898203592814372,0.0988023952095808,0.4910179640718563,0.1675126903553299,0.934131736526946,1.0,0.0658682634730538,0.934131736526946,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,2,2,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6646706586826348,0.4071856287425149,0.9221556886227544,0.4016660030451229,0.7619760479041916,0.5673652694610778,0.1946107784431138,0.7445972495088408,0.4146706586826347,0.0703592814371257,0.344311377245509,0.1696750902527075,0.6766467065868264,0.1377245508982036,0.5389221556886228,0.2035398230088495,0.8473053892215568,0.997005988023952,0.1497005988023952,0.8498498498498498,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,1,1,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6541916167664671,0.3532934131736527,0.9550898203592816,0.3336470544860006,0.7425149700598802,0.5658682634730539,0.1766467065868263,0.7620967741935484,0.3323353293413174,0.0658682634730539,0.2664670658682634,0.1981981981981982,0.5748502994011976,0.1317365269461078,0.4431137724550897,0.2291666666666666,0.9101796407185628,1.0,0.0898203592814371,0.9101796407185628,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,0,0,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.687874251497006,0.4326347305389221,0.94311377245509,0.3534081645223679,0.7859281437125748,0.5898203592814372,0.1961077844311376,0.7504761904761906,0.3967065868263473,0.092814371257485,0.3038922155688622,0.2339622641509434,0.6826347305389222,0.1826347305389221,0.5,0.2675438596491228,0.8892215568862275,0.997005988023952,0.1077844311377246,0.8918918918918918,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,4,4,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6579341317365269,0.3592814371257485,0.9565868263473054,0.3565127100656804,0.7574850299401198,0.5583832335329342,0.1991017964071856,0.7371541501976285,0.344311377245509,0.0583832335329341,0.2859281437125748,0.1695652173913043,0.6017964071856288,0.1167664670658682,0.4850299401197605,0.1940298507462686,0.9131736526946108,1.0,0.0868263473053891,0.9131736526946108,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,5,5,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6452095808383234,0.3398203592814371,0.9505988023952096,0.3743452963709709,0.7440119760479041,0.5464071856287425,0.1976047904191616,0.7344064386317907,0.342814371257485,0.0464071856287425,0.2964071856287425,0.1353711790393013,0.5868263473053892,0.092814371257485,0.4940119760479041,0.1581632653061224,0.9011976047904192,1.0,0.0988023952095807,0.9011976047904192,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,6,6,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6586826347305389,0.3682634730538922,0.9491017964071856,0.356771993591503,0.7529940119760479,0.5643712574850299,0.1886227544910179,0.7495029821073559,0.3547904191616766,0.0643712574850299,0.2904191616766467,0.1814345991561181,0.6077844311377245,0.1287425149700598,0.4790419161676646,0.2118226600985221,0.8982035928143712,1.0,0.1017964071856287,0.8982035928143712,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,7,7,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6788922155688623,0.4565868263473054,0.9011976047904192,0.4428893758714556,0.7904191616766467,0.5673652694610778,0.2230538922155689,0.7178030303030303,0.4760479041916167,0.0793413173652694,0.3967065868263473,0.1666666666666666,0.7664670658682635,0.1467065868263473,0.6197604790419162,0.1914062499999999,0.8143712574850299,0.9880239520958084,0.1736526946107784,0.8242424242424242,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,8,8,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6721556886227545,0.4011976047904191,0.94311377245509,0.384746276545751,0.7769461077844312,0.5673652694610778,0.2095808383233534,0.7302504816955683,0.3907185628742515,0.0673652694610778,0.3233532934131736,0.1724137931034483,0.6676646706586826,0.1347305389221557,0.5329341317365269,0.2017937219730942,0.8862275449101796,1.0,0.1137724550898203,0.8862275449101796,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,9,9,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6646706586826348,0.3667664670658682,0.9625748502994012,0.3206032809596209,0.7589820359281437,0.5703592814371258,0.1886227544910179,0.7514792899408285,0.3308383233532934,0.0733532934131736,0.2574850299401198,0.2217194570135746,0.5898203592814372,0.1437125748502994,0.4461077844311377,0.2436548223350253,0.9281437125748504,0.997005988023952,0.0688622754491018,0.9309309309309308,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,10,10,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6736526946107785,0.4011976047904191,0.9461077844311376,0.3784941927390279,0.781437125748503,0.5658682634730539,0.2155688622754491,0.7241379310344828,0.3862275449101796,0.0688622754491018,0.3173652694610778,0.1782945736434108,0.6676646706586826,0.1347305389221557,0.5329341317365269,0.2017937219730942,0.8952095808383234,0.997005988023952,0.1017964071856287,0.8978978978978979,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,11,11,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6497005988023952,0.3368263473053892,0.9625748502994012,0.3492902564361799,0.7514970059880239,0.5479041916167665,0.2035928143712574,0.7290836653386455,0.3233532934131736,0.0508982035928143,0.2724550898203592,0.1574074074074074,0.5748502994011976,0.0988023952095808,0.4760479041916167,0.171875,0.9281437125748504,0.997005988023952,0.0688622754491018,0.9309309309309308,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,12,12,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6766467065868264,0.4191616766467065,0.934131736526946,0.4191297423079543,0.7904191616766467,0.562874251497006,0.2275449101796407,0.7121212121212122,0.4221556886227545,0.0628742514970059,0.3592814371257485,0.1489361702127659,0.7125748502994012,0.1257485029940119,0.5868263473053892,0.1764705882352941,0.8682634730538922,1.0,0.1317365269461078,0.8682634730538922,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,13,13,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6803892215568862,0.4161676646706587,0.9446107784431138,0.3932210106819881,0.7919161676646707,0.5688622754491018,0.2230538922155688,0.7183364839319472,0.4026946107784431,0.0688622754491018,0.3338323353293413,0.1710037174721189,0.6946107784431138,0.1377245508982036,0.5568862275449102,0.1982758620689655,0.8892215568862275,1.0,0.1107784431137725,0.8892215568862275,0.01
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,14,14,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6631736526946108,0.3682634730538922,0.9580838323353292,0.3559292577480722,0.7679640718562875,0.5583832335329342,0.2095808383233532,0.7270955165692008,0.3488023952095808,0.061377245508982,0.2874251497005988,0.1759656652360515,0.6167664670658682,0.1197604790419161,0.497005988023952,0.1941747572815534,0.9191616766467066,0.997005988023952,0.0778443113772455,0.921921921921922,0.01
