bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,12,12,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6781437125748503,0.4266467065868263,0.9296407185628742,0.4226237780505544,0.7904191616766467,0.5658682634730539,0.2245508982035928,0.7159090909090908,0.4311377245508982,0.0658682634730539,0.3652694610778443,0.1527777777777778,0.7215568862275449,0.1317365269461078,0.5898203592814371,0.1825726141078838,0.8592814371257484,1.0,0.1407185628742515,0.8592814371257484
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,10,10,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6706586826347305,0.3922155688622754,0.9491017964071856,0.371282684218954,0.7769461077844312,0.5643712574850299,0.2125748502994012,0.7263969171483622,0.3757485029940119,0.0673652694610778,0.3083832335329341,0.1792828685258964,0.6526946107784432,0.1317365269461078,0.5209580838323353,0.2018348623853211,0.9011976047904192,0.997005988023952,0.0958083832335329,0.903903903903904
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,1,1,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.655688622754491,0.3577844311377245,0.9535928143712576,0.3541547871065577,0.7544910179640718,0.5568862275449101,0.1976047904191616,0.738095238095238,0.344311377245509,0.059880239520958,0.2844311377245508,0.1739130434782608,0.5988023952095808,0.1167664670658682,0.4820359281437125,0.195,0.9101796407185628,0.997005988023952,0.0868263473053893,0.9129129129129128
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,2,2,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6601796407185628,0.3922155688622754,0.9281437125748504,0.4042781965615432,0.7589820359281437,0.561377245508982,0.1976047904191616,0.7396449704142012,0.4026946107784431,0.061377245508982,0.341317365269461,0.1524163568773234,0.6616766467065869,0.122754491017964,0.5389221556886228,0.1855203619909502,0.8562874251497006,1.0,0.1437125748502994,0.8562874251497006
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,0,0,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6848802395209581,0.4206586826347305,0.9491017964071856,0.3473746148177205,0.781437125748503,0.5883233532934131,0.1931137724550898,0.7528735632183907,0.3832335329341317,0.0883233532934131,0.2949101796407186,0.23046875,0.6646706586826348,0.1766467065868263,0.4880239520958084,0.2657657657657657,0.8982035928143712,1.0,0.1017964071856287,0.8982035928143712
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,4,4,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6601796407185628,0.3637724550898203,0.9565868263473054,0.3531818157238325,0.7619760479041916,0.5583832335329342,0.2035928143712574,0.7328094302554028,0.3458083832335329,0.061377245508982,0.2844311377245508,0.1774891774891775,0.6077844311377245,0.1197604790419161,0.4880239520958083,0.1970443349753694,0.9161676646706588,0.997005988023952,0.0808383233532934,0.9189189189189187
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,5,5,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6467065868263473,0.3398203592814371,0.9535928143712576,0.3906141638556826,0.7574850299401198,0.5359281437125748,0.221556886227545,0.7075098814229248,0.3473053892215569,0.0389221556886227,0.3083832335329342,0.1120689655172413,0.6047904191616766,0.0748502994011976,0.5299401197604791,0.1237623762376237,0.9101796407185628,0.997005988023952,0.0868263473053893,0.9129129129129128
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,7,7,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6826347305389222,0.4610778443113772,0.9041916167664672,0.4441929381030863,0.7949101796407185,0.5703592814371258,0.2245508982035927,0.7175141242937854,0.4775449101796407,0.0793413173652694,0.3982035928143713,0.1661442006269592,0.7724550898203593,0.1497005988023952,0.6227544910179641,0.193798449612403,0.8173652694610778,0.9910179640718564,0.1736526946107784,0.824773413897281
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,3,3,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6541916167664671,0.3398203592814371,0.968562874251497,0.3580738914870865,0.7619760479041916,0.5464071856287425,0.2155688622754491,0.7170923379174852,0.3248502994011976,0.0464071856287425,0.278443113772455,0.1428571428571428,0.5868263473053892,0.092814371257485,0.4940119760479041,0.1581632653061224,0.937125748502994,1.0,0.0628742514970059,0.937125748502994
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,11,11,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6474550898203593,0.3323353293413174,0.9625748502994012,0.3451362805232249,0.75,0.5449101796407185,0.2050898203592814,0.7265469061876247,0.3188622754491018,0.0508982035928143,0.2679640718562874,0.1596244131455399,0.5688622754491018,0.0958083832335329,0.4730538922155689,0.1684210526315789,0.9311377245508982,0.994011976047904,0.0628742514970059,0.9367469879518072
