bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (gdro),TPR (gdro),TNR (gdro),Renyi preds and s (gdro),Accuracy_sex_Male_1.0 (gdro),Accuracy_sex_Male_0.0 (gdro),Accuracy_sex_Male_0.0-sex_Male_1.0 (gdro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (gdro),prob_pos_sex_Male_1.0 (gdro),prob_pos_sex_Male_0.0 (gdro),prob_pos_sex_Male_0.0-sex_Male_1.0 (gdro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (gdro),TPR_sex_Male_1.0 (gdro),TPR_sex_Male_0.0 (gdro),TPR_sex_Male_0.0-sex_Male_1.0 (gdro),TPR_sex_Male_0.0÷sex_Male_1.0 (gdro),TNR_sex_Male_1.0 (gdro),TNR_sex_Male_0.0 (gdro),TNR_sex_Male_0.0-sex_Male_1.0 (gdro),TNR_sex_Male_0.0÷sex_Male_1.0 (gdro)
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,14,14,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6684131736526946,0.3787425149700599,0.9580838323353292,0.2993699567717572,0.7604790419161677,0.5763473053892215,0.1841317365269461,0.7578740157480315,0.3323353293413174,0.0883233532934131,0.2440119760479042,0.2657657657657657,0.592814371257485,0.1646706586826347,0.4281437125748503,0.2777777777777777,0.9281437125748504,0.9880239520958084,0.0598802395209581,0.9393939393939392
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,6,6,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6729041916167665,0.3967065868263473,0.9491017964071856,0.3214608277193512,0.7589820359281437,0.5868263473053892,0.1721556886227545,0.7731755424063116,0.3577844311377245,0.0898203592814371,0.2679640718562874,0.2510460251046025,0.6167664670658682,0.1766467065868263,0.4401197604790419,0.2864077669902913,0.9011976047904192,0.997005988023952,0.0958083832335329,0.903903903903904
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,9,9,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6766467065868264,0.4011976047904191,0.9520958083832336,0.3049358014170246,0.7649700598802395,0.5883233532934131,0.1766467065868263,0.7690802348336595,0.3517964071856287,0.0973053892215568,0.2544910179640718,0.2765957446808511,0.6167664670658682,0.18562874251497,0.4311377245508981,0.3009708737864077,0.9131736526946108,0.9910179640718564,0.0778443113772454,0.921450151057402
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,8,8,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.7088323353293413,0.4790419161676646,0.938622754491018,0.2848595578216813,0.7859281437125748,0.6317365269461078,0.1541916167664669,0.8038095238095239,0.3967065868263473,0.1437125748502994,0.2529940119760479,0.3622641509433962,0.6826347305389222,0.2754491017964072,0.407185628742515,0.4035087719298245,0.8892215568862275,0.9880239520958084,0.0988023952095809,0.8999999999999999
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,7,7,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6953592814371258,0.4865269461077844,0.9041916167664672,0.3772990330431595,0.7919161676646707,0.5988023952095808,0.1931137724550898,0.7561436672967863,0.4625748502994012,0.1197604790419161,0.342814371257485,0.2588996763754045,0.7544910179640718,0.218562874251497,0.5359281437125748,0.2896825396825397,0.8293413173652695,0.9790419161676648,0.1497005988023951,0.8470948012232417
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,11,11,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6549401197604791,0.3368263473053892,0.9730538922155688,0.3046396548336016,0.7514970059880239,0.5583832335329342,0.1931137724550897,0.7430278884462153,0.2994011976047904,0.0643712574850299,0.2350299401197604,0.215,0.5508982035928144,0.122754491017964,0.4281437125748503,0.2228260869565217,0.9520958083832336,0.994011976047904,0.0419161676646706,0.9578313253012049
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,3,3,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6691616766467066,0.3712574850299401,0.9670658682634732,0.3094194455773083,0.7604790419161677,0.5778443113772455,0.1826347305389222,0.7598425196850394,0.3263473053892216,0.0778443113772455,0.248502994011976,0.2385321100917431,0.5868263473053892,0.155688622754491,0.4311377245508981,0.2653061224489796,0.934131736526946,1.0,0.0658682634730538,0.934131736526946
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,5,5,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6729041916167665,0.3997005988023952,0.9461077844311376,0.3056501655692923,0.7559880239520959,0.5898203592814372,0.1661676646706587,0.7801980198019802,0.3547904191616766,0.0988023952095808,0.2559880239520958,0.2784810126582278,0.6107784431137725,0.1886227544910179,0.4221556886227545,0.3088235294117646,0.9011976047904192,0.9910179640718564,0.089820359281437,0.9093655589123868
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,4,4,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6706586826347305,0.3892215568862275,0.9520958083832336,0.322387598570031,0.7619760479041916,0.5793413173652695,0.1826347305389221,0.7603143418467584,0.3517964071856287,0.0853293413173652,0.2664670658682635,0.2425531914893617,0.6137724550898204,0.1646706586826347,0.4491017964071856,0.2682926829268292,0.9101796407185628,0.994011976047904,0.0838323353293413,0.9156626506024096
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,0,0,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.7058383233532934,0.4625748502994012,0.9491017964071856,0.2690159115846739,0.7844311377245509,0.6272455089820359,0.1571856287425149,0.799618320610687,0.374251497005988,0.1392215568862275,0.2350299401197605,0.3719999999999999,0.6586826347305389,0.2664670658682634,0.3922155688622754,0.4045454545454545,0.9101796407185628,0.9880239520958084,0.0778443113772455,0.9212121212121211
