bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_sex_Male_1.0 (lff),Accuracy_sex_Male_0.0 (lff),Accuracy_sex_Male_0.0-sex_Male_1.0 (lff),Accuracy_sex_Male_0.0÷sex_Male_1.0 (lff),prob_pos_sex_Male_1.0 (lff),prob_pos_sex_Male_0.0 (lff),prob_pos_sex_Male_0.0-sex_Male_1.0 (lff),prob_pos_sex_Male_0.0÷sex_Male_1.0 (lff),TPR_sex_Male_1.0 (lff),TPR_sex_Male_0.0 (lff),TPR_sex_Male_0.0-sex_Male_1.0 (lff),TPR_sex_Male_0.0÷sex_Male_1.0 (lff),TNR_sex_Male_1.0 (lff),TNR_sex_Male_0.0 (lff),TNR_sex_Male_0.0-sex_Male_1.0 (lff),TNR_sex_Male_0.0÷sex_Male_1.0 (lff)
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,12,12,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2335329341317365,0.4101796407185629,0.0568862275449101,0.0160019869300535,0.25,0.217065868263473,0.0329341317365269,0.8682634730538922,0.6841317365269461,0.6691616766467066,0.0149700598802395,0.9781181619256016,0.4341317365269461,0.3862275449101796,0.0479041916167664,0.8896551724137931,0.0658682634730539,0.0479041916167664,0.0179640718562874,0.7272727272727273
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,9,9,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2043413173652694,0.3338323353293413,0.0748502994011976,0.0170487321542428,0.2275449101796407,0.1811377245508982,0.0464071856287424,0.7960526315789475,0.6377245508982036,0.6212574850299402,0.0164670658682634,0.9741784037558686,0.3652694610778443,0.3023952095808383,0.0628742514970059,0.8278688524590164,0.0898203592814371,0.059880239520958,0.029940119760479,0.6666666666666666
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,14,14,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2350299401197604,0.4026946107784431,0.0673652694610778,0.0095340480888682,0.2410179640718563,0.2290419161676646,0.0119760479041916,0.9503105590062112,0.6721556886227545,0.6631736526946108,0.0089820359281437,0.9866369710467706,0.4131736526946107,0.3922155688622754,0.0209580838323353,0.9492753623188406,0.0688622754491018,0.0658682634730539,0.0029940119760479,0.9565217391304348
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,13,13,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2035928143712574,0.309880239520958,0.0973053892215568,0.0398325368378696,0.2215568862275449,0.18562874251497,0.0359281437125748,0.8378378378378378,0.625748502994012,0.5868263473053892,0.0389221556886227,0.9377990430622009,0.3473053892215569,0.2724550898203592,0.0748502994011976,0.7844827586206896,0.0958083832335329,0.0988023952095808,0.0029940119760479,0.9696969696969696
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,11,11,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2200598802395209,0.3622754491017964,0.0778443113772455,0.0249840241158533,0.2380239520958083,0.2020958083832335,0.0359281437125748,0.8490566037735849,0.6541916167664671,0.6302395209580839,0.0239520958083832,0.9633867276887872,0.3922155688622754,0.3323353293413174,0.059880239520958,0.8473282442748092,0.0838323353293413,0.0718562874251497,0.0119760479041916,0.8571428571428572
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,10,10,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2133233532934131,0.3697604790419161,0.0568862275449101,0.055164781825224,0.2514970059880239,0.1751497005988024,0.0763473053892215,0.6964285714285714,0.6826347305389222,0.6302395209580839,0.0523952095808383,0.9232456140350878,0.4341317365269461,0.3053892215568862,0.1287425149700598,0.703448275862069,0.0688622754491018,0.0449101796407185,0.0239520958083832,0.6521739130434783
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,1,1,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3338323353293413,0.6137724550898204,0.0538922155688622,0.2963031874350069,0.2589820359281437,0.4086826347305389,0.1497005988023951,0.6336996336996338,0.657185628742515,0.9026946107784432,0.2455089820359282,0.7280265339966832,0.4161676646706587,0.811377245508982,0.3952095808383233,0.5129151291512916,0.1017964071856287,0.0059880239520958,0.0958083832335329,0.0588235294117647
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,2,2,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3368263473053892,0.6272455089820359,0.0464071856287425,0.2648204488514247,0.2754491017964072,0.3982035928143712,0.122754491017964,0.6917293233082707,0.6826347305389222,0.8982035928143712,0.215568862275449,0.7600000000000001,0.4580838323353293,0.7964071856287425,0.3383233532934131,0.575187969924812,0.092814371257485,0.0,0.092814371257485,0.0
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,0,0,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3001497005988024,0.5389221556886228,0.061377245508982,0.2879488940249247,0.2290419161676646,0.3712574850299401,0.1422155688622754,0.6169354838709677,0.6122754491017964,0.8652694610778443,0.2529940119760479,0.7076124567474049,0.3413173652694611,0.7365269461077845,0.3952095808383233,0.4634146341463415,0.1167664670658682,0.0059880239520958,0.1107784431137724,0.0512820512820512
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,4,4,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2230538922155688,0.3847305389221557,0.061377245508982,0.0601157468160919,0.2559880239520958,0.1901197604790419,0.0658682634730538,0.7426900584795322,0.6901197604790419,0.6332335329341318,0.0568862275449101,0.9175704989154012,0.4461077844311377,0.3233532934131736,0.1227544910179641,0.7248322147651006,0.0658682634730539,0.0568862275449101,0.0089820359281437,0.8636363636363635
