bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,7,7,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7589820359281437,0.5988023952095808,0.9191616766467066,0.2022775806780868,0.8008982035928144,0.7170658682634731,0.0838323353293413,0.8953271028037383,0.4356287425149701,0.2440119760479042,0.1916167664670658,0.5601374570446735,0.7365269461077845,0.4610778443113772,0.2754491017964072,0.6260162601626016,0.8652694610778443,0.9730538922155688,0.1077844311377245,0.8892307692307693
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,6,6,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7290419161676647,0.5239520958083832,0.934131736526946,0.1838418833106614,0.7619760479041916,0.6961077844311377,0.0658682634730538,0.913555992141454,0.3787425149700599,0.2110778443113772,0.1676646706586826,0.5573122529644269,0.6407185628742516,0.4071856287425149,0.2335329341317366,0.6355140186915887,0.8832335329341318,0.9850299401197604,0.1017964071856287,0.8966565349544072
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,11,11,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7387724550898204,0.5344311377245509,0.94311377245509,0.0967739910466155,0.7529940119760479,0.7245508982035929,0.028443113772455,0.9622266401590458,0.3398203592814371,0.2514970059880239,0.0883233532934131,0.7400881057268722,0.592814371257485,0.4760479041916167,0.1167664670658683,0.803030303030303,0.9131736526946108,0.9730538922155688,0.059880239520958,0.9384615384615386
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,2,2,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7402694610778443,0.5329341317365269,0.9476047904191616,0.1694466322857423,0.7679640718562875,0.7125748502994012,0.0553892215568863,0.9278752436647172,0.3697604790419161,0.2155688622754491,0.154191616766467,0.5829959514170041,0.6377245508982036,0.4281437125748503,0.2095808383233532,0.6713615023474179,0.8982035928143712,0.997005988023952,0.0988023952095809,0.9009009009009008
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,5,5,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7529940119760479,0.5838323353293413,0.9221556886227544,0.1972612546635403,0.7799401197604791,0.7260479041916168,0.0538922155688622,0.9309021113243764,0.4236526946107784,0.2380239520958083,0.18562874251497,0.5618374558303887,0.7035928143712575,0.4640718562874251,0.2395209580838324,0.6595744680851063,0.8562874251497006,0.9880239520958084,0.1317365269461078,0.8666666666666666
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,0,0,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7425149700598802,0.5254491017964071,0.9595808383233532,0.1262946453871619,0.7679640718562875,0.7170658682634731,0.0508982035928143,0.9337231968810916,0.3398203592814371,0.2260479041916167,0.1137724550898203,0.6651982378854626,0.6077844311377245,0.4431137724550898,0.1646706586826347,0.729064039408867,0.9281437125748504,0.9910179640718564,0.0628742514970059,0.9365558912386708
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,3,3,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7230538922155688,0.4865269461077844,0.9595808383233532,0.1971011273373007,0.7724550898203593,0.6736526946107785,0.0988023952095807,0.8720930232558141,0.3502994011976048,0.1766467065868263,0.1736526946107784,0.5042735042735043,0.6227544910179641,0.3502994011976048,0.2724550898203593,0.5625,0.9221556886227544,0.997005988023952,0.0748502994011975,0.924924924924925
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,4,4,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.750748502994012,0.5718562874251497,0.9296407185628742,0.2035970266967414,0.7904191616766467,0.7110778443113772,0.0793413173652695,0.899621212121212,0.4161676646706587,0.2260479041916167,0.1901197604790419,0.5431654676258992,0.7065868263473054,0.437125748502994,0.2694610778443114,0.6186440677966102,0.874251497005988,0.9850299401197604,0.1107784431137725,0.8875379939209727
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,1,1,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7223053892215568,0.497005988023952,0.9476047904191616,0.135828247783589,0.7485029940119761,0.6961077844311377,0.0523952095808383,0.93,0.3353293413173652,0.2140718562874251,0.1212574850299401,0.6383928571428572,0.5838323353293413,0.4101796407185629,0.1736526946107784,0.7025641025641026,0.9131736526946108,0.9820359281437124,0.0688622754491017,0.929878048780488
[],0.0,True,partial,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,8,8,results/adult/partial_outcome_oracle,,,False,4,cuda:0,True,0.7140718562874252,0.4775449101796407,0.9505988023952096,0.2140926038318957,0.7679640718562875,0.6601796407185628,0.1077844311377246,0.8596491228070174,0.3577844311377245,0.1691616766467066,0.1886227544910179,0.4728033472803347,0.625748502994012,0.3293413173652694,0.2964071856287425,0.5263157894736842,0.9101796407185628,0.9910179640718564,0.0808383233532934,0.918429003021148
