bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.celeba_sens_attr,data.celeba_target_attr,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_Male_0.0 (cnn),Accuracy_Male_1.0 (cnn),Accuracy_Male_0.0-Male_1.0 (cnn),Accuracy_Male_0.0÷Male_1.0 (cnn),prob_pos_Male_0.0 (cnn),prob_pos_Male_1.0 (cnn),prob_pos_Male_0.0-Male_1.0 (cnn),prob_pos_Male_0.0÷Male_1.0 (cnn),TPR_Male_0.0 (cnn),TPR_Male_1.0 (cnn),TPR_Male_0.0-Male_1.0 (cnn),TPR_Male_0.0÷Male_1.0 (cnn),TNR_Male_0.0 (cnn),TNR_Male_1.0 (cnn),TNR_Male_0.0-Male_1.0 (cnn),TNR_Male_0.0÷Male_1.0 (cnn)
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,2,2,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8095755182625863,0.6402007990984531,0.9670444804267072,0.09621851916776833,0.7458563535911602,0.8978222483814008,0.1519658947902406,0.8307394419505579,0.2872078198045049,0.3785756327251325,0.09136781292062757,0.7586537404350959,0.530736409608091,0.8419749490241771,0.3112385394160861,0.6303470313733183,0.996229538348354,0.9356973528249704,0.060532185523383575,0.9392387163868482
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,1,1,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8347482724580454,0.7052555721418644,0.9540131797278718,0.05773296859733627,0.7885938621301026,0.89970887053651,0.11111500840640742,0.8764989297703069,0.3386804001857402,0.3949854435268255,0.056305043341085326,0.8574503332620628,0.6173608407940833,0.8767851716803403,0.25942433088625705,0.7041187063085524,0.9914238288454444,0.9144306761635279,0.07699315268191631,0.922340828975658
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,0,0,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8385982230997039,0.7210713000565465,0.9471210898561732,0.07633191864972895,0.7980249436002214,0.8945791977447584,0.09655425414453699,0.8920674051129838,0.34222960030647426,0.417043519116697,0.07481391881022276,0.8206088444470268,0.6307851075652934,0.8869603267211202,0.2561752191558269,0.7111762370445077,0.9913729809104258,0.899714875626782,0.09165810528364382,0.9075442774328288
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,3,3,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8167571569595261,0.6538362843212727,0.9676729260755884,0.06986433654874598,0.7588655479944207,0.8979894430935295,0.13912389509910872,0.8450717921361818,0.30343632444312946,0.3701441195658621,0.06670779512273263,0.8197788601883681,0.5579311429020595,0.8342451574744936,0.2763140145724341,0.6687855936629968,0.9925939471518698,0.9406813230342642,0.05191262411760556,0.9477000396118044
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,5,5,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8080207305034551,0.6358354991591499,0.9697085706082212,0.09182323419617604,0.742634022794428,0.9000594177064766,0.15742539491204854,0.8250944417500807,0.2873364288729422,0.37450980392156863,0.08717337504862642,0.7672333964670184,0.5276867883325534,0.8397294515512425,0.3120426632186889,0.6284009538521618,0.9962274567537726,0.940971183567654,0.0552562731861187,0.9445344807438129
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,4,4,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8164363277393879,0.6471284479209551,0.9724487860394536,0.07525330663068447,0.7563805104408353,0.9011002081474874,0.14471969770665205,0.839396665988823,0.2950010546298249,0.3665179898899792,0.07151693526015424,0.80487469310409,0.5479225684608121,0.8346222486615109,0.2866996802006989,0.6564916875143444,0.997271983268164,0.9453968883163216,0.05187509495184249,0.9479830018067464
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,6,6,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8122408687068114,0.640342822161004,0.9733244095993879,0.07570508838909193,0.7486426874787919,0.900731822474032,0.15208913499524002,0.8311493707666526,0.2935188327112317,0.3653210576015109,0.0718022248902791,0.803454459040244,0.5390416339355852,0.8279976717112922,0.288956037775707,0.651018296732046,0.9946524064171124,0.9503574265289912,0.04429497988812103,0.9554668750587172
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,7,7,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.7880059230009872,0.5911054637865312,0.9738546414008156,0.1046728422701432,0.7136545161016229,0.8910611235425745,0.1774066074409516,0.8009041099945652,0.2597077066870592,0.35696619950535863,0.0972584928182994,0.7275414508346486,0.4754406580493537,0.8047756874095514,0.3293350293601977,0.5907741318325902,0.9959157152139608,0.9502581413820492,0.0456575738319116,0.9541551828790024
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,8,8,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8187561697926949,0.6770250141250193,0.9498361122987032,0.102830241577394,0.7665026302392669,0.8914326174179844,0.1249299871787175,0.8598548171362917,0.3097318852876294,0.4092518291243805,0.09951994383675106,0.7568246816399572,0.5709883858734297,0.8740458015267175,0.3030574156532878,0.6532705550167625,0.9932203389830508,0.9031176006314128,0.09010273835163808,0.9092822258916956
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,False,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,9,9,results/celeba/no_smiling_females,,,False,4,cuda:0,True,0.8247285291214215,0.6842723604229453,0.9560234923363415,0.08014897655141719,0.7734948914970868,0.8968159676844482,0.12332107618736132,0.8624900975996529,0.3210335219116778,0.3987762860876797,0.0777427641760019,0.8050466718100974,0.58723603210473,0.868920521945433,0.28168448984070305,0.6758224915553411,0.993734451303787,0.9154608523290386,0.07827359897474839,0.9212328818105754
