bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.celeba_sens_attr,data.celeba_target_attr,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_Male_1.0 (cnn),Accuracy_Male_0.0 (cnn),Accuracy_Male_0.0-Male_1.0 (cnn),Accuracy_Male_0.0÷Male_1.0 (cnn),prob_pos_Male_1.0 (cnn),prob_pos_Male_0.0 (cnn),prob_pos_Male_0.0-Male_1.0 (cnn),prob_pos_Male_0.0÷Male_1.0 (cnn),TPR_Male_1.0 (cnn),TPR_Male_0.0 (cnn),TPR_Male_0.0-Male_1.0 (cnn),TPR_Male_0.0÷Male_1.0 (cnn),TNR_Male_1.0 (cnn),TNR_Male_0.0 (cnn),TNR_Male_0.0-Male_1.0 (cnn),TNR_Male_0.0÷Male_1.0 (cnn)
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,0,0,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.91426456071076,0.9002210455970802,0.9272321640480372,0.10498115678885346,0.9065601691431256,0.9198484655003618,0.013288296357236162,0.9855538201610112,0.408468902331591,0.514621376580258,0.10615247424866696,0.7937270407341659,0.8911901983663943,0.9051361435262364,0.013945945159842044,0.9845924336801852,0.9169206567692461,0.9368575624082232,0.01993690563897721,0.978719384419838
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,1,1,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9156465942744324,0.8990580120450918,0.9309249514056795,0.13432352483795273,0.9071950567405382,0.9216513993836802,0.014456342643141997,0.9843147391163196,0.3874992573227972,0.5234919160791929,0.13599265875639566,0.7402201360148168,0.8767851716803403,0.9104710003892564,0.03368582870891623,0.9630017554710536,0.9267245584935117,0.934894872740686,0.008170314247174515,0.991260713385642
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,2,2,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.918904244817374,0.914506710378035,0.9229926659681874,0.10978976785155764,0.9062389640965274,0.9280492987675308,0.021810334671003462,0.9764987326643444,0.4159505591524426,0.5271143221419464,0.1111637629895038,0.7891088169682315,0.8986309350422371,0.9231194690265486,0.0244885339843115,0.9734719775652276,0.9113986566574476,0.9337870148979216,0.02238835824047392,0.9760241276829906
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,3,3,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9147581441263574,0.908339748524506,0.920703589256002,0.12077209979394447,0.9045726825217959,0.9220169914197556,0.01744430889795978,0.9810802739425676,0.4065002075796216,0.5288896403060146,0.12238943272639295,0.768591737483119,0.8877716989501699,0.9192736991039144,0.03150200015374438,0.965731642073028,0.9158249158249159,0.9252080095090062,0.009383093684090292,0.9898583955308928
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,4,4,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9163376110562684,0.8761321531494443,0.9533858118361154,0.11924301213065712,0.9103181683021112,0.9206074667791604,0.010289298477049293,0.9888233597397952,0.3740707701457032,0.4943260915418688,0.12025532139616554,0.7567287597118872,0.8555919095776323,0.8870003147623544,0.0314084051847221,0.9645903111171532,0.946784263204836,0.9594434845867056,0.01265922138186948,0.9868056622560498
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,5,5,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9132773938795656,0.913519849156602,0.9130497200555104,0.1216633892937749,0.9007130124777184,0.922203461376108,0.02149044889838969,0.976696629541683,0.4150920974450386,0.5384972562262558,0.12340515878121715,0.7708341920884977,0.8907513600941038,0.9255966307908282,0.034845270696724384,0.9623537191714358,0.9074683418087546,0.9182002208317998,0.010731879023045177,0.9883120491810348
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,6,6,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9152764067127344,0.879400061218243,0.9488956879242756,0.11434025541112673,0.9087582625118036,0.9199609772650152,0.011202714753211662,0.9878226196218488,0.3846789423984892,0.5000424160162877,0.11536347361779856,0.7692926241400272,0.8617578579743889,0.8889238020424195,0.02716594406803064,0.969439513256802,0.9408260524225576,0.9563894523326572,0.015563399910099585,0.9837269222573084
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,7,7,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9113770977295164,0.870292249047014,0.9501559126888942,0.12176916350503768,0.9025438699799788,0.9177500212422466,0.015206151262267762,0.9834310532167736,0.3769285125426923,0.4996601240547201,0.12273161151202774,0.7543698093894984,0.8434153400868307,0.8848413631022327,0.04142602301540199,0.953182542382328,0.943109610802224,0.956743711129676,0.013634100327452048,0.9857494748396584
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,8,8,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9145113524185589,0.9105244234423956,0.9181986603961808,0.1234552452726588,0.9002832192589096,0.9247412183947056,0.024457999135795938,0.9735515205234893,0.4072456927071041,0.5322840658408281,0.12503837313372398,0.7650908957114735,0.8825601879036994,0.9255747807537332,0.04301459285003373,0.9535266153049188,0.9121941594317284,0.9237746220797068,0.011580462647978296,0.9874639740352392
[],0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,mildly_subs,False,True,40,1000,256,0.001,1e-08,0.5,0.0,cnn,True,celeba,1.0,0.5,0.2,,False,eight,False,Male,Smiling,,,baseline_cnn,True,0,False,9,9,results/celeba/no_smiling_females_labeled,,,False,4,cuda:0,True,0.9168805528134255,0.8903815702099402,0.9416511483550589,0.13367015518541742,0.9090531068076512,0.9224436375918263,0.01339053078417518,0.9854836325619492,0.3813116312225258,0.5165076416448535,0.1351960104223277,0.7382497381998321,0.8623962040332147,0.9050884438556845,0.042692239822469835,0.9528308640859444,0.9402378592666006,0.9429650787800609,0.0027272195134602217,0.9971078255443049
