run,operation,started,time,status,label,a-background,a-binarize,a-black,a-color-correlation,a-colors,a-context-pcnt,a-data-pcnt,a-dataset,a-filter-labels,a-greyscale,a-input-noise,a-missing-s,a-padding,a-quant-level,a-rotate-data,a-scale,a-shift-data,a-subsample-context,a-subsample-train,a-test-pcnt,c-batch-size,c-cl-hidden-dims,c-enc-epochs,c-enc-lr,c-encoder,c-epochs,c-kl-weight,c-log-freq,c-method,c-val-freq,d-batch-size,d-batch-wise-hidden,d-batch-wise-loss,d-disc-hidden-dims,d-disc-lr,d-disc-reset-prob,d-disc-weight,d-early-stopping,d-elbo-weight,d-encode-batch-size,d-eval-epochs,d-eval-lr,d-eval-on-recon,d-evaluate,d-feat-attr,d-gamma,d-iters,d-kl-weight,d-log-freq,d-lr,d-nll-weight,d-num-disc-updates,d-num-discs,d-num-workers,d-oversample,d-pred-s-weight,d-pred-y-weight,d-recon-detach,d-recon-stability-weight,d-train-on-recon,d-use-inn,d-use-pretrained-enc,d-vae,d-val-freq,d-validate,d-vgg-weight,d-warmup-steps,d-weight-decay,d-zs-frac,data-split-seed,e-enc-init-chans,e-enc-levels,e-enc-out-dim,e-recon-loss,save-dir,seed,step,accuracy,accuracy_colour_0.0,accuracy_colour_0.0-colour_1.0,accuracy_colour_0.0/colour_1.0,accuracy_colour_1.0,context_acc_y=0_s=0,context_acc_y=0_s=1,context_acc_y=1_s=0,context_acc_y=1_s=1,context_accuracy,context_ari,context_nmi,enc_loss_reconstruction,enc_prior_loss,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_1.0,renyi_preds_and_s,tnr,tnr_colour_0.0,tnr_colour_0.0-colour_1.0,tnr_colour_0.0/colour_1.0,tnr_colour_1.0,tpr,tpr_colour_0.0,tpr_colour_0.0-colour_1.0,tpr_colour_0.0/colour_1.0,tpr_colour_1.0,d-balanced-context,c-cl-hidden_dims,c-pseudo-labeler,test_acc_y=0_s=0,test_acc_y=0_s=1,test_acc_y=1_s=0,test_acc_y=1_s=1,test_accuracy,test_ari,test_nmi
d78f183c,kmeans:train,2020-10-17 22:51:09,0:23:52,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=30,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,30,16,4,128,l2,cmnist/2digits/2colors/baseline,30,0,0.770609974861145,0.5400800108909607,0.4569700062274933,0.5416799783706665,0.9970499873161316,1.0,0.9726999998092651,0.0,0.5244899988174438,0.6703900098800659,0.6251400113105774,0.7771900296211243,0.007158900145441294,0.00021734999609179795,0.02304599992930889,0.46810001134872437,0.04692399874329567,0.4911400079727173,0.5341100096702576,0.9990299940109253,1.0,0.0019379999721422791,0.9980599880218506,0.9980599880218506,0.5305500030517578,0.047717999666929245,0.9482799768447876,0.047908999025821686,0.9959999918937683,,,,,,,,,,
717737aa,kmeans:train,2020-10-17 22:30:43,0:25:01,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=29,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,29,16,4,128,l2,cmnist/2digits/2colors/baseline,29,0,0.9493499994277954,0.8991900086402893,0.09884999692440033,0.9009600281715393,0.9980400204658508,0.9352800250053406,0.9053300023078918,0.9693099856376648,0.9766499996185303,0.9486600160598755,0.8745099902153015,0.8541799783706665,0.005675800144672394,0.00021939999714959413,0.3941499888896942,0.08432000130414963,0.8237699866294861,0.47846999764442444,0.0849900022149086,1.0,1.0,0.0,1.0,1.0,0.8961300253868103,0.7963299751281738,0.19958999752998352,0.799589991569519,0.995930016040802,,,,,,,,,,
145096c4,kmeans:train,2020-10-17 22:27:33,0:23:35,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=28,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,28,16,4,128,l2,cmnist/2digits/2colors/baseline,28,0,0.7780500054359436,0.5528500080108643,0.44036000967025757,0.55663001537323,0.9932000041007996,0.4953500032424927,0.0,0.9445800185203552,1.0,0.6366199851036072,0.5433800220489502,0.7100899815559387,0.005555899813771248,0.0002550799981690943,0.0223580002784729,0.47957998514175415,0.04454199969768524,0.5019400119781494,0.5414900183677673,0.9980599880218506,1.0,0.003921600058674812,0.9960799813270569,0.9960799813270569,0.5468400120735168,0.04761900007724762,0.9427700042724609,0.04808099940419197,0.9903799891471863,,,,,,,,,,
a139171d,kmeans:train,2020-10-17 22:05:21,0:25:21,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=27,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,27,16,4,128,l2,cmnist/2digits/2colors/baseline,27,0,0.829200029373169,0.6692500114440918,0.3276900053024292,0.6712999939918518,0.9969499707221985,0.5118899941444397,0.5464699864387512,0.4896399974822998,0.5562899708747864,0.5325300097465515,0.34112000465393066,0.45750999450683594,0.005044400226324797,0.0001945200056070462,0.18817000091075897,0.26554998755455017,0.4147300124168396,0.45370998978614807,0.2850799858570099,0.9990299940109253,1.0,0.0018657000036910176,0.9981300234794617,0.9981300234794617,0.6507099866867065,0.3626199960708618,0.6329100131988525,0.3642500042915344,0.9955300092697144,,,,,,,,,,
1227cb20,kmeans:train,2020-10-17 22:03:21,0:24:11,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=26,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,26,16,4,128,l2,cmnist/2digits/2colors/baseline,26,0,0.7577000260353088,0.5087500214576721,0.48069998621940613,0.5141800045967102,0.9894499778747559,0.9992799758911133,0.9383800029754639,0.0,0.5062000155448914,0.6579200029373169,0.6079099774360657,0.746399998664856,0.005539400037378073,0.00024585999199189246,0.0,0.48513999581336975,0.0,0.48513999581336975,0.5589100122451782,0.994189977645874,1.0,0.011152000166475773,0.9888499975204468,0.9888499975204468,0.5091599822044373,0.0,0.9901000261306763,0.0,0.9901000261306763,,,,,,,,,,
e9875c7c,kmeans:train,2020-10-17 21:40:41,0:24:39,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=25,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,25,16,4,128,l2,cmnist/2digits/2colors/baseline,25,0,0.9414100050926208,0.8901000022888184,0.10293000191450119,0.8963500261306763,0.9930300116539001,0.3301500082015991,0.6744999885559082,0.4878399968147278,0.63714998960495,0.5447999835014343,0.31650999188423157,0.3583199977874756,0.00606440007686615,0.00018557999283075333,0.3693099915981293,0.12371999770402908,0.7490599751472473,0.49303001165390015,0.12492000311613083,0.9980599880218506,1.0,0.003952600061893463,0.9960500001907349,0.9960500001907349,0.8818699717521667,0.7706599831581116,0.21930000185966492,0.7784799933433533,0.9899600148200989,,,,,,,,,,
fe204284,kmeans:train,2020-10-17 21:38:36,0:24:44,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=24,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,24,16,4,128,l2,cmnist/2digits/2colors/baseline,24,0,0.9270099997520447,0.8565700054168701,0.14045999944210052,0.8591300249099731,0.9970300197601318,0.944320023059845,0.9859499931335449,0.997439980506897,0.9835600256919861,0.9760400056838989,0.9437800049781799,0.9242299795150757,0.0052396999672055244,0.000291600008495152,0.36653000116348267,0.09980300068855286,0.7859899997711182,0.46634000539779663,0.10121999680995941,0.9980599880218506,1.0,0.0037036999128758907,0.9962999820709229,0.9962999820709229,0.8523399829864502,0.71875,0.27911999821662903,0.7202799916267395,0.9978700280189514,,,,,,,,,,
bfe68eaf,kmeans:train,2020-10-17 21:16:26,0:24:15,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=23,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,23,16,4,128,l2,cmnist/2digits/2colors/baseline,23,0,0.8093299865722656,0.6183800101280212,0.37964001297950745,0.6195999979972839,0.9980300068855286,0.9914699792861938,0.0017064999556168914,0.39921998977661133,0.5997999906539917,0.5424100160598755,0.4250899851322174,0.5270299911499023,0.007470900192856789,0.00014006999845150858,0.11388999968767166,0.36588001251220703,0.2373799979686737,0.47975999116897583,0.4000000059604645,0.9990299940109253,1.0,0.0018975000130012631,0.9980999827384949,0.9980999827384949,0.6099799871444702,0.2298399955034256,0.7681000232696533,0.23030999302864075,0.9979400038719177,,,,,,,,,,
93efade1,kmeans:train,2020-10-17 21:13:58,0:24:36,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=22,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,22,16,4,128,l2,cmnist/2digits/2colors/baseline,22,0,0.759190022945404,0.5179499983787537,0.4676100015640259,0.5255399942398071,0.9855599999427795,1.0,0.9505400061607361,0.0,0.5377500057220459,0.6731299757957458,0.612779974937439,0.7497900128364563,0.004973200149834156,0.00019860999600496143,0.0,0.5052899718284607,0.0,0.5052899718284607,0.5752099752426147,0.9864299893379211,1.0,0.026565000414848328,0.9734299778938293,0.9734299778938293,0.5203700065612793,0.0,0.9980499744415283,0.0,0.9980499744415283,,,,,,,,,,
784b21da,kmeans:train,2020-10-17 20:52:12,0:24:13,completed,save_dir=cmnist/2digits/2colors/baseline/ seed=21,False,True,True,1.0,2 4,0.66666666,1.0,cmnist,2 4,False,False,,2,8,False,0.0,False,0=0.7 1=0.6 2=0.4 3=1.0,0=1.0 1=0.4 2=0.0 3=1.0,0.2,256,256,150,0.0003,ae,100,0.0001,50,kmeans,10,256,256 256,attention,256 256,0.0003,0.0003,0.1,30,100.0,1000,60,0.001,False,False,False,1.0,5000,0.01,150,0.0003,0.01,1,10,4,True,1.0,1.0,True,0,False,False,False,False,450,True,0,0,0,0.01,21,16,4,128,l2,cmnist/2digits/2colors/baseline,21,0,0.7616699934005737,0.5293499827384949,0.4637100100517273,0.533050000667572,0.9930599927902222,0.9806299805641174,0.0,0.5377699732780457,1.0,0.7042400240898132,0.6173099875450134,0.765749990940094,0.006198499817401171,0.00022621000243816525,0.026866000145673752,0.4518299996852875,0.056122999638319016,0.4786899983882904,0.5195099711418152,0.9961199760437012,1.0,0.007590100169181824,0.9924100041389465,0.9924100041389465,0.5152699947357178,0.05400000140070915,0.9397799968719482,0.0543380007147789,0.9937800168991089,,,,,,,,,,
