seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0
1,baseline,"cnn",(None),0.7800397219463754,0.5987780040733197,0.9525193798449613,0.39209757580930815,0.9980861244019139,0.544891640866873,0.4531944835350409,0.5459364954035305,0.49186602870813395,0.12693498452012383,0.36493104418801015,0.25806820782787826,1.0,0.16170212765957448,0.8382978723404255,0.16170212765957448,0.9962476547842402,0.905811623246493,0.09043603153774715,0.9092233431080617
2,baseline,"cnn",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
3,baseline,"cnn",(None),0.7730883813306852,0.5366598778004074,0.998062015503876,0.5357750243703746,0.5299586776859504,0.9980879541108987,0.4681292764249483,0.5309739241949273,0.01756198347107438,0.4894837476099426,0.4719217641388682,0.03587858341942149,0.036016949152542374,1.0,0.9639830508474576,0.036016949152542374,1.0,0.996268656716418,0.003731343283582045,0.996268656716418
4,baseline,"cnn",(None),0.7487586891757696,0.48574338085539714,0.999031007751938,0.561184961507622,0.999000999000999,0.5014807502467917,0.4975202487542073,0.5019822309970385,0.4775224775224775,0.0,0.4775224775224775,0.0,1.0,0.0,1.0,0.0,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351
5,baseline,"cnn",(None),0.7641509433962265,0.5162932790224033,1.0,0.5771530007851,0.5269461077844312,0.9990118577075099,0.4720657499230787,0.5274673205517748,0.0,0.5009881422924901,0.5009881422924901,0.0,0.0,0.9980314960629921,0.9980314960629921,0.0,1.0,1.0,0.0,1.0
6,baseline,"cnn",(None),0.817279046673287,0.924643584521385,0.7151162790697675,0.1708363202983581,0.634097706879362,0.9990108803165183,0.36491317343715635,0.6347255263911237,0.6809571286141576,0.5133531157270029,0.16760401288715465,0.7538699488641053,0.841991341991342,0.9980769230769231,0.15608558108558113,0.8436136759836181,0.4565619223659889,1.0,0.5434380776340111,0.4565619223659889
7,baseline,"cnn",(None),0.7502482621648461,0.7179226069246436,0.7810077519379846,0.0639626635221385,0.998019801980198,0.500996015936255,0.49702378604394304,0.5019900556504142,0.49405940594059405,0.4302788844621514,0.06378052147844265,0.8709051569274007,1.0,0.4288659793814433,0.5711340206185567,0.4288659793814433,0.9961013645224172,0.5684007707129094,0.42770059380950776,0.5706254312636448
8,baseline,"cnn",(None),0.7492552135054618,1.0,0.5106589147286822,0.5683177340540798,1.0,0.5004945598417408,0.49950544015825915,0.5004945598417408,0.48753738783649053,0.9871414441147379,0.4996040562782474,0.49388807525319833,1.0,1.0,0.0,1.0,1.0,0.025096525096525095,0.974903474903475,0.025096525096525095
9,baseline,"cnn",(None),0.7527308838133069,0.49490835030549896,0.998062015503876,0.5705769557119561,0.9979959919839679,0.5118110236220472,0.4861849683619207,0.5128387566012079,0.48897795591182364,0.0,0.48897795591182364,0.0,1.0,0.0,1.0,0.0,0.99609375,1.0,0.00390625,0.99609375
10,baseline,"cnn",(None),0.7487586891757696,0.9989816700610998,0.5106589147286822,0.5896079582141134,0.9970530451866405,0.49497991967871485,0.5020731255079256,0.49644291451520367,0.481335952848723,1.0,0.518664047151277,0.481335952848723,0.9979550102249489,1.0,0.002044989775051076,0.9979550102249489,0.996219281663516,0.0,0.996219281663516,0.0
