seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0
1,baseline,"cnn",(None),0.7651439920556107,0.5213849287169042,0.997093023255814,0.5644253895575759,0.9971291866028709,0.5149638802889577,0.4821653063139132,0.5164465018252982,0.49282296650717705,0.0,0.49282296650717705,0.0,1.0,0.0,1.0,0.0,0.9943714821763602,1.0,0.0056285178236398226,0.9943714821763602
2,baseline,"cnn",(None),0.766137040714995,0.5244399185336049,0.9961240310077519,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039
3,baseline,"cnn",(None),0.7656405163853028,0.5193482688391039,1.0,0.5601869744293674,0.512396694214876,1.0,0.487603305785124,0.512396694214876,0.0,0.4875717017208413,0.4875717017208413,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4,baseline,"cnn",(None),0.7487586891757696,0.48574338085539714,0.999031007751938,0.561184961507622,0.999000999000999,0.5014807502467917,0.4975202487542073,0.5019822309970385,0.4775224775224775,0.0,0.4775224775224775,0.0,1.0,0.0,1.0,0.0,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351
5,baseline,"cnn",(None),0.76266137040715,0.5173116089613035,0.9961240310077519,0.5809565047068084,0.5269461077844312,0.9960474308300395,0.46910132304560836,0.5290371637677027,0.0,0.5059288537549407,0.5059288537549407,0.0,0.0,1.0,1.0,0.0,1.0,0.9920634920634921,0.007936507936507908,0.9920634920634921
6,baseline,"cnn",(None),0.7701092353525323,0.5295315682281059,0.999031007751938,0.5883880537376198,0.53938185443669,0.9990108803165183,0.45962902587982835,0.5399158958767263,0.0,0.5153313550939663,0.5153313550939663,0.0,0.0,1.0,1.0,0.0,1.0,0.9979633401221996,0.0020366598778004397,0.9979633401221996
7,baseline,"cnn",(None),0.7571996027805362,0.5061099796334012,0.9961240310077519,0.5737273697174295,0.996039603960396,0.5169322709163346,0.4791073330440614,0.5189876676197793,0.49603960396039604,0.0,0.49603960396039604,0.0,1.0,0.0,1.0,0.0,0.9922027290448343,1.0,0.007797270955165692,0.9922027290448343
8,baseline,"cnn",(None),0.7512413108242304,0.4979633401221996,0.9922480620155039,0.5746594002422042,0.9920239282153539,0.5123639960435212,0.47965993217183267,0.5164835055594491,0.4955134596211366,0.0,0.4955134596211366,0.0,1.0,0.0,1.0,0.0,0.9844357976653697,1.0,0.015564202334630295,0.9844357976653697
9,baseline,"cnn",(None),0.7527308838133069,0.4938900203665988,0.999031007751938,0.5690337699323125,0.9979959919839679,0.5118110236220472,0.4861849683619207,0.5128387566012079,0.48697394789579157,0.0,0.48697394789579157,0.0,0.9979423868312757,0.0,0.9979423868312757,0.0,0.998046875,1.0,0.001953125,0.998046875
10,baseline,"cnn",(None),0.7537239324726912,0.4979633401221996,0.997093023255814,0.5623814735882997,0.9970530451866405,0.5050200803212851,0.4920329648653554,0.5065127505094268,0.48330058939096265,0.0,0.48330058939096265,0.0,1.0,0.0,1.0,0.0,0.994328922495274,1.0,0.005671077504725952,0.994328922495274
11,baseline,"cnn",(None),0.7527308838133069,0.4979633401221996,0.9951550387596899,0.5729253991350461,0.5128458498023716,0.9950099800399201,0.48216413023754856,0.5154177948866362,0.0,0.4930139720558882,0.4930139720558882,0.0,0.0,1.0,1.0,0.0,1.0,0.9902534113060428,0.00974658869395717,0.9902534113060428
12,baseline,"cnn",(None),0.7706057596822244,0.5346232179226069,0.9951550387596899,0.578340749020871,0.9951923076923077,0.5308008213552361,0.4643914863370716,0.5333650765308653,0.5096153846153846,0.0,0.5096153846153846,0.0,1.0,0.0,1.0,0.0,0.9902912621359223,1.0,0.009708737864077666,0.9902912621359223
13,baseline,"cnn",(None),0.7547169811320755,0.4989816700610998,0.998062015503876,0.5748035543302101,0.9979919678714859,0.5166994106090373,0.4812925572624486,0.5177390472501018,0.4939759036144578,0.0,0.4939759036144578,0.0,1.0,0.0,1.0,0.0,0.9960474308300395,1.0,0.0039525691699604515,0.9960474308300395
14,baseline,"cnn",(None),0.7591857000993049,0.5112016293279023,0.9951550387596899,0.5806568512427486,0.9949899799599199,0.5275590551181102,0.4674309248418097,0.5302154451237401,0.5060120240480962,0.001968503937007874,0.5040435201110883,0.003890231542839323,1.0,0.004149377593360996,0.995850622406639,0.004149377593360996,0.9899598393574297,1.0,0.010040160642570295,0.9899598393574297
15,baseline,"cnn",(None),0.7537239324726912,0.4959266802443992,0.999031007751938,0.5444247749410556,0.5161290322580645,0.9989909182643795,0.48286188600631497,0.5166503747148908,0.01270772238514174,0.479313824419778,0.46660610203463626,0.026512321860369403,0.025590551181102362,1.0,0.9744094488188977,0.025590551181102362,1.0,0.9980657640232108,0.0019342359767892114,0.9980657640232108
