seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
1,baseline,"dro",(None),0.7651439920556107,0.5213849287169042,0.997093023255814,0.5644253895575759,0.9971291866028709,0.5149638802889577,0.4821653063139132,0.5164465018252982,0.49282296650717705,0.0,0.49282296650717705,0.0,1.0,0.0,1.0,0.0,0.9943714821763602,1.0,0.0056285178236398226,0.9943714821763602,0.01
1,baseline,"dro",(None),0.7646474677259185,0.5203665987780041,0.997093023255814,0.5636891470885833,0.9961722488038277,0.5149638802889577,0.48120836851487003,0.5169426079749864,0.49186602870813395,0.0,0.49186602870813395,0.0,0.998046875,0.0,0.998046875,0.0,0.9943714821763602,1.0,0.0056285178236398226,0.9943714821763602,0.1
1,baseline,"dro",(None),0.7651439920556107,0.5203665987780041,0.998062015503876,0.5629529246722215,0.9971291866028709,0.5149638802889577,0.4821653063139132,0.5164465018252982,0.4909090909090909,0.0,0.4909090909090909,0.0,0.998046875,0.0,0.998046875,0.0,0.9962476547842402,1.0,0.0037523452157598447,0.9962476547842402,0.3
1,baseline,"dro",(None),0.5019860973187686,0.5213849287169042,0.48352713178294576,0.9999999999999999,0.48995215311004786,0.5149638802889577,0.025011727178909815,0.9514301329932593,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2,baseline,"dro",(None),0.766137040714995,0.5244399185336049,0.9961240310077519,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039,0.01
2,baseline,"dro",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798,0.1
2,baseline,"dro",(None),0.766137040714995,0.5244399185336049,0.9961240310077519,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039,0.3
2,baseline,"dro",(None),0.6598808341608738,0.5234215885947047,0.7897286821705426,0.7370429332876784,0.5249237029501526,0.7885548011639185,0.26363109821376596,0.665678152203699,0.0,0.7090203685741998,0.7090203685741998,0.0,0.0,0.9980582524271845,0.9980582524271845,0.0,1.0,0.5794573643410853,0.4205426356589147,0.5794573643410853,1.0
3,baseline,"dro",(None),0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.512396694214876,0.9990439770554493,0.48664728284057335,0.512887025979675,0.0,0.48852772466539196,0.48852772466539196,0.0,0.0,1.0,1.0,0.0,1.0,0.9981343283582089,0.001865671641791078,0.9981343283582089,0.01
3,baseline,"dro",(None),0.7651439920556107,0.5183299389002036,1.0,0.5594515450564769,0.512396694214876,0.9990439770554493,0.48664728284057335,0.512887025979675,0.0,0.48661567877629064,0.48661567877629064,0.0,0.0,0.9980392156862745,0.9980392156862745,0.0,1.0,1.0,0.0,1.0,0.1
3,baseline,"dro",(None),0.7656405163853028,0.5193482688391039,1.0,0.5601869744293674,0.512396694214876,1.0,0.487603305785124,0.512396694214876,0.0,0.4875717017208413,0.4875717017208413,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3
3,baseline,"dro",(None),0.5124131082423039,0.0,1.0,1.0,0.512396694214876,0.5124282982791587,3.160406428270868e-05,0.9999383249044035,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
4,baseline,"dro",(None),0.7487586891757696,0.48574338085539714,0.999031007751938,0.561184961507622,0.999000999000999,0.5014807502467917,0.4975202487542073,0.5019822309970385,0.4775224775224775,0.0,0.4775224775224775,0.0,1.0,0.0,1.0,0.0,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351,0.01
4,baseline,"dro",(None),0.7497517378351539,0.48778004073319753,0.999031007751938,0.5557318490960752,0.998001998001998,0.5044422507403751,0.4935597472616229,0.5054521451362517,0.47652347652347654,0.0029615004935834156,0.47356197602989314,0.006214805019029348,0.9979035639412998,0.005940594059405941,0.9919629698818938,0.005953074299026541,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351,0.1
4,baseline,"dro",(None),0.7502482621648461,0.48879837067209775,0.999031007751938,0.5565064077643491,0.999000999000999,0.5044422507403751,0.49455874826062396,0.5049466929911154,0.4775224775224775,0.0029615004935834156,0.4745609770288941,0.0062018033348891196,1.0,0.005940594059405941,0.994059405940594,0.005940594059405941,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351,0.3
4,baseline,"dro",(None),0.5,0.48574338085539714,0.5135658914728682,0.9783829030901919,0.4985014985014985,0.5014807502467917,0.002979251745293232,0.9940590905157833,0.978021978021978,0.0,0.978021978021978,0.0,1.0,0.0,1.0,0.0,0.04198473282442748,1.0,0.9580152671755725,0.04198473282442748,1.0
5,baseline,"dro",(None),0.7636544190665343,0.5173116089613035,0.998062015503876,0.5794350664359427,0.5269461077844312,0.9980237154150198,0.4710776076305886,0.5279895654236083,0.0,0.5039525691699605,0.5039525691699605,0.0,0.0,1.0,1.0,0.0,1.0,0.996031746031746,0.003968253968253954,0.996031746031746,0.01
