bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7537239324726912,0.5020366598778004,0.993217054263566,0.5444846133172354,1.0,0.4949083503054989,0.505091649694501,0.4949083503054989,0.4777131782945736,0.0071283095723014,0.4705848687222722,0.0149217352507405,1.0,0.0,1.0,0.0,1.0,0.9858012170385396,0.0141987829614604,0.9858012170385396
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7631578947368421,0.5142566191446029,1.0,0.5576178748888596,1.0,0.5082474226804123,0.4917525773195876,0.5082474226804123,0.4837164750957854,0.0,0.4837164750957854,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7343594836146972,0.5040733197556008,0.9534883720930232,0.4769786334608963,1.0,0.4473140495867768,0.5526859504132231,0.4473140495867768,0.4732313575525813,0.0495867768595041,0.4236445806930771,0.1047833708990733,1.0,0.0,1.0,0.0,1.0,0.9002079002079002,0.0997920997920998,0.9002079002079002
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5871511789871734,1.0,0.5355029585798816,0.4644970414201184,0.5355029585798816,0.511,0.0,0.511,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7239324726911619,0.5305498981670062,0.9079457364341084,0.367586411372316,0.9990147783251232,0.4444444444444444,0.5545703338806788,0.4448827525750602,0.4738916256157635,0.1351351351351351,0.3387564904806284,0.2851604202955554,1.0,0.0816733067729083,0.9183266932270916,0.0816733067729083,0.9981308411214952,0.8108651911468813,0.187265649974614,0.8123836652876057
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7621648460774578,0.5122199592668024,1.0,0.5752517252856835,1.0,0.5229083665338645,0.4770916334661355,0.5229083665338645,0.498019801980198,0.0,0.498019801980198,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.8063555114200596,0.8686354378818737,0.747093023255814,0.1671024190012167,0.999009900990099,0.6125498007968128,0.3864601001932862,0.6131568868233706,0.4702970297029702,0.6364541832669323,0.166157153563962,0.7389330482344009,0.9978991596638656,0.7470355731225297,0.2508635865413359,0.7486082795922613,1.0,0.4759036144578313,0.5240963855421688,0.4759036144578313
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7527308838133069,0.5,0.993217054263566,0.5593142706312746,1.0,0.5074183976261127,0.4925816023738872,0.5074183976261127,0.489531405782652,0.0069238377843719,0.4826075679982801,0.0141438071236762,1.0,0.0,1.0,0.0,1.0,0.9865384615384616,0.0134615384615384,0.9865384615384616
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5726884888770287,1.0,0.5162241887905604,0.4837758112094396,0.5162241887905604,0.4914744232698094,0.0,0.4914744232698094,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,10,10,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.782025819265144,0.5529531568228105,1.0,0.5299488576937067,1.0,0.559679037111334,0.4403209628886659,0.559679037111334,0.5024582104228122,0.0320962888665998,0.4703619215562124,0.06387852402609,1.0,0.0679405520169851,0.9320594479830148,0.0679405520169851,1.0,1.0,0.0,1.0
