bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,0,0,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7492552135054618,1.0,0.5106589147286822,0.5965026475204148,0.5014866204162537,0.9980099502487564,0.4965233298325026,0.5024865937371236,1.0,0.4756218905472636,0.5243781094527363,0.4756218905472636,1.0,1.0,0.0,1.0,0.0,0.996219281663516,0.996219281663516,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.76266137040715,0.5132382892057027,1.0,0.5568810150708452,0.5082474226804123,0.9990421455938696,0.4907947229134574,0.5087347164701347,0.0,0.4827586206896552,0.4827586206896552,0.0,0.0,0.998019801980198,0.998019801980198,0.0,1.0,1.0,0.0,1.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.5020366598778004,0.997093023255814,0.557597538244357,0.5020366598778004,0.997093023255814,0.4950563633780135,0.5035003236092226,0.0,0.4806201550387597,0.4806201550387597,0.0,0.0,1.0,1.0,0.0,1.0,0.9944341372912802,0.0055658627087198,0.9944341372912802,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7576961271102284,0.5040733197556008,0.999031007751938,0.5498912243143014,0.496900826446281,0.9990439770554492,0.5021431506091684,0.4973763296294831,0.0,0.4741873804971319,0.4741873804971319,0.0,0.0,1.0,1.0,0.0,1.0,0.998185117967332,0.0018148820326678,0.998185117967332,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5871511789871734,0.5355029585798816,1.0,0.4644970414201184,0.5355029585798816,0.0,0.511,0.511,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7522343594836147,1.0,0.5164728682170543,0.5951628273488127,0.5025025025025025,0.9980295566502464,0.4955270541477438,0.5034946101086278,1.0,0.4748768472906404,0.5251231527093596,0.4748768472906404,1.0,1.0,0.0,1.0,0.0,0.9962616822429906,0.9962616822429906,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7616683217477657,0.5122199592668024,0.999031007751938,0.5760139005600906,0.5229083665338645,0.999009900990099,0.4761015344562345,0.5234266107028773,0.0,0.499009900990099,0.499009900990099,0.0,0.0,1.0,1.0,0.0,1.0,0.9980276134122288,0.0019723865877712,0.9980276134122288,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7507447864945382,1.0,0.5135658914728682,0.5958365685381816,0.5039840637450199,0.996039603960396,0.4920555402153761,0.5059879765233302,1.0,0.4752475247524752,0.5247524752475248,0.4752475247524752,1.0,1.0,0.0,1.0,0.0,0.99250936329588,0.99250936329588,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7676266137040715,0.5936863543788188,0.9331395348837208,0.3550617293072138,0.5380811078140455,0.9990029910269193,0.4609218832128737,0.5386181149076723,0.1582591493570722,0.4905284147557328,0.3322692653986606,0.3226299325307793,0.1873727087576374,1.0,0.8126272912423625,0.1873727087576374,0.8692307692307693,0.998046875,0.1288161057692307,0.8709318079181093,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5726884888770287,0.5162241887905604,1.0,0.4837758112094396,0.5162241887905604,0.0,0.4914744232698094,0.4914744232698094,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3
