bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0÷colour_1.0 (lff)
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,0,0,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7482621648460774,0.4847250509164969,0.999031007751938,0.5581935424922815,0.4985133795837463,0.999004975124378,0.5004915955406318,0.49900990685424795,0.0,0.4746268656716418,0.4746268656716418,0.0,0.0,1.0,1.0,0.0,1.0,0.9981096408317579,0.001890359168241984,0.9981096408317579
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7631578947368421,0.5142566191446029,1.0,0.5576178748888596,0.5082474226804123,1.0,0.4917525773195877,0.5082474226804123,0.0,0.4837164750957854,0.4837164750957854,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7571996027805362,0.5020366598778004,1.0,0.5553601937744892,0.5020366598778004,1.0,0.4979633401221996,0.5020366598778004,0.0,0.4777131782945737,0.4777131782945737,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7581926514399205,0.5040733197556008,1.0,0.5491557672365851,0.496900826446281,1.0,0.503099173553719,0.496900826446281,0.0,0.4732313575525813,0.4732313575525813,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7656405163853028,0.5193482688391039,1.0,0.5863813478500003,0.5355029585798816,0.9990000000000001,0.4634970414201184,0.5360389975774591,0.0,0.51,0.51,0.0,0.0,0.9980430528375732,0.9980430528375732,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7502482621648461,0.4887983706720978,0.999031007751938,0.5557138025922027,0.4974974974974975,0.9990147783251232,0.5015172808276257,0.4979881261932544,0.0,0.4738916256157635,0.4738916256157635,0.0,0.0,1.0,1.0,0.0,1.0,0.9981308411214952,0.0018691588785046953,0.9981308411214952
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7621648460774578,0.5122199592668024,1.0,0.5752517252856835,0.5229083665338645,1.0,0.4770916334661355,0.5229083665338645,0.0,0.498019801980198,0.498019801980198,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7487586891757696,0.4847250509164969,1.0,0.5546659142952306,0.4960159362549801,1.0,0.5039840637450199,0.4960159362549801,0.0,0.4712871287128713,0.4712871287128713,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7562065541211519,0.5,1.0,0.5700538795918583,0.5143422354104846,1.0,0.4856577645895154,0.5143422354104846,0.0,0.489531405782652,0.489531405782652,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5726884888770287,0.5162241887905604,1.0,0.4837758112094396,0.5162241887905604,0.0,0.4914744232698095,0.4914744232698095,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
