bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,0,0,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7646474677259185,0.5173116089613035,1.0,0.5699334699326976,0.521255060728745,0.9990253411306044,0.4777702804018593,0.5217636022514072,0.0,0.4951267056530214,0.4951267056530214,0.0,0.0,0.9980353634577604,0.9980353634577604,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,1,1,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7720953326713009,0.5366598778004074,0.996124031007752,0.5796571792224632,0.5333333333333333,0.9961501443695862,0.4628168110362528,0.5353945249597424,0.0,0.5110683349374399,0.5110683349374399,0.0,0.0,1.0,1.0,0.0,1.0,0.9921875,0.0078125,0.9921875
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,2,2,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7462760675273088,0.4816700610997963,0.998062015503876,0.5661385170722979,0.5038986354775828,0.9979757085020244,0.4940770730244415,0.5049207422432574,0.0,0.4807692307692308,0.4807692307692308,0.0,0.0,1.0,1.0,0.0,1.0,0.996116504854369,0.003883495145631,0.996116504854369
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,3,3,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7482621648460774,0.4857433808553971,0.998062015503876,0.563071886149338,0.5024630541871922,0.997997997997998,0.4955349438108059,0.5034710041454413,0.0,0.4794794794794795,0.4794794794794795,0.0,0.0,1.0,1.0,0.0,1.0,0.9961685823754788,0.0038314176245211,0.9961685823754788
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,4,4,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4918533604887983,0.998062015503876,0.5660092413750508,0.5069169960474308,0.998003992015968,0.4910869959685372,0.5079308300395257,0.0,0.4840319361277445,0.4840319361277445,0.0,0.0,1.0,1.0,0.0,1.0,0.9961464354527938,0.0038535645472062,0.9961464354527938
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,5,5,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7621648460774578,0.5132382892057027,0.999031007751938,0.5615119106441222,0.5117707267144319,0.9980713596914176,0.4863006329769856,0.5127596556549429,0.0,0.4869816779170685,0.4869816779170685,0.0,0.0,0.998019801980198,0.998019801980198,0.0,1.0,0.9981203007518796,0.0018796992481202,0.9981203007518796
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,6,6,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4908350305498982,0.999031007751938,0.5902928119261793,0.5269631031220435,0.9989550679205852,0.4719919647985416,0.5275143197571084,0.0,0.5047021943573667,0.5047021943573667,0.0,0.0,1.0,1.0,0.0,1.0,0.9978947368421052,0.0021052631578947,0.9978947368421052
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,7,7,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7492552135054618,0.4877800407331975,0.998062015503876,0.567988715620711,0.5073457394711067,0.9979859013091642,0.4906401618380575,0.5083696461097972,0.0,0.4843907351460221,0.4843907351460221,0.0,0.0,1.0,1.0,0.0,1.0,0.9961089494163424,0.0038910505836575,0.9961089494163424
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,8,8,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7447864945382324,0.4806517311608961,0.996124031007752,0.5703079339239769,0.5058139534883721,0.9959266802443992,0.4901127267560271,0.5078827222142959,0.0,0.4847250509164969,0.4847250509164969,0.0,0.0,1.0,1.0,0.0,1.0,0.992156862745098,0.0078431372549019,0.992156862745098
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,9,9,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7517378351539226,0.4989816700610998,0.992248062015504,0.5910698932179065,0.5260115606936416,0.9918032786885246,0.4657917179948829,0.5303587636745808,0.0,0.5102459016393442,0.5102459016393442,0.0,0.0,1.0,1.0,0.0,1.0,0.9835390946502056,0.0164609053497942,0.9835390946502056
