bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,0,0,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.4915590863952334,0.4908350305498982,0.4922480620155038,1.0,0.4791252485089463,0.503968253968254,0.0248430054593076,0.9507052175138148,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,1,1,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5100478468899522,0.5149638802889577,0.0049160333990054,0.990453634541811,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,2,2,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5119165839126117,0.5244399185336049,0.5,1.0,0.4995150339476236,0.5249237029501526,0.0254086690025289,0.9515955007180504,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,3,3,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5124282982791587,0.512396694214876,3.160406428270868e-05,0.9999383249044036,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,4,4,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5234765234765235,0.5014807502467917,0.0219957732297317,0.9579813568645772,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,5,5,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7413108242303873,0.5132382892057027,0.9583333333333334,0.6076062196069344,0.9535573122529644,0.5269461077844312,0.4266112044685333,0.5526108404951755,0.5405138339920948,0.0,0.5405138339920948,0.0,0.9921259842519684,0.0,0.9921259842519684,0.0,0.9146825396825397,1.0,0.0853174603174603,0.9146825396825397,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,6,6,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.602780536246276,0.1914460285132382,0.994186046511628,0.2772979159537845,0.4985163204747774,0.707876370887338,0.2093600504125605,0.7042420696284531,0.0148367952522255,0.1784646061814556,0.1636278109292301,0.0831357856870513,0.0269230769230769,0.3766233766233766,0.3497002997002997,0.0714854111405835,0.9979633401221996,0.9907578558225508,0.0072054842996487,0.992779810630352,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,7,7,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5084409136047666,0.5061099796334012,0.5106589147286822,0.9920870347595616,0.5,0.5169322709163346,0.0169322709163346,0.9672447013487476,0.992079207920792,0.0,0.992079207920792,0.0,1.0,0.0,1.0,0.0,0.0155945419103313,1.0,0.9844054580896686,0.0155945419103313,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,8,8,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.634558093346574,0.7077393075356415,0.564922480620155,0.5979617558458634,0.6221335992023929,0.6468842729970327,0.0247506737946398,0.961738637299112,0.8654037886340977,0.2729970326409495,0.5924067559931482,0.315456248547088,1.0,0.4178498985801217,0.5821501014198782,0.4178498985801217,0.2626459143968871,0.8648648648648649,0.6022189504679778,0.3036843385214007,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,9,9,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5814299900695135,0.1435845213849287,0.998062015503876,0.2739993557372947,0.5130260521042084,0.6486220472440944,0.135595995139886,0.7909476008161999,0.0,0.140748031496063,0.140748031496063,0.0,0.0,0.2842741935483871,0.2842741935483871,0.0,1.0,0.9961538461538462,0.0038461538461538,0.9961538461538462,1.0
