bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0÷colour_1.0 (lff)
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,0,0,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7492552135054618,0.4908350305498982,0.99515503875969,0.5652964234818366,0.9950298210735586,0.503968253968254,0.4910615671053047,0.5064855779141494,0.4840954274353877,0.0,0.4840954274353877,0.0,1.0,0.0,1.0,0.0,0.9904580152671756,1.0,0.009541984732824416,0.9904580152671756
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,1,1,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7651439920556107,0.5213849287169042,0.997093023255814,0.5644253895575759,0.9971291866028708,0.5149638802889577,0.4821653063139132,0.5164465018252982,0.492822966507177,0.0,0.492822966507177,0.0,1.0,0.0,1.0,0.0,0.9943714821763602,1.0,0.0056285178236398226,0.9943714821763602
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,2,2,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.766137040714995,0.5244399185336049,0.9961240310077522,0.5753213738555039,0.9961202715809894,0.5249237029501526,0.4711965686308368,0.526968196437787,0.5033947623666344,0.0,0.5033947623666344,0.0,1.0,0.0,1.0,0.0,0.992248062015504,1.0,0.007751937984496138,0.992248062015504
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,3,3,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.9990439770554492,0.5123966942148761,0.4866472828405734,0.512887025979675,0.488527724665392,0.0,0.488527724665392,0.0,1.0,0.0,1.0,0.0,0.9981343283582088,1.0,0.0018656716417910781,0.9981343283582088
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,4,4,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7492552135054618,0.4857433808553971,1.0,0.5604152434576775,1.0,0.5014807502467917,0.4985192497532082,0.5014807502467917,0.4765234765234765,0.0,0.4765234765234765,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,5,5,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7626613704071501,0.5173116089613035,0.9961240310077522,0.5809565047068084,0.9960474308300395,0.5269461077844312,0.4691013230456084,0.5290371637677027,0.5059288537549407,0.0,0.5059288537549407,0.0,1.0,0.0,1.0,0.0,0.9920634920634921,1.0,0.007936507936507908,0.9920634920634921
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,6,6,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7671300893743793,0.5295315682281059,0.993217054263566,0.5929590639519944,0.993076162215628,0.53938185443669,0.4536943077789382,0.5431424848959099,0.5212660731948566,0.0,0.5212660731948566,0.0,1.0,0.0,1.0,0.0,0.9857433808553973,1.0,0.014256619144602856,0.9857433808553973
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,7,7,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7571996027805362,0.5061099796334012,0.9961240310077522,0.5737273697174295,0.996039603960396,0.5169322709163346,0.4791073330440614,0.5189876676197793,0.496039603960396,0.0,0.496039603960396,0.0,1.0,0.0,1.0,0.0,0.9922027290448344,1.0,0.007797270955165694,0.9922027290448344
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,8,8,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7522343594836147,0.4969450101832994,0.99515503875969,0.5715891336142577,0.9940179461615156,0.5123639960435212,0.4816539501179943,0.5154474303226196,0.4915254237288136,0.0,0.4915254237288136,0.0,0.9979550102249488,0.0,0.9979550102249488,0.0,0.990272373540856,1.0,0.009727626459143934,0.990272373540856
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,9,9,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7522343594836147,0.4938900203665988,0.998062015503876,0.5698053799424053,0.996993987975952,0.5118110236220472,0.4851829643539047,0.513354172436988,0.4879759519038076,0.0,0.4879759519038076,0.0,0.9979423868312756,0.0,0.9979423868312756,0.0,0.99609375,1.0,0.00390625,0.99609375
