bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.5,bias.subsample_train.7,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.filter_map_labels.6,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_2.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0-colour_2.0 (cnn),Accuracy_colour_1.0-colour_2.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),Accuracy_colour_0.0÷colour_2.0 (cnn),Accuracy_colour_1.0÷colour_2.0 (cnn),prob_pos_colour_2.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0-colour_2.0 (cnn),prob_pos_colour_1.0-colour_2.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0÷colour_2.0 (cnn),prob_pos_colour_1.0÷colour_2.0 (cnn),TPR_colour_2.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0-colour_2.0 (cnn),TPR_colour_1.0-colour_2.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0÷colour_2.0 (cnn),TPR_colour_1.0÷colour_2.0 (cnn),TNR_colour_2.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0-colour_2.0 (cnn),TNR_colour_1.0-colour_2.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0÷colour_2.0 (cnn),TNR_colour_1.0÷colour_2.0 (cnn)
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,0,0,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5605652759084792,0.6720977596741344,0.6738693467336684,0.8552468863286654,0.3440320962888666,0.3302373581011352,0.9970178926441352,0.666780534543,0.6529857963552685,0.013794738187731416,0.3312251069289551,0.34506110554994995,0.9599027580957196,0.00802407221664995,1.0,0.33001988071570576,0.6699801192842942,0.3219958084990558,0.99197592778335,0.33001988071570576,0.0243139055721381,0.00802407221664995,0.024464831804281342,1.0,0.9910447761194028,0.008955223880596995,0.9665799443151216,0.9755351681957186,0.9910447761194028,0.024685899561548947,0.024464831804281342,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,1,1,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5565275908479138,0.6619144602851323,0.6773869346733669,0.8692704915195334,0.34559535333978697,0.33746130030959753,1.0,0.6625386996904025,0.6544046466602129,0.008134053030189492,0.33746130030959753,0.34559535333978697,0.9764636504756702,0.0,1.0,0.3329896907216495,0.6670103092783506,0.3329896907216495,1.0,0.3329896907216495,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,2,2,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5619111709286676,0.6802443991853361,0.6703517587939698,0.8553188081975949,0.3642645607107601,0.32613168724279834,0.9969604863221884,0.6708287990793902,0.6326959256114284,0.03813287346796178,0.32712599116731905,0.3653751233958539,0.8953154449239965,0.013820335636722606,1.0,0.342451874366768,0.6575481256332321,0.3286315387300454,0.9861796643632774,0.342451874366768,0.04035701560190892,0.013820335636722606,0.04281345565749235,1.0,0.9970414201183432,0.00295857988165682,0.9542279644608508,0.9571865443425076,0.9970414201183432,0.04294049855261845,0.04281345565749235,1.0,0.0,0.9984591679506932,0.9984591679506932,0.0015408320493066616,1.0,0.0,0.9984591679506932,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,3,3,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5619111709286676,0.6435845213849287,0.6904522613065327,0.8642901360618537,0.3372093023255814,0.3256578947368421,0.9970817120622568,0.6714238173254148,0.6598724097366755,0.011551407588739291,0.3266110397946085,0.3381962563811685,0.9657441016333941,0.0,1.0,0.32684824902723736,0.6731517509727627,0.32684824902723736,1.0,0.32684824902723736,0.0,0.0,0.0,1.0,0.9940652818991098,0.005934718100890191,0.9940652818991098,1.0,0.9940652818991098,0.0,0.0,1.0,0.0,0.9985528219971056,0.9985528219971056,0.0014471780028944006,1.0,0.0,0.9985528219971056,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,4,4,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5464333781965006,0.6731160896130346,0.6618090452261306,0.8645396907756201,0.31076923076923074,0.3290129611166501,0.9969818913480886,0.6679689302314384,0.6862126605788579,0.018243730347419333,0.33000896402618585,0.31171000543351696,0.9445501165501164,0.0,0.9980059820538384,0.335010060362173,0.6629959216916654,0.335010060362173,0.9980059820538384,0.3356794111321274,0.0,0.0,0.0,1.0,0.9910714285714286,0.008928571428571397,0.9910714285714286,1.0,0.9910714285714286,0.0,0.0,1.0,0.002962962962962963,1.0,0.997037037037037,0.0,0.997037037037037,0.002962962962962963,1.0,0.002962962962962963
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,5,5,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5585464333781965,0.6680244399185336,0.6708542713567839,0.8585348195802438,0.32053941908713696,0.3336734693877551,0.9961089494163424,0.6624354800285873,0.6755695303292055,0.01313405030061815,0.33497688137755105,0.3217915261929461,0.9606380143895848,0.005186721991701246,1.0,0.31712062256809337,0.6828793774319066,0.3119339005763921,0.9948132780082988,0.31712062256809337,0.016355675483033374,0.005186721991701246,0.015197568389057753,1.0,0.9938650306748468,0.006134969325153339,0.9786674622857888,0.9848024316109424,0.9938650306748468,0.015291380539607491,0.015197568389057753,1.0,0.0,0.9971509971509972,0.9971509971509972,0.002849002849002802,1.0,0.0,0.9971509971509972,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,6,6,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6867429340511441,0.7932790224032586,0.6658291457286433,0.7368450767566473,0.7327235772357723,0.32451678535096645,0.9960199004975124,0.671503115146546,0.2632963232617401,0.40820679188480585,0.3258135557219993,0.7356515435783728,0.4428911467203204,0.14634146341463414,1.0,0.3154228855721393,0.6845771144278607,0.16908142215750518,0.8536585365853658,0.3154228855721393,0.46395321997384,0.14634146341463414,0.4173913043478261,1.0,0.9937106918238994,0.006289308176100628,0.5763193874760733,0.5826086956521739,0.9937106918238994,0.4200330214639516,0.4173913043478261,1.0,0.0,0.9985443959243084,0.9985443959243084,0.0014556040756914526,1.0,0.0,0.9985443959243084,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,7,7,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5810901749663526,0.6894093686354379,0.6994974874371861,0.8220098050087796,0.374031007751938,0.3932926829268293,0.997907949790795,0.6046152668639657,0.623876942038857,0.019261675174891302,0.39411719588894,0.3748151398436611,0.9510245778498888,0.03197674418604651,0.929878048780488,0.3420502092050209,0.5878278395754669,0.3100734650189744,0.8979013045944413,0.3678441594073668,0.09348552734513904,0.03438810522302707,0.09792284866468842,1.0,0.9969418960244648,0.0030581039755351873,0.8990190473597763,0.9020771513353116,0.9969418960244648,0.09822322550108316,0.09792284866468842,1.0,0.1036036036036036,0.9984101748807632,0.8948065712771596,0.0015898251192368873,0.8963963963963963,0.10376857749469214,0.9984101748807632,0.1036036036036036
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,8,8,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5545087483176312,0.6741344195519349,0.6663316582914572,0.8575934071428749,0.3010638297872341,0.36100386100386106,0.9949799196787148,0.6339760586748541,0.6939160898914809,0.059940031216626936,0.3628252730169985,0.3025828198467055,0.8339629081806804,0.002127659574468085,0.9768339768339768,0.3132530120481928,0.6635809647857841,0.3111253524737247,0.9747063172595088,0.3206819372351064,0.006792144026186579,0.002178117904297368,0.00625,1.0,0.9935897435897436,0.006410256410256388,0.9873397435897436,0.99375,0.9935897435897436,0.0062903225806451605,0.00625,1.0,0.03498542274052478,0.9970760233918128,0.9620906006512882,0.0029239766081871066,0.9650145772594751,0.03508801928815095,0.9970760233918128,0.03498542274052478
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,9,9,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5598923283983849,0.6639511201629328,0.6804020100502512,0.8667962081420808,0.33728981206726016,0.3395833333333333,0.996003996003996,0.6564206626706627,0.6587141839367359,0.002293521266073184,0.3409457539284521,0.3386430309722441,0.9932460723453059,0.0009891196834817012,1.0,0.32667332667332666,0.6733266733266734,0.32568420698984496,0.9990108803165184,0.32667332667332666,0.003027855667171813,0.0009891196834817012,0.0030303030303030303,1.0,0.9969325153374232,0.003067484662576669,0.9939022123071204,0.9969696969696972,0.9969325153374232,0.0030396270396270395,0.0030303030303030303,1.0,0.0,0.997037037037037,0.997037037037037,0.002962962962962945,1.0,0.0,0.997037037037037,0.0
