seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0÷colour_1.0,Accuracy_colour_0.0÷colour_2.0,Accuracy_colour_1.0÷colour_2.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0÷colour_1.0,prob_pos_colour_0.0÷colour_2.0,prob_pos_colour_1.0÷colour_2.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0÷colour_1.0,TPR_colour_0.0÷colour_2.0,TPR_colour_1.0÷colour_2.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0÷colour_1.0,TNR_colour_0.0÷colour_2.0,TNR_colour_1.0÷colour_2.0
1,baseline,"cnn",(None),0.6537685060565276,0.7637474541751528,0.6979899497487437,0.7445289536995163,0.5856727976766699,0.3797729618163055,1.0,0.6202270381836945,0.4143272023233301,0.20589983586036442,0.3797729618163055,0.5856727976766699,0.6484387926549481,0.0968054211035818,0.957688338493292,0.33298969072164947,0.6246986477716425,0.23618426961806765,0.8608829173897102,0.34770151972982577,0.2907159704968246,0.10108238475147711,0.30120481927710846,1.0,1.0,0.0,0.6987951807228916,0.6987951807228916,1.0,0.30120481927710846,0.30120481927710846,1.0,0.06386292834890965,1.0,0.9361370716510904,0.0,0.9361370716510904,0.06386292834890965,1.0,0.06386292834890965
2,baseline,"cnn",(None),0.7119784656796769,0.8625254582484725,0.671859296482412,0.6993958454586472,0.8015794669299111,0.9979736575481256,0.3281893004115226,0.669784357136603,0.1963941906182145,0.4733901665183885,0.32885567462555615,0.8032070394515962,0.40942827748383304,0.19052319842053306,0.3414387031408308,0.9979423868312757,0.6565036836904449,0.15091550472029774,0.8074191884107427,0.3421427004668944,0.5580011775699292,0.19091602975748262,0.5902140672782875,0.9970414201183432,1.0,0.00295857988165682,0.40682735284005567,0.4097859327217125,0.9970414201183432,0.5919654443325257,0.5902140672782875,1.0,1.0,0.0030534351145038168,0.9969465648854962,0.0,0.9969465648854962,0.0030534351145038168,1.0,0.0030534351145038168
3,baseline,"cnn",(None),0.5985868102288021,0.6761710794297352,0.6909547738693468,0.820729293215682,0.9970817120622568,0.3256578947368421,0.4428294573643411,0.6714238173254148,0.5542522546979157,0.117171562627499,0.3266110397946085,0.4441255435810172,0.7354025106530001,0.32490272373540857,1.0,0.03197674418604651,0.6750972762645915,0.29292597954936206,0.9680232558139534,0.32490272373540857,0.09841944018938867,0.03197674418604651,0.9910979228486647,1.0,0.09482758620689655,0.008902077151335286,0.8962703366417681,0.9051724137931034,0.9910979228486647,0.09567933099318604,0.09482758620689655,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
4,baseline,"cnn",(None),0.59185733512786,0.6955193482688391,0.6944723618090453,0.8143827207807323,0.38256410256410256,0.9979879275653923,0.39282153539381853,0.6051663921715738,0.6154238250012898,0.010257432829715973,0.3936135142958222,0.3833354011579818,0.9738878042431343,0.021538461538461538,0.33601609657947684,0.9332003988035892,0.5971843022241123,0.3144776350410153,0.9116619372651277,0.36006853084317875,0.06409949332105021,0.023080210387902696,0.0660377358490566,0.9940476190476191,1.0,0.005952380952380931,0.9280098831985625,0.9339622641509434,0.9940476190476191,0.06643317139306293,0.0660377358490566,1.0,1.0,0.09925925925925926,0.9007407407407407,0.0,0.9007407407407407,0.09925925925925926,1.0,0.09925925925925926
5,baseline,"cnn",(None),0.5938761776581427,0.6720977596741344,0.6728643216080402,0.8372612651520058,0.336734693877551,0.9961089494163424,0.4263485477178423,0.6593742555387914,0.5697604016985001,0.0896138538402913,0.33805006377551017,0.4280139717323651,0.7898108148368836,0.996938775510204,0.3151750972762646,0.01037344398340249,0.6817636782339395,0.3048016532928621,0.9865653315268016,0.3161428816077168,0.03291327288561037,0.010405296933197994,1.0,0.99079754601227,0.030395136778115502,0.009202453987730008,0.9604024092341545,0.9696048632218845,0.99079754601227,0.030677444550048463,0.030395136778115502,0.004594180704441042,0.9985754985754985,1.0,0.9939813178710575,0.0014245014245014564,0.9954058192955589,0.004600734457229118,0.9985754985754985,0.004594180704441042
6,baseline,"cnn",(None),0.6887617765814267,0.8503054989816701,0.6663316582914572,0.7030079143998458,0.9970149253731343,0.32451678535096645,0.7378048780487805,0.6724981400221679,0.2592100473243538,0.413288092697814,0.3254883924927358,0.7400138746896451,0.4398409322112273,0.31343283582089554,1.0,0.20426829268292682,0.6865671641791045,0.10916454313796872,0.7957317073170732,0.31343283582089554,0.6517131242740998,0.20426829268292682,0.9905660377358491,1.0,0.5826086956521739,0.009433962264150941,0.4079573420836752,0.4173913043478261,0.9905660377358491,0.5881573498964803,0.5826086956521739,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
7,baseline,"cnn",(None),0.7005383580080754,0.8503054989816701,0.6954773869346733,0.6620100719520833,0.3851626016260163,0.997907949790795,0.7257751937984496,0.6127453481647787,0.27213275599234543,0.3406125921724333,0.38597007039252784,0.7272967350852387,0.5306913282750986,0.9380081300813008,0.34309623430962344,0.18410852713178294,0.5949118957716774,0.1589877071778405,0.7538996029495179,0.3657710666962833,0.5366089998109284,0.19627604625966893,1.0,1.0,0.5637982195845698,0.0,0.43620178041543023,0.43620178041543023,1.0,0.5637982195845698,0.5637982195845698,0.0915915915915916,0.9984101748807631,1.0,0.9068185832891715,0.0015898251192368873,0.9084084084084084,0.09173743807501769,0.9984101748807631,0.0915915915915916
8,baseline,"cnn",(None),0.6574697173620457,0.7443991853360489,0.6547738693467337,0.7906028753536876,0.9949799196787149,0.33783783783783783,0.652127659574468,0.6571420818408771,0.34285226010424685,0.3142898217366302,0.33954236779665636,0.655417910127316,0.5180547594903223,0.31224899598393574,1.0,0.07553191489361702,0.6877510040160643,0.23671708109031872,0.924468085106383,0.31224899598393574,0.24189642197441336,0.07553191489361702,0.9935897435897436,1.0,0.221875,0.0064102564102563875,0.7717147435897436,0.778125,0.9935897435897436,0.22330645161290322,0.221875,0.9985380116959064,0.0,1.0,0.9985380116959064,0.0014619883040936088,1.0,0.0,0.9985380116959064,0.0
9,baseline,"cnn",(None),0.585464333781965,0.6710794297352343,0.6859296482412061,0.8439388451814772,0.40059347181008903,0.998001998001998,0.35,0.648001998001998,0.5974085261919089,0.05059347181008905,0.3507007007007007,0.40139546074264176,0.8737037037037036,0.00791295746785361,0.3256743256743257,0.9895833333333334,0.6639090076590077,0.3177613682064721,0.9816703758654798,0.3291024764708975,0.02429714854393087,0.00799625175698891,0.024242424242424242,0.9969325153374233,1.0,0.0030674846625766694,0.972690091094999,0.9757575757575757,0.9969325153374233,0.024317016317016316,0.024242424242424242,1.0,0.9985185185185185,0.015772870662460567,0.9827456478560579,0.001481481481481528,0.9842271293375394,0.015796272547716445,0.9985185185185185,0.015772870662460567
10,baseline,"cnn",(None),0.5709959623149394,0.6578411405295316,0.6648241206030151,0.8396425586991122,0.3179959100204499,0.3933933933933934,0.9979899497487437,0.6799940397282938,0.6045965563553503,0.0753974833729435,0.31863638516651327,0.39418572651201056,0.8083407483725941,1.0,0.015015015015015015,0.32160804020100503,0.6783919597989949,0.30659302518599,0.984984984984985,0.32160804020100503,0.04668731231231231,0.015015015015015015,1.0,0.04285714285714286,0.9968847352024922,0.0031152647975077885,0.9540275923453494,0.9571428571428572,0.9968847352024922,0.04299107142857143,0.04285714285714286,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
11,baseline,"cnn",(None),0.6823687752355316,0.7993890020366599,0.6753768844221105,0.7292075136290106,0.3277661795407098,0.6973415132924335,0.9961389961389961,0.6683728165982863,0.2987974828465626,0.36957533375172374,0.3290365910893172,0.7000443873749623,0.47002246860823194,0.9989561586638831,0.14621676891615543,0.3194980694980695,0.6794580891658135,0.1732813005819141,0.8527393897477277,0.31983192328019916,0.4576452344324381,0.1463695555085443,1.0,0.4230769230769231,0.9939577039274925,0.0060422960725075026,0.5708807808505694,0.5769230769230769,0.9939577039274925,0.42564881926584053,0.4230769230769231,0.0015503875968992248,1.0,0.9971631205673759,0.9956127329704767,0.0028368794326241176,0.9984496124031008,0.0015547983724238314,0.9971631205673759,0.0015503875968992248
12,baseline,"cnn",(None),0.7113055181695828,0.895112016293279,0.6778894472361809,0.6376409657058125,0.7865731462925851,0.3596403596403596,0.9958890030832477,0.636248643442888,0.20931585679066256,0.4269327866522255,0.3611249431682868,0.7898200942648972,0.45722430435806233,0.24048096192384769,0.9530469530469531,0.33504624871531347,0.6180007043316396,0.09456528679146578,0.7125659911231054,0.3515527200880805,0.7177545274598276,0.25232855648403724,0.7038123167155426,1.0,0.9938837920489296,0.006116207951070374,0.29007147533338706,0.29618768328445744,0.9938837920489296,0.708143469433792,0.7038123167155426,1.0,0.06841339155749636,0.9984520123839009,0.9300386208264045,0.001547987616099089,0.9315866084425036,0.06851945883122891,0.9984520123839009,0.06841339155749636
